,title,brand,price,description,colour,category
66,ASOS DESIGN Faye underwire lace padded bra,ASOS DESIGN,46.78,     A little something for your lingerie drawer      Padded cups      Underwire support      Adjustable straps      Hook-and-eye closure ,missing,lingerie
67,ASOS DESIGN Curve rib jersey mix & match pyjama short,ASOS DESIGN,17.99,     You're invited to this PJ party  Stretch waistband  Relaxed fit  For a slouchy silhouette ,missing,lingerie
68,ASOS DESIGN dress & lingerie fashion tape & dispenser,asos-design,14.39, Double-sided adhesive tape   Keeps things under control   Apply to fabric and skin  Dispenser included  Five meters of tape  We recommend that you perform a skin test 24 hours before wear  Do not wear tape for more than four hours at a time ,missing,lingerie
69,Cosabella Ballet lace thong,Cosabella,44.98,      Boudoir vibes    High-rise waist       Thong cut ,missing,lingerie
70,Lipsy Lonnie longline lace bra in black,Lipsy,53.97, A little something for your lingerie drawer  Non-padded cups  Underwire support  Adjustable straps  Hook-and-eye closure  Longline style  ,missing,lingerie
71,Figleaves Curve Amore lace and fishnet high waist knicker in black,Figleaves,25.19,     A little something for your lingerie drawer  High rise   Strapped design       Cut-out panels       Lace-up back  ,missing,lingerie
72,Women'secret animal print push-up bra in ice pink,Women'secret,44.98,     For days when you want a pick-me-up  Animal print      Padded cups      Underwire support      Adjustable straps ,missing,lingerie
73,Hunkemoller Sugar strappy ringed underwire bra in black,Hunkemöller,52.17,     A little something for your lingerie drawer  Adjustable straps  Underwire support  Ring detail      Hook-and-eye closure ,missing,lingerie
74,ASOS DESIGN stick on plunge bra A-D cup,ASOS DESIGN,32.38,"     For that backless, strapless or plunge-neck dress you've got  Plunge front  Moulded cups  Underwire support  Clear, adhesive side tabs ",missing,lingerie
75,ASOS DESIGN Addison bonded soft body with zip front & fishnet back,ASOS DESIGN,44.98,      Not just any body     Scoop neck   Zip detail  Mesh back       Low back      High leg  Thong cut ,missing,lingerie
76,ASOS DESIGN Curve supportive recycled seamfree bralet,ASOS DESIGN,25.19,     Part of our responsible edit  Scoop neck  Adjustable straps  Seam-free style  Hook-and-eye closure ,missing,lingerie
