,title,price,description,colour,category
49,h&m+ hooded top with lacing,24.99,"sweatshirt in a cotton blend with a jersey lined hood. low cut v neck with lacing at front, heavily dropped shoulders, and long sleeves with ribbed cuffs. soft, brushed inside. cotton 60%, polyester 40%",black,tops
50,h&m+ denim shorts,24.99,"short, 5 pocket shorts in washed stretch denim with heavily distressed details. regular waist and button fly. sewn cuffs at hems. cotton 100%",denim blue,shorts
51,knit sweater with ruffle trim,24.99,"short, rib knit sweater in a soft cotton blend. ruffle trim at neckline and cuffs, long raglan sleeves, and ribbed hem. cotton 60%, polyester 40%",black,outerwear
52,patterned nightshirt,24.99,"long nightshirt in cool, woven viscose fabric with a printed pattern. collar, buttons at front, dropped shoulders, and long sleeves with cuffs. gently rounded hem. viscose 100%",dark blue green dusty rose light blue dark blue floral,loungewear
53,3 pack cotton thong briefs,12.99,"briefs in cotton jersey. low waist, elasticized waistband, wide sides, and thong back. lined gusset. cotton 95%, elastane 5%",gray melange black white red gray melange marvel,lingerie
54,double layer running shorts,19.99,conscious. lightweight running shorts in fast drying functional fabric. regular waist and elasticized drawstring waistband. layered over short running tights. polyester content is partly recycled. polyester 100%,black white black,shorts
55,knit turtleneck sweater,17.99,"soft knit sweater with a ribbed turtleneck, dropped shoulders, and long sleeves. ribbing at cuffs and hem. slightly longer at back. acrylic 100%",white,outerwear
56,lace briefs high waist,14.99,"waist high briefs in lace with v shaped waist. opening at back with decorative, crossover straps. lined gusset and high cut back. lace: polyamide 83%, elastane 17%",black,lingerie
57,mama lyocell blouse,29.99,"conscious. blouse in soft, washed tencel® lyocell denim with a v neck and decorative buttons at front. yoke at back, short butterfly sleeves, and tie belt at waist. lyocell 100%",light denim blue,tops
58,fine knit cardigan,17.99,"cardigan in soft, fine knit fabric made from a viscose blend. round neckline with rolled edge. buttons at front and long sleeves. viscose 42%, acrylic 42%, polyamide 16%",light powder pink,outerwear
59,satin pajamas,24.99,"pajama top and shorts in soft satin. v neck camisole top with extra narrow, adjustable shoulder straps and lace at top. short shorts with narrow, elasticized waistband and lace trim at hems. polyester 100%",black,loungewear
60,rib knit cardigan,24.99,"soft, rib knit cardigan with dropped shoulders, long sleeves, and no buttons. acrylic 100%",saffron yellow,outerwear
61,lace brazilian briefs,6.99,"lace brazilian briefs with a low waist, wide sides, and thong at back. lined gusset. gusset lining: cotton 100%",light pink,lingerie
62,lace brazilian briefs,6.99,"brazilian briefs in lace with a low waist, thong at back, and lined gusset. net: polyamide 88%, elastane 12%",dark blue,lingerie
63,lace push up bodysuit,29.99,"bodysuit in microfiber and lace with padded underwire cups to maximize bust and cleavage. narrow, adjustable shoulder straps and hook and eye fastening at back. lined gusset with snap fasteners. polyamide 76%, elastane 24%",black,lingerie
64,h&m+ v neck dress,39.99,"short, straight cut dress in woven fabric. v neck, long sleeves, and wide cuffs with metal button. unlined. polyester 100%",dark green,dress
65,h&m+ padded parka,49.99,"long, padded parka in cotton twill. lined, padded hood with foldover edge, stand up collar with snap fasteners, and zip and placket at front with concealed snap fasteners. handwarmer pockets, side pockets with flap and snap fastener, drawstring at waist, and concealed inner ribbing at cuffs. gently rounded hem. lined. polyester fill. lining: polyester 100%",black,outerwear
66,cashmere turtleneck sweater,199.00,"premium quality. slightly longer, straight cut turtleneck sweater in soft, rib knit cashmere. heavily dropped shoulders and long sleeves. cashmere 100%",black,outerwear
67,stand up collar top,14.99,"top in soft, brushed jersey with a small stand up collar, long, wide raglan sleeves, and a straight cut hem. polyester 70%, viscose 28%, elastane 2%",dark gray melange,tops
68,cable knit turtleneck sweater,29.99,"conscious. cable knit sweater in a soft knit with wool content. ribbed, rolled edge turtleneck, dropped shoulders, and long sleeves. flat knit back section and ribbing at cuffs and hem. polyester content is recycled. polyester 50%, acrylic 45%, wool 5%",light brown,outerwear
69,2 pack cotton soft cup bras,17.99,"soft cup bras in cotton jersey and lace. padded triangular cups for shaping and good support. adjustable shoulder straps and no fasteners. cotton 95%, elastane 5%",black vintage pink,lingerie
70,sports bra low support,17.99,"lined sports bra in fast drying, functional fabric with elasticized lower edge. light support. designed with a minimum of seams for a more comfortable fit and added freedom of movement. lining: polyester 92%, elastane 8%",black melange,lingerie
71,lace brazilian briefs,9.99,"brazilian briefs in lace with a low waist, decorative satin ties at sides, and thong back. lined gusset. gusset lining: cotton 100%",dark red,lingerie
72,wide cut sports top,14.99,"conscious. wide cut sports top in fast drying, functional fabric. heavily dropped shoulders, short sleeves, and short slits at sides. longer at back. polyester content is partly recycled. polyester 87%, elastane 13%",black,tops
73,soft cup push up bralette,24.99,"soft cup push up bralette in lace with molded, padded cups to maximize bust and cleavage. narrow, adjustable shoulder straps, wide lace trim at lower edge, and no fasteners. cup lining: polyester 100%",red,lingerie
74,loose knit cardigan,24.99,"cardigan in a soft, loose knit with dolman sleeves, snug fit cuffs, and a rounded hem. no fasteners. acrylic 55%, polyamide 45%",dark green,outerwear
75,mama nursing top,24.99,conscious/premium quality. top in soft jersey with a unique nursing feature – double layer at top helps retain warmth while allowing easier nursing access. slightly wider neckline and long sleeves. modal 100%,black,tops
76,soft cup lace bra,19.99,"soft cup bra in lace with triangular cups for a natural shape and light support. decorative crossover straps at front, narrow, adjustable shoulder straps, and wide lace trim at lower edge. no fasteners. lace: polyamide 88%, elastane 12%",red,lingerie
77,h&m+ velour top,19.99,"relaxed fit top in soft velour with a round neckline and short sleeves. viscose 80%, polyester 16%, elastane 4%",light pink,tops
78,h&m+ pajamas,24.99,"pajama top and shorts in soft satin. v neck camisole top with narrow, adjustable shoulder straps and lace at top. short shorts with elasticized waistband and lace details at sides. polyester 100%",light pink white light pink,loungewear
79,h&m+ padded hooded jacket,69.99,"padded, gently fitted jacket in woven fabric. lined hood, stand up collar, and zip at front with wind flap and snap fasteners. fleece lined front pockets with snap fastener. lined. polyester fill. polyester 100%",black,outerwear
80,h&m+ silk top,59.99,"premium quality. sleeveless, v neck top in soft, gently draped silk with narrow, adjustable shoulder straps. silk 100%",black,tops
81,ribbed mock turtleneck top,34.99,"long, sleeveless top in a soft rib knit with a mock turtleneck. slits at sides. viscose 87%, polyamide 13%",beige white beige melange,tops
82,h&m+ cotton jersey t shirt,9.99,t shirt in cotton jersey with sewn cuffs on sleeves. cotton 100%,bright red,tops
83,lace push up bra,12.99,"lace push up bra with molded, padded underwire cups to maximize bust and cleavage. adjustable shoulder straps and hook and eye fastening at back. lace: polyamide 94%, elastane 6%",powder pink,lingerie
84,h&m+ padded outdoor jacket,49.99,"outdoor jacket with lightweight padding in woven fabric front and back. lined hood, zip at front, side pockets with zip, and long raglan sleeves with thumbholes at cuffs. lightly brushed thermal lining in sleeves and side sections. partly lined. polyester 84%, elastane 16%",plum,outerwear
85,pajama shirt and pants,34.99,"pajamas in satin with contrasting piping. long sleeved shirt with resort collar and buttons at front. straight, wide cut pants with elasticized waistband. polyester 100%",beige black beige zebra print,loungewear
86,3 pack brazilian briefs,14.99,"briefs in microfiber and lace. low waist, high cut back section, and lined gusset. gusset lining: cotton 100%",vintage pink white dark gray,lingerie
87,mama support tights 30 denier,14.99,"tights with support for tummy, thighs, and calves while encouraging circulation in legs. elasticized waistband and extra space for a growing tummy. 30 denier. polyamide 80%, elastane 20%",solid-color light amber,bottoms
88,h&m+ shaping skinny jeans,59.99,"premium quality. shaping. 5 pocket jeans in washed denim with technical stretch to hold and shape the tummy, thighs, and seat, while jeans retain their shape. regular waist, zip fly and button, and skinny legs. cotton 90%, polyester 6%, elastane 4%",dark blue,jeans
89,soft cup microfiber bra,17.99,"soft cup bra in microfiber and lace with molded, lightly padded cups for shaping and support. narrow, adjustable shoulder straps and hook and eye fasteners at back. lace: polyamide 89%, elastane 11%",light beige,lingerie
90,cotton bandeau bra,17.99,"strapless bandeau bra in soft cotton jersey with double layers at top. jersey lined cups with removable inserts, silicone trim inside upper edge, and boning in sides. no fasteners. cotton 97%, elastane 3%",black,lingerie
91,cardigan without buttons,24.99,"soft knit cardigan with dropped shoulders and long sleeves with ribbed cuffs. no buttons. acrylic 62%, polyamide 28%, wool 8%, elastane 2%",powder pink,outerwear
92,mama 2 pack jersey tank tops,17.99,"conscious. tank tops in organic cotton jersey. rounded hem. cotton 95%, elastane 5%",solid-color black white,tops
93,mama jersey top,14.99,"long sleeved top in stretch jersey with a wide neckline. gathers at sides for improved fit over tummy. polyester 65%, cotton 30%, elastane 5%",dark pink melange,tops
94,lace garter belt,14.99,"lace garter belt to hold nylon stockings up. elastication at top and adjustable fastening at back. lace: polyamide 89%, elastane 11%",black,lingerie
95,strapless super push up bra,29.99,"super push up bra in microfiber with thickly padded, underwire cups to maximize bust and cleavage. detachable, adjustable shoulder straps, wide section at back with hook and eye fasteners, and silicone trim at back to hold bra in place. polyamide 76%, elastane 24%",black,lingerie
96,cable knit wool blend sweater,59.99,"soft, knit sweater with wool and alpaca wool content. cable knit front section, long raglan sleeves, and wide ribbing at neckline, cuffs, and hem. polyester 32%, alpaca 30%, wool 20%, polyamide 14%, elastane 4%",cream,outerwear
97,firm shaping push up slip,34.99,"slip in thick microfiber with lace details. sculpting effect on waist and back. push up bra with molded, padded underwire cups to maximize bust and cleavage, narrow, adjustable shoulder straps, and hook and eye fasteners at back. polyamide 80%, elastane 20%",light beige,lingerie
98,lace bikini briefs,6.99,"lace bikini briefs with a low waist, narrow sides, and medium coverage at back. lined gusset. lace: polyamide 89%, elastane 11%",black,lingerie
99,lace brazilian briefs,9.99,"brazilian briefs in lace with a narrow, decorative trim at top. regular waist, high cut back, and lined gusset. mesh: polyamide 88%, elastane 12%",red,lingerie
100,fine knit sweater,24.99,"soft, fine knit sweater with wool content. ribbed turtleneck, long raglan sleeves, ribbing at cuffs and hem, and slits at sides. slightly longer at back. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",white,outerwear
101,h&m+ sports tank top,29.99,"loose fit sports tank top in fast drying, functional fabric with an integral sports bra and low cut back. lined sports bra with elasticized lower edge and opening at back with crossover straps. mesh: polyamide 74%, elastane 26%",black melange,tops
102,knit wool blend sweater,69.99,"premium quality. long sleeved, knit sweater in a soft wool blend. v neck, dropped shoulders, and ribbing at neckline, cuffs, and hem. slightly longer at back. alpaca 35%, wool 35%, polyamide 27%, elastane 3%",powder pink pink powder pink melange,outerwear
103,mama lyocell shirt dress,49.99,"conscious. short shirt dress in soft tencel® lyocell denim. collar, buttons at front, and gathered yoke at back. smocked seam below bust and long sleeves with roll up tab and button. unlined. lyocell 100%",dark denim blue,dress
104,fine knit top,17.99,"soft, fine knit top with buttons on one shoulder, short sleeves, and rolled edges at neckline, cuffs, and hem. viscose 42%, acrylic 42%, polyamide 16%",mustard yellow,tops
105,h&m+ patterned dress,54.99,"patterned dress in airy, woven fabric. v neck, wide bell sleeves, and concealed side zip. gathered seam at waist and wide, softly draped skirt. lined. polyester 100%",black dark green light beige brown black floral,dress
106,mama nursing dress,34.99,"dress in stretch jersey with an attached wrapover at front and a unique nursing feature – double layers at top help retain warmth while allowing easier nursing access. viscose 50%, polyester 48%, elastane 2%",black,dress
107,fine knit sweater,24.99,"soft, fine knit sweater with an opening and ties at back of neck, long puff sleeves, and ribbing at neckline, cuffs, and hem. acrylic 100%",dusky pink,outerwear
108,mama fluffy sweater,34.99,"longer, fluffy sweater in a soft, fine knit. v neck, long sleeves, and ribbing at neckline, cuffs, and hem. polyamide 68%, acrylic 31%, elastane 1%",white,outerwear
109,fine knit sweater,19.99,"wide cut sweater in a soft, fine knit with wool content. dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",green,outerwear
110,knit poncho,19.99,"soft, knit poncho with wool content and open sides. length at front and back 31 1/2 in. polyester 36%, polyamide 33%, viscose 25%, wool 6%",dark red,outerwear
111,knit poncho,19.99,"soft, knit poncho with wool content and open sides. length at front and back 31 1/2 in. polyester 36%, polyamide 33%, viscose 25%, wool 6%",vintage pink,outerwear
112,h&m+ 2 pack shaping briefs,19.99,"shaping briefs in microfiber with a light sculpting effect on waist, seat, and hips. high waist with laser cut edge, wide lace at hems, and lined gusset. lace: polyamide 85%, elastane 15%",black,lingerie
113,fluffy mock turtleneck sweater,24.99,"sweater in a soft, fluffy knit. rib knit mock turtleneck and long sleeves. polyester 100%",light blue,outerwear
114,h&m+ patterned blouse,34.99,"blouse in an airy, softly draped woven fabric with a printed pattern. v shaped opening with ties at front. gathers at shoulders, long, wide sleeves, and wide cuffs with covered buttons. unlined. polyester 100%",beige black beige zebra print,tops
115,mesh sports tank top,14.99,"conscious. wide cut sports tank top in fast drying mesh. racer back with cut out section. narrow elastication at hem. polyester content is partly recycled. polyester 87%, elastane 13%",black,tops
116,sculpting sports leggings,29.99,"sports leggings in fast drying functional fabric. high waist and wide waistband to hold and shape waist. sculpting seams at back showcase the body’s physique. concealed key pocket in waistband. polyester 79%, elastane 21%",black pink dark gray black pink,bottoms
117,knit cardigan,34.99,"long cardigan in a soft knit. dropped shoulders, ribbed edges, and patch front pockets. no fasteners. acrylic 100%",vintage pink,outerwear
118,padded microfiber bra,17.99,"bra in microfiber and lace with molded, lightly padded underwire cups for shaping and good support. adjustable shoulder straps and hook and eye fasteners at back. cup lining: polyester 100%",white,lingerie
119,mama knit sweater,29.99,"soft, fine knit sweater with wool content. opening at back with woven ties at back of neck, gathers in sides for improved fit over tummy, and ribbing at neckline, cuffs, and hem. acrylic 75%, polyamide 20%, wool 5%",light gray melange white light gray melange,outerwear
120,lace brazilian briefs,9.99,"brazilian briefs in lace with a narrow, decorative trim at top. regular waist, high cut back, and lined gusset. lace: polyamide 82%, elastane 18%",black,lingerie
121,yoga tights high waist,29.99,"yoga tights in fast drying, functional fabric. wide ribbing to hold and shape waist and concealed key pocket in waistband. opening for heels and non slip protection under feet. polyester 79%, elastane 21%",black,bottoms
