,title,price,description,colour,category
2861,fine knit turtleneck sweater,19.99,"wide cut turtleneck sweater in a soft, fine knit. dropped shoulders, long, wide sleeves, and wide ribbing at cuffs and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",light beige melange,outerwear
2862,rib knit top,9.99,"short, fitted top in ribbed cotton jersey with short sleeves. cotton 95%, elastane 5%",white,tops
2863,knit sweater,24.99,"soft knit sweater with a motif at front, gently dropped shoulders, and long sleeves. acrylic 95%, polyester 5%",light gray melange lt gray melange merry kiss-mas,outerwear
2864,embrace high ankle jeans,39.99,"premium quality. 5 pocket, ankle length jeans in washed, stretch denim. high waist, zip fly with button, and super skinny legs. embrace – denim with smart stretch function that molds to body for a comfortable, flattering silhouette. cotton 93%, elasterell p 5%, elastane 2%",black black washed out,jeans
2865,wide cut pull on pants,24.99,"calf length pants in jersey with a high waist. elasticized waistband and wide legs with side stripes. polyester 96%, elastane 4%",black red white black,pants
2866,jacket,49.99,"straight cut, double breasted jacket in a woven viscose blend. notched lapels, front pockets with flap, and decorative buttons at cuffs. lined. lining: polyester 100%",dark red beige dark red beige checked,outerwear
2867,denim paper bag shorts,24.99,"short shorts in cotton denim. high waist, elasticized paper bag waistband, concealed zip fly, and removable tie belt. pleats at top, side pockets, and sewn cuffs at hems. cotton 100%",denim blue,shorts
2868,pajama top and shorts,17.99,"pajamas with a short top and shorts in soft jersey made from a cotton and viscose blend. wide cut top with dropped shoulders and short sleeves. shorts with elasticized waistband. cotton 90%, viscose 10%",gray melange black gray melange nasa,tops
2869,coat with tie belt,69.99,"knee length coat in soft, felted fabric. stand up collar, concealed, covered snap fasteners at front, and removable tie belt at waist. welt side pockets, decorative seams at cuffs, and back vent. lined. polyester 89%, viscose 9%, elastane 2%",dark gray,outerwear
2870,denim bib overalls,34.99,"skinny fit bib overalls in washed, stretch denim with a high waist, adjustable suspenders, and side zip. bib pocket, mock front pockets, and regular back pockets. cotton 83%, polyester 16%, elastane 1%",dark denim blue,jeans
2871,straight cut jacket,79.99,"straight cut jacket in woven fabric with notched lapels, one button at front, and buttons at cuffs. front pockets with flap, inner pocket, and vent at back. satin lining. polyester 66%, viscose 32%, elastane 2%",beige brown black beige checked,outerwear
2872,windproof anorak,59.99,"lightweight anorak in windproof, water repellent functional fabric. hood with small visor at front and concealed elastic drawstring at back. zip at top, front pocket with zip, long sleeves with ventilating holes under arms, and narrow, elasticized cuffs. concealed elastic drawstring at hem. unlined. water repellent coating without fluorocarbons. polyester 100%",orange,outerwear
2873,wool blend coat,79.99,"coat in a soft wool blend. notched lapels, single button at front, and side pockets. vent at back. lined. acrylic 38%, wool 34%, polystyrene 28%",brown melange,outerwear
2874,jacquard knit cardigan,69.99,"pringle of scotland x h&m/conscious. wide cut cardigan in a soft jacquard knit with alpaca wool content. buttons at front, long sleeves, and ribbing at cuffs and hem. polyester content is recycled. polyester 52%, acrylic 21%, polyamide 12%, alpaca 6%, wool 6%, elastane 3%",cream dark gray melange light brown cream argyle,outerwear
2875,cotton shirt,17.99,"shirt in woven cotton fabric. collar, buttons at front, and yoke at back with pleat. long sleeves with button at cuffs. cotton 100%",light beige black white light beige checked,tops
2876,tulle circle skirt,79.99,"long circle skirt in double layers of tulle for movement and volume. regular waist with ruffle trim at top and a wide, covered elasticized waistband. raw edge hem. jersey lining. lining: polyester 100%",black,skirts
2877,wool blend cardigan,99.00,"wide cut cardigan in soft, alpaca blend knit fabric. dropped shoulders, long sleeves, and front pockets. wide ribbing at cuffs and hem. no buttons. polyester 32%, alpaca 30%, wool 20%, polyamide 14%, elastane 4%",light beige melange,outerwear
2878,short jersey skirt,7.99,"short skirt in jersey with an elasticized waistband. upper section: polyester 80%, elastane 20%",black,skirts
2879,sweatshorts,6.99,"short, lightweight sweatshorts with an elasticized drawstring waistband in jersey. side pockets and rounded hems. cotton 80%, polyester 20%",black white black dotted,shorts
2880,slim high waist pants,17.99,"pants in woven, stretch cotton blend fabric with a high waist. concealed side zip, side pockets, and slim, ankle length legs. cotton 61%, polyester 36%, elastane 3%",black,pants
2881,paper bag shorts,24.99,"conscious. short shorts in woven tencel® lyocell fabric. high waist, elastication at back of waistband, removable tie belt, and side pockets. lyocell 100%",beige,shorts
2882,viscose shirt,17.99,"straight cut shirt in soft, woven viscose fabric with a collar, buttons at front, and long sleeves with narrow cuffs with buttons. rounded hem. viscose 100%",dark blue white dark blue white striped,tops
2883,paper bag skirt,34.99,"knee length skirt in thick cotton twill with a high paper bag waist. concealed hook and eye fasteners at waist, wide, removable fabric belt with plastic buckle, and buttons at front. unlined. polyester 84%, viscose 15%, elastane 1%",black white black white checked,skirts
2884,long jacket,34.99,"long jacket in soft woven fabric. notched lapels, welt front pockets with flap, gently tapered waist, and long sleeves. no fasteners. lined. polyester 100%",pigeon blue,outerwear
2885,cashmere blend sweater,99.00,"premium quality. fitted, fine knit sweater in a soft, airy cashmere blend. extra long sleeves and ribbing at neckline. wool 70%, cashmere 30%",taupe,outerwear
2886,2 pack v neck t shirts,9.99,"conscious. fitted, v neck t shirts in soft, stretch organic cotton jersey. straight cut hem. cotton 100%",black white,tops
2887,super skinny low jeans,19.99,"5 pocket, low rise jeans in washed superstretch denim with super skinny legs. zip fly with button. cotton 78%, polyester 20%, elastane 2%",dark blue,jeans
2888,modal blend jersey dress,12.99,"short, sleeveless dress in soft jersey made from a cotton and modal blend. low cut neckline and a narrow, elasticized seam at waist. cotton 50%, modal 50%",black white black patterned,dress
2889,padded parka,49.99,"short, lightly padded parka in woven cotton fabric with a lined hood. high collar, zip and concealed buttons at front, and drawstring at waist. chest pockets with concealed snap fastener, front pockets with flap and snap fastener, and cuffs with inner ribbing. lined. lining: polyester 100%",black,outerwear
2890,denim skirt,19.99,"short skirt in washed cotton denim. high waist, zip fly with button, front and back pockets, and raw edge hem. cotton 100%",black,skirts
2891,wool blend coat,199.00,"premium quality. coat in woven, wool blend fabric with a collar, concealed snap fasteners at front, and side pockets. dropped shoulders, wide, rounded sleeves, and removable tie belt. lined. lining: polyester 55%, viscose 45%",blue,outerwear
2892,blouse with draped collar,24.99,"straight cut blouse in woven, softly draped fabric. high, gently draped collar, opening at back of neck with covered buttons, long sleeves, and narrow cuffs with covered buttons. viscose 55%, polyester 45%",dark green,tops
2893,jacket with fringe,59.99,"short jacket in faux suede with fringe along yoke and sleeves. no fasteners. lined. polyester 88%, elastane 12%",beige,outerwear
2894,paper bag pants,59.99,"ankle length pants in woven fabric. high waist with pleats and removable belt. zip fly with concealed hook and eye fasteners, side seam pockets, and mock welt back pockets. creases. cotton 100%",denim blue,pants
2895,rib knit wool blend sweater,39.99,"boxy, rib knit sweater in a soft wool blend. gently dropped shoulders, long sleeves, and ribbing at neckline and cuffs. polyamide 43%, acrylic 26%, alpaca 13%, wool 13%, elastane 5%",light beige melange,outerwear
2896,velour culottes,24.99,"wide leg, ankle length pants in velour with an elasticized waistband. polyester 95%, elastane 5%",black,pants
2897,fine knit sweater,24.99,"soft, fine knit sweater with an opening and ties at back of neck, long puff sleeves, and ribbing at neckline, cuffs, and hem. acrylic 100%",black,outerwear
2898,denim shorts boyfriend,14.99,"5 pocket shorts in washed denim with heavily distressed details. low waist, button fly, and sewn cuffs at hems. cotton 100%",light denim blue,shorts
2899,5 pack shortie briefs,12.99,"shortie briefs in soft jersey made from a cotton blend with a mid waist, lined gusset and medium coverage at the back. gusset lining: cotton 100%",black,lingerie
2900,cargo skirt,24.99,"short skirt in cotton twill with a high waist. removable belt, zip fly, side pockets, and mock back pockets with flap. unlined. cotton 100%",khaki green,skirts
2901,tapered high waist jeans,59.99,"5 pocket jeans in washed cotton denim with a bleached pattern. high waist, adjustable tab with metal fastener at back of waistband, and zip fly with buttons. tapered legs. cotton 100%",beige dark blue beige patterned,jeans
2902,v neck t shirt,4.99,"loose fit, v neck t shirt in soft, cotton blend jersey. viscose 50%, cotton 50%",white,tops
2903,seamless tank top,12.99,"fitted tank top in microfiber. designed with minimum number of seams for a more comfortable fit and increased freedom of movement. polyamide 94%, elastane 6%",dusty rose dusty rose ribbed,tops
2904,v neck jumpsuit,49.99,"jumpsuit in woven, crêped fabric with short legs. v neck, small stand up collar, and side pockets. elasticized seam at waist and removable belt with metal buckle. lined at top. polyester 97%, elastane 3%",black,outerwear
2905,wide cut cotton flannel blouse,29.99,"wide cut blouse in soft cotton flannel. collar, v neck, and long sleeves with buttons at cuffs. rounded hem, slightly longer at back. cotton 100%",black light beige beige white light beige black plaid,tops
2906,leggings with side stripes,24.99,"jersey leggings with an elasticized waistband and side stripes. polyester 56%, polyamide 24%, viscose 13%, elastane 7%",black white green black checked,pants
2907,jumpsuit,24.99,"jumpsuit in stretch jersey with a v neck, narrow shoulder straps, and an elasticized seam at waist. polyester 95%, elastane 5%",black pink black floral,outerwear
2908,long sleeved jersey top,12.99,"long sleeved top in soft jersey. cotton 95%, elastane 5%",black white black striped,tops
2909,denim overall,34.99,"conscious. short sleeved overall in washed, organic cotton denim. collar, snap fasteners at front, and removable belt at waist with metal buckle. chest pockets with flap, side pockets, and back pockets. wide, ankle length legs. cotton 100%",denim blue,outerwear
2910,jersey top,4.99,"short sleeved, fitted top in jersey with a slightly lower cut neckline. cotton 95%, elastane 5%",white,tops
2911,h&m+ padded vest,49.99,"quilted, padded vest in woven fabric with a detachable, faux fur trimmed hood. high collar, zip at front, and discreet side pockets with concealed zip. lined. polyester 100%",dark khaki green,outerwear
2912,hooded sweatshirt,29.99,"soft sweatshirt with a double layer drawstring hood. dropped shoulders, long sleeves, and ribbing at cuffs and hem. soft, brushed inside. cotton 70%, polyester 30%",dark beige,outerwear
2913,slacks,34.99,"ankle length pants in woven fabric with a regular waist, zip fly, and hook and eye fastener. diagonal side pockets, mock welt back pockets, and legs with creases. polyester 52%, viscose 48%",light gray light gray herringbone pattern,pants
2914,long sleeved top,9.99,"fitted top in soft cotton jersey with a round neckline and long sleeves. cotton 95%, elastane 5%",dusky pink,tops
2915,silk blend sweatpants,69.99,"sweatpants in a cotton and silk blend with a slight sheen. wide, elasticized, ribbed waistband, patch front pockets, and a back pocket. straight legs. elastic ribbing: silk 50%, cotton 50%",light gray,pants
2916,ruffled cotton blouse,34.99,"conscious. blouse in airy, woven organic cotton fabric with lace embroidery. low cut v neck with wide, ruffled trim. long sleeves with narrow elastication and ruffle at cuffs. cotton 100%",white,tops
2917,circle skirt,39.99,"calf length circle skirt in woven viscose fabric. high waist, ties at front, and elastication at back. viscose 100%",beige,skirts
2918,knit sweater,9.99,"soft, knit sweater with ribbing at neckline, cuffs, and hem. acrylic 100%",mustard yellow,outerwear
2919,shawl collar jacket,49.99,"longer, fitted jacket in woven fabric with a shawl collar. concealed hook and eye fastener at front, welt front pockets, and long sleeves with short slits at cuffs. vent at back. lined. polyester 65%, viscose 33%, elastane 2%",black,outerwear
2920,sweatpants with side stripes,17.99,"sweatpants with an elasticized drawstring waistband, side pockets, and side stripes. ribbed hems. cotton 60%, polyester 40%","black, white black",pants
2921,rib knit pants,49.99,"soft, rib knit pants with a high waist, covered, elasticized waistband, and flared legs. viscose 87%, polyamide 13%",beige white beige melange,pants
2922,sweatshirt,17.99,"soft, relaxed fit sweatshirt with dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",light beige,outerwear
2923,long sleeved tunic,34.99,"tunic in airy, woven viscose with collar, concealed buttons at front, and long sleeves with buttons at cuffs. rounded hem with slits at sides. sightly longer at back. viscose 100%",burgundy,tops
2924,jacket with gathered sleeves,34.99,"gently fitted jacket in woven, crêped fabric. notched lapels, gathered, 3/4 length sleeves, and side pockets. no fasteners. lined. lining: polyester 100%",black,outerwear
2925,beaded jumpsuit,49.99,"jumpsuit in airy, woven plumeti fabric with sequins and beaded embroidery at front. v neck with sewn wrapover front and concealed snap fastener at neckline. opening at back with button at back of neck. elasticized seam at waist with a removable, twisted tie with tassels. lace trim at neckline, cuffs, and hems. short legs. jersey lining. polyester 100%",black white bronze-colored blue black,outerwear
2926,double breasted belted jacket,59.99,"fitted, double breasted jacket in woven fabric with a brushed finish. pointed lapels, welt front pockets. and long sleeves with decorative buttons at cuffs. adjustable belt at waist with large covered buckle. vent at back. lined. polyester 66%, viscose 32%, elastane 2%",beige dark green dark khaki green dark brown beige checked,outerwear
2927,short pile coat,79.99,"short coat in pile with wide, notched lapels, concealed snap fasteners at front, and welt side pockets. lined. lining: polyester 100%",cream,outerwear
2928,knit sweater with beads,19.99,"knit sweater in a soft wool blend with decorations. heavily dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",beige,outerwear
2929,sweatshirt with motif,24.99,"soft sweatshirt with a motif. heavily dropped shoulders, long sleeves, and ribbing at neckline, cuffs, and hem. cotton 60%, polyester 40%",black white black,outerwear
2930,short jersey skirt,12.99,"short jersey skirt with concealed elastication at waist. viscose 80%, polyester 15%, elastane 5%",light brown black light brown tiger striped,skirts
2931,cropped high jeans,24.99,"5 pocket, ankle length jeans in washed stretch denim. high waist and straight, wide legs with raw edge hems. cotton 98%, elastane 2%",cream,jeans
2932,fine knit sweater,12.99,"fine knit, v neck sweater with ribbing at neckline, cuffs, and hem. viscose 70%, polyamide 30%",light beige melange,outerwear
2933,boat necked jersey top,14.99,"long sleeved top in soft, viscose blend jersey with a boat neck and dropped shoulders. cotton 60%, viscose 40%",white black white black striped,tops
2934,pleated skirt,39.99,"calf length skirt in woven pleated fabric. high waist and covered, elasticized waistband. polyester 100%",cream burgundy blue cream paisley-patterned,skirts
2935,a line skirt,24.99,"short, a line skirt with buttons at front. cotton 100%",beige beige leopard print,skirts
2936,v neck peplum blouse,24.99,"blouse in soft, woven viscose fabric. v neck with ruffle trim, covered buttons at front, and long sleeves with narrow elastic at cuffs. seam at waist with gently flared peplum and a gently rounded hem. unlined. viscose 100%",dark red white dark red hearts,tops
2937,jersey dress,14.99,"short sleeved dress in soft cotton jersey. cotton 95%, elastane 5%",black white black white striped,dress
2938,lyocell blend blouse,34.99,"conscious. airy, patterned dress in woven fabric made from a tencel® lyocell blend. collar, buttons at front, dropped shoulders, and long, wide sleeves with buttons at cuffs. rounded hem, slightly longer at back. viscose 50%, lyocell 50%",cream black cream,tops
2939,long wool blend coat,129.00,"premium quality/conscious. long, double breasted coat in a woven wool blend. notched lapels, side pockets with mock flap, one inner pocket, and a tie belt. vent at back. lined. wool content is recycled. wool 60%, polyester 20%, polyamide 20%",dark beige,outerwear
2940,twill biker jacket,49.99,"biker jacket in washed stretch twill with heavily distressed details. notched lapels with decorative buttons, diagonal zip at front, and zip at cuffs. side pockets with zip. unlined. pocket lining: polyester 65%, cotton 35%",dusky pink,outerwear
2941,super skinny high treggings,17.99,"ankle length treggings in stretch twill with a high waist. zip fly with button, back pockets, and super skinny legs with raw edge hems. cotton 79%, polyester 19%, elastane 2%",black black houndstooth-patterned,pants
2942,oversized hooded sweatshirt,34.99,"thank u next x h&m. long sleeved sweatshirt with a printed design. lined drawstring hood, kangaroo pocket, and dropped shoulders. ribbing at cuffs and hem. soft, brushed inside. lining: cotton 100%",light beige black light turquoise light beige ariana grande,outerwear
2943,chiffon blouse with smocking,24.99,straight cut blouse in airy chiffon. smocked stand up collar and opening at back of neck with buttons. long puff sleeves and smocked cuffs with ruffle. polyester 100%,black,tops
2944,double breasted jacket,49.99,"conscious. straight cut, double breasted jacket in woven fabric. notched lapels, welt front pockets with flap, and long sleeves with slit at cuffs. vent at back. lined. polyester content is recycled. polyester 65%, viscose 34%, elastane 1%",light beige brown dark brown light beige brown plaid,outerwear
2945,wool blend coat,129.00,"gently fitted, knee length coat in jacquard weave wool blend fabric. notched lapels, buttons at front, welt front pockets with flap, and long sleeves with buttons at cuffs. vent at back. lined. lining: polyester 56%, viscose 44%",burgundy cream burgundy houndstooth-patterned,outerwear
2946,paper bag skirt,24.99,short skirt in faux suede with a high paper bag waist. polyester 100%,powder pink,skirts
2947,brazilian briefs,5.99,"brazilian briefs in jersey. high waist, high cut legs, and high cut back. lined gusset. gusset lining: cotton 100%",beige black beige leopard print,lingerie
2948,long sleeved blouse,14.99,"blouse in woven cotton fabric with a collar, buttons at front, and gathers at shoulders. long sleeves with buttons at cuffs. rounded hem, slightly longer at back. polyester 100%",black,tops
2949,corduroy skirt,24.99,"short, a line skirt in wide wale cotton corduroy. high waist, zip fly with button, and large patch front pockets. unlined. cotton 100%",beige,skirts
2950,short sleeved sweater,24.99,"soft, knit sweater with wool content. collar, button placket, and short sleeves. ribbing at cuffs and wide ribbing at hem. polyester 54%, acrylic 20%, polyamide 20%, wool 6%",black,outerwear
2951,hooded sweatshirt,17.99,"soft, long sleeved sweatshirt with a jersey lined drawstring hood, kangaroo pocket, and ribbing at cuffs and hem. soft, brushed inside. cotton 60%, polyester 40%",white black white love,outerwear
2952,biker jacket,49.99,"biker jacket in faux suede. notched lapels with decorative snap fasteners, diagonal zip at front, and side pockets with zip. raw edges at cuffs and hem. unlined. polyester 97%, elastane 3%",red,outerwear
2953,coat,39.99,"coat in woven fabric with narrow, notched lapels and no fasteners. discreet front pockets, long sleeves with sewn cuffs, and vent at back. tape trimmed inner seams. unlined. viscose 75%, polyamide 25%",light pink,outerwear
2954,sweatshirt,17.99,"long sleeved sweatshirt made from a cotton blend. ribbing at neckline, cuffs, and hem. soft, brushed inside. cotton 60%, polyester 40%",dark pink melange,outerwear
2955,long t shirt,9.99,"long t shirt in soft, cotton blend jersey. short sleeves with sewn cuffs. cotton 100%",white,tops
2956,cotton shirt,12.99,"shirt in airy cotton fabric with a collar, buttons at front, and long sleeves with button at cuffs. rounded hem. cotton 100%",light beige black light beige zebra print,tops
2957,printed hooded sweatshirt,24.99,"long sleeved sweatshirt with a printed design. lined, wrap front hood, dropped shoulders, and soft, brushed inside. hood lining: cotton 100%",white white snowman,outerwear
2958,silk blend sweatshirt,79.99,"oversized sweatshirt in a cotton and silk blend with a slight sheen. dropped shoulders, long sleeves, and ribbing at neckline and cuffs. elastic ribbing: silk 50%, cotton 50%",light gray,outerwear
2959,lyocell blend shorts,39.99,"conscious/premium quality. shorts in twill made from a tencel® lyocell blend. high waist, belt with covered buckle sewn into one side, and concealed side zip with button. patch front pockets with flap. lyocell 51%, linen 26%, cotton 22%, elastane 1%",cream,shorts
2960,pleated jersey skirt,17.99,"fitted, calf length skirt in soft, pleated jersey with a sheen. covered, elasticized waistband, high slit at front, and overlocked hem. polyester 100%",dusty rose,skirts
2961,boxy sweatshirt,49.99,"boxy sweatshirt in thick cotton fabric with a round neckline and decorative v neck seam at front. heavily dropped shoulders and long, wide sleeves with decorative seams. ribbing at neckline, cuffs, and hem. cotton 100%",light gray melange light yellow light gray melange,outerwear
2962,double breasted jacket,49.99,"striped, double breasted jacket in woven fabric. pointed lapels, welt front pockets, and decorative buttons at cuffs. lined. polyester 54%, viscose 46%",light gray melange white lt. gray melange white striped,outerwear
2963,patterned shorts,9.99,short shorts in soft pattern weave fabric with an elasticized drawstring waistband and side pockets. viscose 100%,coral,shorts
2964,v neck blouse,24.99,"long sleeved blouse in woven fabric. low cut v neck, covered buttons at top, and two elasticized seams at waist. decorative ties at sides of hem. viscose 100%",brown white brown white dotted,tops
2965,pile jacket,24.99,"jacket in soft pile with a jersey lined stand up collar, zip at front, and narrow ribbing at cuffs and hem. unlined. polyester 100%",light beige neon yellow,outerwear
2966,cargo pants,24.99,"cargo pants in stretch twill with a high waist and zip fly with button. mock front pockets, regular back pockets, and leg pockets with flap and concealed snap fasteners. cotton 98%, elastane 2%",dark beige brown dark green black dark beige patterned,pants
2967,short cotton parka,49.99,"short parka in cotton twill with a soft, brushed finish. collar, concealed snap fasteners at front, and snap fastener at cuffs. drawstring at waist, chest pockets with flap, and side pockets. unlined. cotton 100%",khaki green,outerwear
2968,oversized sweatshirt,17.99,"relaxed fit sweatshirt with a mock turtleneck. dropped shoulders, long, wide sleeves, and ribbing at neck, cuffs, and hem. longer at back. cotton 60%, polyester 40%",black,outerwear
2969,wide cut pull on pants,39.99,"conscious. pants in soft, woven fabric made from viscose and recycled polyester. covered, elasticized waistband with a drawstring, side pockets, and straight, wide legs with stitched creases. polyester 63%, polyamide 33%, elastane 4%",dark beige,pants
2970,sweatshirt,9.99,"lightweight sweatshirt with a printed design. ribbing at neckline, cuffs, and hem. polyester 53%, cotton 47%",black,outerwear
2971,padded jacket,119.00,"long, padded jacket in quilted, woven fabric. hood with detachable faux fur trim, stand up collar, and zip and wind flap at front with snap fasteners. diagonal side pockets, and inner ribbing at cuffs. lined. hood: modacrylic 72%, acrylic 20%, polyester 8%",dark brown,outerwear
2972,jacquard patterned leggings,24.99,"ankle length leggings in thick, jacquard patterned jersey. regular waist, concealed elasticized waistband, and slim legs. polyester 81%, viscose 15%, elastane 4%",black cream black houndstooth-patterned,pants
2973,suit pants with creases,34.99,"pants in lightweight stretch twill. high waist, zip fly, and concealed hook and eye fastener. side pockets, mock welt back pockets, and straight legs with gently flared lower section and creases. polyester 65%, viscose 33%, elastane 2%",black,pants
2974,mom fit denim shorts,24.99,"5 pocket shorts in washed, slightly stretchy cotton denim with heavily distressed details. high waist, zip fly with button, and sewn cuffs at hems. cotton 99%, elastane 1%",light blue light denim blue striped,shorts
2975,knit turtleneck sweater,29.99,"boxy turtleneck sweater in a soft knit with wool content. dropped shoulders, long sleeves, and ribbing at cuffs and hem. acrylic 62%, polyamide 28%, wool 8%, elastane 2%",light gray melange,outerwear
2976,circle skirt,49.99,"flared, calf length skirt in woven fabric. high waist, wide, removable belt, and concealed side zip. unlined. polyester 67%, viscose 32%, elastane 1%",light beige brown black cream light beige checked,skirts
2977,mock turtleneck mesh top,12.99,"fitted, long sleeved top in mesh with a mock turtleneck. polyester 95%, elastane 5%",black white white zebra print,outerwear
2978,crêped blouse,34.99,"blouse in airy, crêped fabric. small stand up collar with ties at front, yoke at back with pleat, and concealed buttons at front. long sleeves with buttons at cuffs. gently rounded hem. unlined. polyester 100%",white,tops
2979,super skinny high jeans,19.99,"jeans in washed superstretch denim with a high waist. zip fly with button, mock front pockets, and regular back pockets. super skinny legs. cotton 82%, polyester 17%, elastane 1%",light blue,jeans
2980,oversized sweater,29.99,"oversized sweater in a soft, fine knit with a v neck. heavily dropped shoulders, slits at sides, and ribbing at neckline, cuffs, and hem. longer at back. acrylic 56%, polyamide 23%, wool 12%, alpaca 5%, elastane 4%",natural white,outerwear
2981,denim shorts,9.99,"short shorts in washed, stretch denim. regular waist, front and back pockets, and sewn cuffs. cotton 77%, polyester 21%, elastane 2%",white,shorts
2982,silk blouse with knot detail,119.00,"premium quality. straight cut blouse in soft silk fabric with a knot detail at front for added movement and texture. buttons at top, seam at hips, long sleeves with pleat, and wide cuffs with slit and button. rounded hem. silk 100%",khaki green,tops
2983,oversized wool blend coat,199.00,"long, double breasted coat in thick, pattern weave fabric with wool content. notched lapels, dropped shoulders, and long sleeves with adjustable tab. patch front pockets with flap, decorative tab at back, and a vent at back. lined. lining: viscose 100%",black white black houndstooth-patterned,outerwear
2984,wool blend jacket,149.00,"premium quality/conscious. jacket in a felted italian wool blend with notched lapels. semi attached yoke at back, long raglan sleeves, and front pockets. removable tie belt at waist. lined. wool content is recycled. lining: polyester 100%",light beige,outerwear
2985,pull on pants,29.99,"pants in soft twill. regular waist, elasticized waistband with drawstring, side pockets, and mock welt back pockets. tapered legs with slits at hems. pocket lining: cotton 100%",beige black white beige plaid,pants
2986,checked shirt,24.99,"checked shirt in soft, woven viscose fabric. collar, buttons at front, and open chest pocket. long sleeves with button at cuffs. rounded hem, slightly longer at back. viscose 100%",dark green dark blue black dark green dark blue plaid,tops
2987,loose knit cardigan,12.99,"conscious. long sleeved cardigan in a soft, loose knit with no buttons. made partly from recycled polyester. polyester 52%, viscose 46%, elastane 2%",black,outerwear
2988,shorts with tie belt,29.99,"high waisted shorts in woven fabric. wide, removable tie belt, pleats at front, zip fly with hook and eye fasteners, and side pockets. polyester 100%",black,shorts
2989,trenchcoat,79.99,"trenchcoat in woven fabric. notched lapels, hook and eye fastener at top, and semi attached yoke at back. removable tie belt at waist, side pockets, and vent at back. lined. polyester 67%, viscose 31%, elastane 2%",beige black beige checked,outerwear
2990,long pile coat,99.00,"long coat in soft pile with notched lapels. concealed snap fasteners at front, concealed side seam pockets, and long raglan sleeves. lined. lining: polyester 100%",black,outerwear
2991,mock turtleneck mesh top,12.99,"fitted, long sleeved top in mesh with a mock turtleneck. polyester 95%, elastane 5%",pink white pink batik-patterned,outerwear
2992,skinny regular ankle jeans,9.99,"ankle length jeans in washed stretch denim with a regular waist. mock front pockets, regular back pockets, and skinny legs. cotton 75%, polyester 22%, elastane 3%",white,jeans
2993,linen jersey top,14.99,premium quality. top in airy linen jersey. low cut neckline and narrow shoulder straps. linen 100%,dark khaki green,tops
2994,shawl collared jacket,39.99,"fitted jacket in woven fabric with a shawl collar. concealed hook and eye fastener, long sleeves, and welt front pockets. lined. polyester 83%, viscose 16%, elastane 1%",burgundy,outerwear
2995,ribbed top,17.99,"fitted top in ribbed jersey with a round neckline and long raglan sleeves. polyester 80%, cotton 17%, elastane 3%",black,tops
2996,ribbed top,24.99,"fitted, long sleeved top in rib knit cotton  blend fabric. v neck at front and back. cotton 50%, viscose 33%, polyamide 17%",white,outerwear
2997,faux fur jacket,59.99,"jacket in soft faux fur with notched lapels, concealed snap fasteners at front, and front pockets. lined. polyester 100%",burgundy,outerwear
2998,padded hooded jacket,69.99,"padded, fitted jacket in woven fabric. lined hood, stand up collar, and zip at front with wind flap and snap fasteners. fleece lined front pockets with snap fastener. lined. lining: polyester 100%",black,outerwear
2999,knee length denim skirt,34.99,"5 pocket, knee length skirt in washed stretch denim. zip fly with button, slit at front, and raw edge hem. cotton 98%, elastane 2%",denim blue,skirts
3000,loose knit cardigan,24.99,"cardigan in a soft, loose knit with dolman sleeves, snug fit cuffs, and a rounded hem. no fasteners. acrylic 55%, polyamide 45%",dark beige,outerwear
3001,v neck jumpsuit,29.99,"sleeveless jumpsuit in soft, heavily draped viscose jersey. wrapover v neck, extra narrow shoulder straps, and elasticized seam at waist. straight, wide legs. viscose 100%",black white black white patterned,outerwear
3002,wool blend coat,129.00,"fitted coat in a soft, felted wool blend. notched lapels, concealed snap fasteners at front, removable tie belt at waist, and side seam pockets. vent at back. lined. wool 55%, polyester 41%, acrylic 2%, polyamide 2%",black,outerwear
3003,pile coat,119.00,"coat in soft pile with notched lapels, concealed snap fasteners at front, and side pockets. lined. lining: polyester 100%",dark beige,outerwear
3004,slip style dress,19.99,"ankle length dress in soft jersey. v neck, narrow, adjustable shoulder straps, and slits at sides. viscose 100%",light gray melange,dress
3005,paper bag shorts,24.99,"short shorts in woven fabric with a high paper bag waist. wide, elasticized waistband, mock fly, and side seam pockets with metal details. pocket lining: polyester 100%",dark green,shorts
3006,embrace high denim shorts,29.99,"premium quality. short, 5 pocket shorts in washed denim with distressed details and a smart stretch function – molds to body for a comfortable and flattering fit. high waist, zip fly, and skinny legs. pocket lining: polyester 65%, cotton 35%",dark denim blue,shorts
3007,hooded jacket,19.99,"sweatshirt jacket with a lined drawstring hood. zip at front, side pockets, and ribbing at cuffs and hem. cotton 60%, polyester 40%",light gray melange,outerwear
3008,fine knit turtleneck sweater,19.99,"wide cut turtleneck sweater in a soft, fine knit. dropped shoulders, long, wide sleeves, and wide ribbing at cuffs and hem. acrylic 52%, polyamide 27%, polyester 12%, elastane 6%, wool 3%",beige melange,outerwear
3009,satin boat necked blouse,29.99,"richard allan x h&m. straight cut blouse in satin with a printed pattern. boat neckline, long sleeves, and wide cuffs with gold colored buttons. unlined. polyester 100%",white dark gray powder pink black white patterned,tops
