,title,price,colour,category,description,brand
97,Janoah Ribbon Tie Blouse,36.9,missing,tops,Janoah Ribbon Tie Blouse,Love Bonito
98,Gracia Tie-back Cami Maxi Dress,49.9,missing,dress,Gracia Tie-back Cami Maxi Dress,Love Bonito
99,Jasmine Pleated A-line Midi Skirt,53.9,missing,skirts,Take a twirl. Intricate pleats. Dual tone design.,Love Bonito
100,Corlia Boat Neck Wide Leg Jumpsuit,53.9,missing,jumpsuits,Sleek & chic. Pintuck pleat detail. V-back. Wide leg.,Love Bonito
101,Evelyn Twist Front Blouse,39.9,missing,tops,It's all in the details. Puff sleeve. Twist front detail.,Love Bonito
102,Robin Peplum Midi Dress,51.9,missing,dress,Sleek & chic. Pintuck details. Sits close to the body. Slit hem. V-back. ,Love Bonito
103,Nazia High Waist Tie Front Shorts,39.9,missing,shorts,Nazia High Waist Tie Front Shorts,Love Bonito
104,Lidia Curved Hem Shirt,39.9,missing,tops,You'll wear it over & over again. Button down. Cuffed sleeves. ,Love Bonito
105,Senara Flare Sleeve Pinstripe Dress,46.9,missing,dress,<ul><li>Get in line</li><li>Crossover detail</li><li>Asymmetrical flare sleeves</li><li>Classic A-line silhouette</li><li>Material has no stretch</li><li>Concealed back zip closure</li><li>Lined; Polyester</li><li>Made of polyester</li></ul>,Love Bonito
106,Mayris Cape Sleeve Top,39.9,missing,tops,"Minimalists who prefer an understated approach to bridesmaids styling will appreciate our Mayris top, teamed with our matching Florenn pants.",Love Bonito
107,Forsetta Striped Knit Sweater,39.9,missing,outerwear,Forsetta Striped Knit Sweater,Love Bonito
108,Discelia Crossover Sash Tunic Top,39.9,missing,tops,Discelia Crossover Sash Tunic Top,Love Bonito
109,Brenna Ruffle Hem Gingham Dress,46.9,missing,dress,Some days call for a little extra. Gingham print. Breathable fabric. Ruffle hem.,Love Bonito
110,Veda Toga Contrast Jumpsuit,59.9,missing,jumpsuits,You're a work of art. Abstract motifs. Cinched waist. Straight leg. ,Love Bonito
111,Rebekah Mini Tweed Trumpet Skirt,36.9,missing,skirts,Sleek & chic. Luxurious tweed. Ruffle hem. ,Love Bonito
112,Eudora Ruffle Hem Shift Dress,46.9,missing,dress,The LBD - it's a classic. Ruffle hem. Classic shift dress silhouette. ,Love Bonito
113,Skylar Drape Hem Camisole in Moroccan Reverie,36.9,missing,tops,"<b>Specially designed in-house print.</b> Two is better than one. Mixed print, inspired by Moroccan tiles. Asymmetrical hem. ",Love Bonito
114,Ambrosia Sash Tie Pants,53.9,missing,bottoms,Work-to-weekend vibes. Sash tie. Straight leg. ,Love Bonito
115,Avie Pleated Midi Skirt,53.9,missing,skirts,<p>For your day-time thing. Polkadot print. Sunray pleats. Stretchy waistbands.,Love Bonito
116,Fika Plaid Pleat Front Shorts,39.9,missing,shorts,Fika Plaid Pleat Front Shorts,Love Bonito
117,Lindi Tie Front Midi Dress,49.9,missing,dress,<ul><li>Can't go wrong with a classic</li><li>Tie front</li><li>Slit hem</li><li>Knee length</li><li></li><li>Material has no stretch</li> <li>Concealed back zip closure</li><li>Concealed back button fastening with keyhole opening</li><li>Lined bottom half; polyester</li><li>Made of polyester</li></ul>,Love Bonito
118,Mylee Gingham Wrap Dress,46.9,missing,dress,Two is better than one. Gingham colourblock. Classic wrap dress silhouette. Tie side. ,Love Bonito
119,Kaiya Culotte Jeans,46.9,missing,jeans,Give your skinnies a break. Wide leg. Frayed hem. ,Love Bonito
120,Noemie Contrast Piping Pants,46.9,missing,bottoms,"<p>Don't forget the matching blazer. Co-ord set. Straight leg. Contrast piping. Hidden front zip closure with hook and bar fastening.</p><p>Model Aim is 174cm tall, a UK6/8, wears Size S.</p>",Love Bonito
121,Marlette Lace Panel Midi Dress,59.9,missing,dress,A romantic number rendered in dreamy lace. A see-through lace panel at the hem adds extra flair.,Love Bonito
122,Ayleen Tie Front Romper in Marigold Blossom,49.9,missing,jumpsuit,"<b>Specially designed in-house print.</b> Made for dreamy, summer day picnics. Hand-sketched floral motifs. Tie front detail. Frill hem. ",Love Bonito
123,Aileen Puff Sleeve A-Line Dress,46.9,missing,dress,For the modern minimalist. Puff sleeve. Contrast fabric. Classic A-line silhouette.,Love Bonito
124,Juli Printed Tie-front Sleeveless Top,36.9,missing,tops,Juli Printed Tie-front Sleeveless Top,Love Bonito
125,Rubinsky Geometric Print Sweater,43.9,missing,outerwear,Rubinsky Geometric Print Sweater,Love Bonito
126,Rylvia Satin Midi Skirt,49.9,missing,skirts,Rylvia Satin Midi Skirt,Love Bonito
127,Emery Button Down Midi Dress,51.9,missing,dress,"Weekend outfit, check. Flattering square neckline. Empire waist. ",Love Bonito
128,Vikita Lace Top,39.9,missing,tops,"Think soft, intricate lace, layered to create depth. Our Vikita Top is the piece you need in your wardrobe to instantly dress up any casual outfit.  Concealed back button fastening with keyhole opening.",Love Bonito
129,Lucero Layered Check Jumpsuit,46.9,missing,jumpsuits,<ul><li>Bold & beautiful</li><li>Summer-ready checkered print</li><li>Layered detail</li><li>Midi length</li><li>Material has no stretch</li><li>Conceal back zip closure</li><li>Functional side pockets</li><li>Not lined</li><li>Made of polyester</li></ul>,Love Bonito
130,Braylee Contrast A-line Dress in Candy Stripe,43.9,missing,dress,<b>Specially designed in-house print.</b> For your daytime thing. Button details. Gradient stripe print.  Classic A-line silhouette. ,Love Bonito
131,Palma Pleat Front A-line Dress,46.9,missing,dress,For the modern minimalist. Classic A-line silhouette. Colourblock design. ,Love Bonito
132,Hadria Pleated Midi Dress,49.9,missing,dress,Pleat on pleat on pleat. A charming dress cut to a unique empire waist silhouette and features layered pleat details all over. Concealed side zip closure,Love Bonito
133,Kresha Keyhole Top,39.9,missing,tops,"Simple, effortless and easy to wear. Cut to a perfect fit to flaunt your shoulders in an alluring manner. Complete the look with tailored flare pants for a refreshing take on the usually dainty wedding outfits.",Love Bonito
134,Demelza Polka Dot Tailored Shorts,36.9,missing,shorts,Don't forget the matching blazer. Polka dot print. Tailored fit.,Love Bonito
135,Cerulis Asymmetrical Twist Strap Top,36.9,missing,tops,"A fresh take on a traditional toga top, the asymmetrical twist on this classy piece is sure to elevate any outfit.",Love Bonito
136,Kellie '90s Straight Crop Jeans,49.9,missing,jeans,A fail-safe pair of jeans that we guarantee you’ll keep reaching for - extremely comfortable and easy to pair with a variety of tops. Designed with an on-trend frayed hem that shows off cool shoes. Hidden functional button closure and worn at high waist,Love Bonito
137,Tadinne Knit Top,33.9,missing,tops,Tadinne Knit Top,Love Bonito
138,Bamasse Button Blouse,41.9,missing,tops,Basics don't usually come this feminine. This is a top that's crafted to delicately shape your figure while looking effortless.,Love Bonito
139,Gia Sash Tie Wide Leg Pants,49.9,missing,bottoms,"Some days call for a little extra. Unique, tie front detail. Wide leg. Improved fit. ",Love Bonito
140,Rosa Denim Tie-back Dress,41.9,missing,dress,"Weekend outfit, check. Sweetheart neckline. Ruffled straps. Open back. Classic A-line silhouette.",Love Bonito
141,Melania Denim Shirt Dress,43.9,missing,dress,Perfect for Sunday Brunch. Lightweight chambray fabric. Curved hem. Button down. ,Love Bonito
142,Jazabel Crossover Top,46.9,missing,tops,The chic way to do volume is to give it shape and a flattering definition. Finish off your look with fitted pants for balance in your look or a full skirt for added drama. Hidden front button and press button fastening.,Love Bonito
143,Analia Scallop Hem Knit Sweater,41.9,missing,outerwear,"Stay cosy. Fun, scallop hem. Ribbed knit fabric. ",Love Bonito
144,Juenma String Tie Zipper Midi Jumpsuit,49.9,missing,jumpsuits,Juenma String Tie Zipper Midi Jumpsuit,Love Bonito
145,Karly Printed Sash Belt Shirt,43.9,missing,tops,Bold & beautiful. Geometric print. Button down. Matching sash. ,Love Bonito
146,Billie Maxi Shirt Dress,53.9,missing,dress,Daytime dressing made easy. Collared neckline. Ribbon tie. ,Love Bonito
147,Tilio Top,36.9,missing,tops,Tilio Top,Love Bonito
148,Tazanna High Waist Shorts,33.9,missing,shorts,Don't forget the matching blazer. Stripe print. Tailored fit. ,Love Bonito
149,Malena Printed Denim Skorts,39.9,missing,shorts,Malena Printed Denim Skorts,Love Bonito
150,Kendra Button Down Shirt Dress,31.9,missing,dress,Kendra Button Down Shirt Dress,Love Bonito
151,Elado Sash Tie Vest Top,53.9,missing,tops,Elado Sash Tie Vest Top,Love Bonito
152,Coslynn Pinstripe Midi Dress,46.9,missing,dress,Light & breezy. Sweetheart neckline. Cinched waist. ,Love Bonito
153,Tolula Textured Peplum Top,36.9,missing,tops,Tolula Textured Peplum Top,Love Bonito
154,Selyese Belted Pocket Shorts,41.9,missing,shorts,Selyese Belted Pocket Shorts,Love Bonito
155,Camber Polka Dot Midi Jumpsuit,49.9,missing,jumpsuits,Bold & beautiful. Polka dot print. Tie side. Straight leg.,Love Bonito
156,Kaia Layered Longline Vest,69.9,missing,outerwear,A smart vest to get you looking sharp. This minimalist style adds layers of visual appeal in the most flattering way.,Love Bonito
157,Alayna Shorts in Sunburst Stripe,36.9,missing,shorts,<b>Specially designed in-house print.</b> Comes in a pair for a matchy-matchy look. High waisted. ,Love Bonito
158,Aggie Mixed Print Ruffle Dress,46.9,missing,dress,Two is better than one. Floral motifs. Ruffle hem. Cinched waist. ,Love Bonito
159,Tiava Tie Back Camisole,39.9,missing,tops,"Regardless of dress code, this tie-back camisole is the foolproof trick to a day-to-night look. Team this with unique slit pants to elevate the entire look or simply wear it over a midi skirt for a romantic vibe.",Love Bonito
160,Sunia Sash Curved Hem Dress,43.9,missing,dress,Work-to-weekend vibes. Slit hem. Tie front. ,Love Bonito
161,Zaina Elastic Waist Shorts,36.9,missing,shorts,Summer day staple. Elasticized waist for comfort. Breathable fabric. ,Love Bonito
162,Cresda Cascade Stripe Layered Skorts,49.9,missing,shorts,Cresda Cascade Stripe Layered Skorts,Love Bonito
163,Lacole Layered Skorts,36.9,missing,shorts,Lacole Layered Skorts,Love Bonito
164,Pamelia Contrast Piping Knit Cardigan,43.9,missing,outerwear,Stay cosy. Textured knit. Button down. ,Love Bonito
165,Nehara Pleat Front Midi Jumpsuit,53.9,missing,jumpsuits,<ul><li>Cute as a button</li><li>Figure-flattering pleats</li><li>Square neckline</li><li>Midi length</li></ul>,Love Bonito
166,Beotrice Button Turtleneck Sweater,39.9,missing,outerwear,Beotrice Button Turtleneck Sweater,Love Bonito
167,Arianna Lace Trim V-neck Top,33.9,missing,tops,Your desk to dinner hero. Delicate lace trim. V-neckline. ,Love Bonito
168,Lisander Asymmetric Hem Denim Skirt,43.9,missing,skirts,Updated for the modern girl. Classic A-line silhouette. Frayed hem. Asymmetrical hem. Foldover detail. ,Love Bonito
169,Ailis Tuxedo Mini Dress,51.9,missing,dress,<ul><li>Parisian chic</li><li>Shawl lapel</li><li>Large button detail</li><li>A-line silhouette</li><li>Material has no stretch</li><li>Concealed side zip closure</li><li>Non functional front buttons</li><li>Lined; Polyester</li><li>Made of polyester</li></ul>,Love Bonito
170,Tellean Asymmetrical Pleat Peplum Top,43.9,missing,tops,Tellean Asymmetrical Pleat Peplum Top,Love Bonito
171,Treya Twist Knot Stripe Dress,69.9,missing,dress,Treya Twist Knot Stripe Dress,Love Bonito
172,Lenise Drop Hem Halter Neck Dress in Grapefruit Sorbet,49.9,missing,dress,"<b>Specially designed In-house print.</b> Weekend outfit, check. Vintage plaid print. Halter neckline. ",Love Bonito
173,Klaire Flutter Sleeve Peplum Top,36.9,missing,tops,<ul><li>Flair for the dramatic</li><li>Flutter sleeves</li><li>Peplum hem</li><li>,Love Bonito
174,Atkins Broderie Anglaise Mini Dress,43.9,missing,dress,"Made for dreamy, summer day picnics. Broderie anglaise. Button down. Square neckline.",Love Bonito
175,Noemie Contrast Piping Relaxed Blazer,59.9,missing,outerwear,"<p>#girlboss. <span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Co-ord set with matching bottoms. </span><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Notched lapels. </span><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Tie front. </span><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Contrast piping. </span><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif;"">Comes with detachable sash.</span></p><p>Model Aim is 174cm tall, a UK6/8, wears Size S.</p>",Love Bonito
176,Dasha Foldover Cap Sleeve Dress,46.9,missing,dress,Your eight till late fix. Cap sleeve. Pleat front detail.,Love Bonito
177,Veldina Flare Hem Dress,53.9,missing,dress,"It’s time to RSVP ‘yes’. Flouncy, fluttery hem. Tailored fit. Just a lil’ bit of a peekaboo. Concealed back zip closure with hook",Love Bonito
178,Sirena Layered Pencil Dress,49.9,missing,dress,Flair for the dramatic. Foldover layer. Button details. Slit hem. ,Love Bonito
179,Paislee Ruched Chambray Blouse,36.9,missing,tops,"For your daytime thing. Soft, chambray fabric. V-neckline. ",Love Bonito
180,Melloa Longline Open Cardigan,49.9,missing,outerwear,Melloa Longline Open Cardigan,Love Bonito
181,Lynsie Ruched Front Midi Dress,49.9,missing,dress,Easily dressed up or down. Gathered details. Flutter sleeves. Nursing-friendly. Hidden front zip closure and button fastening.,Love Bonito
182,Ambrosia Sash Tie Blazer,59.9,missing,outerwear,"Suit up, ladies. Sash tie. Button front. ",Love Bonito
183,Karina Ruffle Overlay Maxi Dress,59.9,missing,dress,Take a twirl. Cinched waist. Ruffle overlay. V-neckline. ,Love Bonito
184,Keti Flare Leg Jumpsuit,53.9,missing,jumpsuits,"Our Keti jumpsuit is a stunning one-piece featuring a flattering V-neck, a fit and flare silhouette, and a high-waist with an adorable faux belt detail. Concealed back zip closure with hook.",Love Bonito
185,Alisha Lace Overlay Pencil Dress,56.9,missing,dress,Love at first sight. Delicate floral lace. Sits close to the body. ,Love Bonito
186,Estella Printed Wide Leg Pants,46.9,missing,bottoms,Bold & beautiful. Contrast print. Leg lengthening. ,Love Bonito
187,Charlotte Satin Tie Front Pants,49.9,missing,bottoms,<ul><li>Wrapped in a bow</li><li>Straight leg</li><li>Tie front</li><li>Cropped length</li></ul>,Love Bonito
188,Priscelia Cascade Ruffle Foldover Midi Jumpsuit,69.9,missing,jumpsuits,Priscelia Cascade Ruffle Foldover Midi Jumpsuit,Love Bonito
189,Sufis Tie-front Gingham Dress,46.9,missing,dress,Sufis Tie-front Gingham Dress,Love Bonito
190,Cierro A-line Shorts,26.9,missing,shorts,Cierro A-line Shorts,Love Bonito
