,title,brand,price,description,colour,category
46,Miss Selfridge mom jeans in mid wash,Miss Selfridge,64.77,      It's all in the jeans    High-rise waist       Concealed fly      Five pockets      Straight leg      Sits on the ankle      Relaxed fit ,Blue,jeans
47,Missguided wide leg jeans with tortoiseshell belt in white,Missguided,44.98,"     For today, tomorrow and every day after  High rise       Belted waist       Functioning pockets      Wide cut      Regular fit  Just select your usual size ",White,jeans
48,Topshop Maternity Joni underbump skinny jeans in mid wash,Topshop,64.77,      A wardrobe staple since forever    Under-the-bump band       Functional pockets       Cropped length    Skinny fit    Designed to fit through all stages of pregnancy  ,Blue,jeans
49,ASOS DESIGN Ridley high waist skinny jeans with rips in mid stonewash,ASOS DESIGN,50.37, Part of our responsible edit  High rise   Concealed fly   Button fastening  Side and back pockets  Ripped-knee details  Skinny fit  Cut very closely from hips to hem ,Stonewash blue,jeans
50,ASOS DESIGN Petite Farleigh high waisted slim mom jeans in light vintage wash with busted knee and rip & repair detail,ASOS DESIGN,62.97,     Just like your mum’s in the 80s  Light-blue wash      Nipped in at the waist  Ripped knee      Slim leg stopping just above the ankle      Extreme high rise      Slim fit  A narrow cut that sits close to the body ,Light stone,jeans
51,River Island Amelie skinny jeans in mid wash,River Island,71.96,"     For today, tomorrow and every day after  Mid-rise waist  Concealed fly      Functional pockets      Lightly distressed details  Skinny fit  Cut closely from hips to hem ",Mid auth,jeans
52,ASOS DESIGN Curve pull on jegging in clean black,ASOS DESIGN,32.38,     A go-to pair  High rise  Stretch waist      Two back pockets      Skinny fit   A tight cut for a sleek shape ,missing,jeans
53,Mamalicious Maternity coated skinny jeans with bump band in burgundy,Mama.Licious,89.96,     It's all in the jeans   Coated finish   Over-the-bump insert       Concealed fly      Functional pockets      Skinny fit      Designed to fit through all stages of pregnancy ,Burgundy,jeans
54,ASOS DESIGN Ridley high waisted skinny jeans in clean black with ripped knees,ultra skinny jeans,53.97,"     Super soft high-stretch denim      Stretch added for comfort and fit      Ultra skinny fit through the leg      Contoured bottom lifting back pockets      High rise      Dark wash      Skinny fit – cut closely to the body      Machine wash      66% Cotton, 20% Polyester, 11% Viscose, 3% Elastane      Our model wears a UK 8/W26"" L32"" and is 173cm/5'8"" tall ",Black,jeans
55,Bandia Maternity ankle grazer skinny jeans with removable band,Bandia,68.37,     It's all in the jeans  Removable jersey bump band for extra support and comfort  Extension tab allows for extra room during pregnancy      Zip fly  Belt loops      Five pockets  Skinny fit  Designed to fit through all stages of pregnancy ,Vintage lightwash,jeans
56,ASOS DESIGN Tall Mom jeans in concrete wash with rips,ASOS DESIGN,62.97,      Part of our responsible edit    High rise   Belt loops      Five pockets      Ripped knees      Raw-cut hem  Regular fit  True to size ,Concrete,jeans
57,Dr Denim Nora high rise mom jean with exposed button detail,Dr Denim,98.95, It's all in the jeans   Black wash   High-rise waist   Button fly  Functional pockets      Slim tapered leg      Sits on the ankle      Relaxed fit ,Retro black,jeans
58,Object mom jean in blue,Object,115.14,     It's all in the jeans      High-rise waist       Concealed fly       Functional pockets      Slim tapered leg      Sits on the ankle      Relaxed fit ,Blue,jeans
59,River Island mom jeans in white,River Island,71.96,"     Add them to your everyday line-up      High-rise waist      Concealed fly with button fastening      Functioning pockets  Slim, tapered fit  Cut closely around the thigh with a narrow shape through the leg ",White,jeans
60,ASOS DESIGN Curve Florence authentic straight leg jeans in bone chalky white,ASOS DESIGN,57.57,     The perfect partner for all your nice tops  Mid rise  Belt loops  Zip fly  Functional pockets  Straight-cut leg  Cropped length  Regular fit  Just select your usual size ,Chalk white,jeans
61,Signature 8 ripped boyfirend jeans,Signature 8,75.56,     Add them to your everyday line-up  Regular rise  Concealed fly   Button fastening  Ripped knees  Distressed details   Raw hem  Relaxed fit  For a slouchy silhouette  ,Medium denim,jeans
62,Dr Denim Solitaire super high waist leather look super skinny jean,Dr Denim,89.96,     They've already got your attention  Super high waist  Zip fly  Four pockets  Branded patch to reverse  Super-skinny fit  The tightest cut for a super-sleek edge  ,Black metal a09,jeans
63,ASOS DESIGN Maternity High rise stretch 'slim' straight leg jeans in mid vintage wash with over the bump band,ASOS DESIGN,57.57, You can always depend on denim  High-rise waist  Over-the-bump band       Functional pockets      Straight cut  Regular fit      Designed to fit you from bump to baby ,Mid vintage wash,jeans
64,Vero Moda skinny high rise jeans in black,Vero Moda,57.57," Buy them now, wear them forever  Black wash  High rise  Button fastening  Concealed fly  Functional pockets  Skinny fit  Cut very closely from hips to hem ",Black,jeans
65,Levi's 501 crop jeans in midwash blue,Levi's,170.91,      You can always depend on denim   High-rise waist  Concealed fly  Functional pockets  Cropped leg  Regular fit  True to size ,Tango beats,jeans
66,Urban Bliss Plus high waisted coated jeans,Urban Bliss,53.97,      Add them to your everyday line-up    High rise   Concealed fly   Button fastening  Side and back pockets   Skinny fit   Cut very closely from hips to hem  Exclusive to ASOS ,Black,jeans
67,Abrand Venice straight leg coloured jeans,Urban Bliss,143.93," Buy them now, wear them forever  Branding to back  High rise  Button fastening  Concealed fly  Functional pockets  Straight leg  Regular fit  Just select your usual size ",Apple,jeans
68,We The Free by Free People Just Float On high waist flare jean,Free People,122.34,     They've already got your attention      High waist   Concealed fly with button fastening  Flared shape  Cut with a skinny leg that flares at the knee ,Black,jeans
69,ASOS DESIGN Maternity kimmi boyfriend jeans in blackened blue wash with over the bump band,ASOS DESIGN,62.97,"     Fresh threads?  We’ve got you covered      Concealed fly      Functional pockets  Relaxed boyfriend fit  That slouchy, baggy feel  Designed to fit through all stages of pregnancy ",Blackened blue,jeans
70,Simply Be shape & sculpt extra high waist skinny jeans in black,Simply Be,75.56,     A go-to pair  Multidirectional stretch for comfort  Super-high-rise waist      Zip fly with button placket      Five-pocket design      Designed to sculpt the body  Skinny fit   A tight cut for a sleek shape ,Black,jeans
71,Boohoo Plus exclusive high waist mom jeans in black,boohoo,46.78, For that thing you have to go to  High rise   Zip fly with button fastening  Five pockets  Cropped length  Regular fit  Just select your usual size  Exclusive to ASOS ,Black,jeans
72,ASOS DESIGN High rise 'relaxed' dad jeans in vintage light wash with rips,ASOS DESIGN,68.37,     Part of our responsible edit  High rise  Concealed fly  Button fastening  Straight leg  Relaxed fit  For a slouchy silhouette ,Vintage light wash,jeans
73,ASOS DESIGN Tall Ridley high waisted skinny jeans in mid wash blue,ASOS DESIGN,50.37,"     Mid-blue wash       It's a classic       High rise      Zip fly       Five pockets      Contoured, bottom lifting back pockets      Ultra skinny fit through the leg      Skinny fit       A tight cut for a sleek shape  ",Mid blue,jeans
74,GeBe Maternity over-the-bump skinny jeans in midwash blue,GeBe,62.97, It's all in the jeans   Mid-wash blue   Stretch over-the-bump waistband  Ripped details       Functional pockets      Skinny fit - cut very closely to the body       It’s got you covered every step of the way ,Mid wash,jeans
75,Levi's Plus 310 shaping skinny jean,Levi's Plus,143.93,     They're long-term relationship material      High rise  Light wash  Zip fly with button fastening  Five pockets  Uses shaping technology to enhance your curves  Branded logo patch to back   Skinny fit  Cut very closely from hips to hem ,Breakthrough blue pl,jeans
76,ASOS DESIGN Petite Farleigh high waisted slim mom jeans in light vintage wash with busted knee and rip & repair detail,ASOS DESIGN,62.97, Part of our responsible edit  High rise      Concealed fly      Functional pockets  Distressed details  For that worn-in vibe      Sits on the ankle  Relaxed mom fit ,Light vtg wash,jeans
77,River Island Amelie mid rise skinny jeans in black,ASOS DESIGN,71.96,     Super-stretch denim      Mid-rise waist  Zip fly      Five-pocket styling      Super skinny fit - cut closest to the body ,Black,jeans
78,Freddy WR.UP high waist push up shine jean,Freddy WR.UP,233.88,     It's high-shine season       High-rise waist       Zip fly  Contoured seams to rear for a shaping effect   Skinny fit  Cut very closely from hips to hem ,Black,jeans
79,Only Tall high waisted straight leg jeans,Only,53.97,"     For today, tomorrow and every day after  Dark-blue wash  High-rise waist      Concealed fly      Functional pockets  Straight leg  Regular fit  Just select your usual size ",Dark blue denim,jeans
80,ASOS DESIGN Petite Ridley high waisted skinny jeans in coated black,ASOS DESIGN,89.96,     Part of our responsible edit   High-rise waist      Concealed fly      Functional pockets  Skinny fit  Cut very closely from hips to hem ,Black,jeans
81,ASOS DESIGN Florence authentic straight leg jeans in bright pink metallic,ASOS DESIGN,68.37,     It's a mood  Mid-rise waist  Concealed fly  Functional pockets  Straight leg  Regular fit  True to size  ,Pink,jeans
82,River Island straight leg jeans in light wash blue,River Island,71.96,     They're everything you've been scrolling for  Mid rise  Belt loops  Zip fly  Functional pockets  Raw-cut hem  Regular fit  Just select your usual size ,Denim light,jeans
83,River Island Petite Bundy mum jeans with rips in mid wash,River Island,68.37,      It's all in the jeans    High rise    Belt loops    Concealed fly       Five pockets      Distressed and ripped details      Regular fit  Just select your usual size ,Mid auth,jeans
84,ASOS DESIGN Rivington with knot front belt detail in black,ASOS DESIGN,30.58,     They're long-term relationship material      High-rise waist  Knot detail  Zip-side fastening  Skinny fit  Cut very closely from hips to hem ,Black,jeans
85,ASOS DESIGN Tall soft peg jeans in light vintage wash with elasticated cinched waist detail,ASOS DESIGN,57.57,      Part of our responsible edit    High rise   Elasticated waist  Concealed fly   Button fastening  Side pockets  Peg style   Regular fit  Just select your usual size ,Light vintage wash,jeans
86,River Island Plus distressed mom jeans in washed black,River Island,62.97,"      For today, tomorrow and every day after    High-rise waist       Belt loops  Concealed fly with button fastening   Five pockets       Straight cut  Regular fit  Just select your usual size  ",Washed black,jeans
87,Levi's 501 crop jeans in midwash blue,Levi's,170.91, A wardrobe staple since forever  High rise  Belt loops   Concealed fly with button fastening  Side and back pockets  Levi's logo  Cropped style  Regular fit  True to size ,Jive stonewash,jeans
88,ASOS DESIGN Farleigh high waisted slim mom jeans with rips in light vintage acid wash,ASOS DESIGN,62.97,      Part of our responsible edit    Acid wash   High rise      Concealed fly with button fastening      Functional pockets      Cropped length  Slim fit  A narrow cut from hips to hem ,Light vintage acid,jeans
89,ASOS DESIGN Tall balloon boyfriend jeans in clean black,ASOS DESIGN,57.57,     Black wash      High rise      Just like your standards      Concealed fly      Five-pocket styling      Cut loosely around the thigh  Tapered from the knee to the ankle  Relaxed boyfriend fit  Straight outta their wardrobe ,Clean black,jeans
90,ASOS DESIGN premium wide leg jeans dark stonewash blue,ASOS DESIGN,68.37,     Part of our responsible edit  Mid-rise waist  Concealed fly  Belt loops  Functional pockets  Wide-fit design  Because we know one size doesn’t fit all ,Stone wash blue,jeans
91,Mango mom jeans in washed black,Mango,64.75,     They're long-term relationship material      High-rise waist      Concealed fly       Five pockets      Slim tapered leg      Sits on the ankle      Relaxed fit ,Black,jeans
92,ASOS DESIGN Tall Balloon leg boyfriend jeans in pink acid wash,ASOS DESIGN,62.97,"     Part of our responsible edit  High-rise waist  Concealed fly      Functioning pockets  Relaxed boyfriend fit  That slouchy, baggy feel ",Orange,jeans
93,ASOS DESIGN Petite Ridley high waisted skinny jeans with raw hem in French workwear blue wash,ASOS DESIGN,50.37,      Part of our responsible edit    High rise    Concealed fly with button fastening    Functional pockets   Skinny fit  Cut very closely from hips to hem ,Blue,jeans
94,ASOS DESIGN Farleigh high waisted slim mom jeans in light vintage wash with busted knee and rip & repair detail,ASOS DESIGN,62.97,"     Like what you see, do ya?  Extreme high rise   Nipped in at the waist  Zip fly  Ripped knees  Ankle-grazer design  Slim fit  Cut close to the body   Part of the Eco Edit  Jeans with benefits  ",Light stone,jeans
95,Dr Denim Aiko high rise wide leg crop jean with raw hem,Dr Denim,98.95,"      They're long-term relationship material    High rise    Concealed fly with button fastening       Functional pockets      Cropped length  Raw hem  Wide leg  Fitted at the top, flowing at the bottom ",Downtown blue,jeans
96,New Look Petite waist enhance jean in off white,New Look,46.76,     Add them to your everyday line-up      Concealed fly with button fastening      Functional pockets  Straight leg      Regular fit  Just select your usual size ,White,jeans
97,ASOS DESIGN Florence authentic straight leg jeans in iridescent croc,ASOS DESIGN,71.96,     Extra? Us? Never      High rise  Belt loops  Button fastening with concealed fly   Side and back pockets  Crocodile effect  Straight leg  Regular fit  True to size ,Multi,jeans
98,Noisy May Tall ankle grazer mom jean in black,Noisy May Tall,50.37,     They're long-term relationship material      High rise       Concealed fly      Functional pockets      Ankle grazer style      Regular fit  Just select your usual size ,Black,jeans
99,Dr Denim Lexy mid rise second skin super skinny jeans,Dr Denim,71.96,     A fail-safe pair      Mid-rise waist      Zip fly      Functional pockets  Super-skinny fit  The tightest cut for a super-sleek edge  ,Dark stone,jeans
100,Missguided Petite vice high waisted super stretch skinny jean in black,Missguided Petite,35.98,     They're long-term relationship material      High rise  Concealed fly      Functional pockets  Skinny fit  Cut closely from hips to hem ,Black,jeans
