,title,brand,price,description,colour,category
76,Calvin Klein Performance Active Icon logo waistband leggings in blue,Calvin Klein,125.94,     For exercise or everyday wear      High rise  Branded detailing      Elasticated waistband      Close-cut bodycon fit ,missing,bottoms
77,Only check trousers with tie waist in dark grey,Only,62.97,     Some serious daytime inspiration right here      Drawstring wait      Check design      It's hip to be square      Side pockets      Regular fit - true to size ,missing,bottoms
78,Calvin Klein Buffalo check jogger in red,Calvin Klein,107.95,      Peak snugness    Regular rise   Elasticated waistband  Branded detailing       Functional pockets    Fitted cuffs   Regular fit  Just select your usual size ,missing,bottoms
79,ASOS DESIGN Tall wide leg trousers with pleat detail,ASOS DESIGN,44.98,     Put the jeans away for a day       High-rise waist      Side pockets  Pleated detail       Wide-cut leg      Loose fit - falls loosely over the body  ,missing,bottoms
80,ASOS DESIGN casual animal print trouser with wide waistband,ASOS DESIGN,35.98,"     Add-to-bag potential: considerable  Shirred, stretch waistband  Animal print  Wide leg  Fitted at the top, flowing at the bottom ",missing,bottoms
81,Puma Plus high shine leggings in red Exclusive at ASOS,PUMA,62.97,"     Coming soon to your Saved Items      High rise  Stretch waistband       Small logo        Skinny fit   Tight cut, regular on the waist  Exclusive to ASOS ",missing,bottoms
82,ASOS DESIGN Tall carpenter trouser in acid wash teal,ASOS DESIGN,62.97,      Part of our responsible edit    High rise    Button fastening    Cargo-style pockets   Regular fit  Just select your usual size ,missing,bottoms
83,Daisy Street high waist trousers in cord,Daisy Street,50.36,     For your daytime thing  High rise  Concealed fly  Button fastening  Straight leg  Relaxed fit  For a slouchy silhouette ,missing,bottoms
84,adidas Originals adicolor locked up logo track pants in black,adidas,80.96,"     For your casual thing  High rise   Elasticated waistband  Zipped side pockets   3-Stripe design  Trefoil logo embroidery   Elasticated cuffs  Regular, tapered fit   Just select your usual size ",missing,bottoms
85,ASOS DESIGN Maternity Tall 2 pack high waisted leggings in black,ASOS DESIGN,25.19,     Pack of two  Double up on your favourites  High-rise waist  Plain design  Bodycon fit  A tight cut to the body  Designed to fit you from bump to baby  ,missing,bottoms
86,ASOS DESIGN Hourglass tracksuit cropped sweat / corset waist jogger,ASOS DESIGN,61.17,     Part of our responsible edit   Part of the Hourglass range  Cut with more room around the hips      Crew neck      Dropped shoulders      Jogger bottoms  Side pockets  Fitted cuffs  Regular fit  True to size  ,missing,bottoms
87,New Look Maternity 2 pack leggings in black,New Look Maternity,26.97,     Pack of two  Double up on your favourites       High-rise waist      Elasticated waistband      Close-cut bodycon fit      Designed to fit you from bump to baby ,missing,bottoms
