,name,price,colour,description,about_me,brand,category
6253,Another Reason short sleeve body with contrast seam detail,46.32,Ivory rib,Not just any body Crew neck Short sleeves Contrast seam detailing Corset motif Keyhole back Thong cut Press-stud fastening underneath Exclusive to ASOS,"           Soft, stretchy jersey Ribbed texture   Body: 100% Polyester.",Another Reason,tops
6254,COLLUSION Unisex logo t-shirt in purple,11.12,Purple,Part of our responsible edit    Crew neck Dropped shoulders Short sleeves Printed design Regular fit Just select your usual size Unisex style,           Soft jersey COLLUSION partners with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,COLLUSION,tops
6255,ASOS DESIGN corset with puff sleeves in glow zebra print,51.88,Yellow,Cue the party playlist    Glow-in-the-dark style Zebra print    Square neck Puff sleeves Curved hem Cropped length Zip-back fastening Regular fit Just select your usual size,,ASOS DESIGN,tops
6256,Fashionkilla button through plunge crop top in rose smoke,25.94,Rose smoke,For your daytime thing Scoop neck Button placket Short sleeves Cropped length Regular fit Just select your usual size Exclusive to ASOS,"           Everyday T-shirt fabric Basic in the best way Fabric: 95% Polyester, 5% Elastane.",Fashionkilla,tops
6257,ASOS DESIGN long sleeve top with twist front detail,55.58,Black,Easily dressed up or down V-neck Wrap front Tie back Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Main: 100% Polyester.,ASOS DESIGN,tops
6258,Missguided Peace and Love co-ord satin drape crop top in black,74.11,Black,Worth making plans for Asymmetric neck Drape front Gold-tone chain strap Diamante detailing Zip-through back Cropped cut Regular fit Just select your usual size,"           Satin-style fabric Silky and super smooth Main: 98% Polyester, 2% Elastane.",Missguided,tops
6259,The North Face Boyfriend Red Box t-shirt in white Exclusive at ASOS,64.84,White,"You can't beat a classic Crew neck Drop shoulders Short sleeves The North Face logo print to chest and back Boyfriend fit That slouchy, baggy feel    Exclusive to ASOS","           Soft, breathable jersey The official term for 'T-shirt fabric'  Main: 100% Cotton.",The North Face,tops
6260,ASOS DESIGN v neck vest bodysuit in beige,18.53,Beige,Not just any body V-neck Scoop back Bodycon fit A tight cut to the body,"           Go-with-everything jersey It's a soft all-rounder Main: 95% Viscose, 5% Elastane.",ASOS DESIGN,tops
6261,ASOS DESIGN lounge velour hoodie,33.35,Pink,Somewhere between pyjamas and actual clothes    Fixed hood     Dropped shoulders Relaxed fit For a slouchy silhouette,"           Soft, velvet-feel velour Big in the 00s, better now Main: 100% Polyester.",ASOS DESIGN,tops
6262,New Look Maternity nursing t-shirt in black,24.07,Black,Pair it with anything and everything Scoop neck Wrap front    Double-layer design Ideal for nursing    Regular fit True to size    Designed to fit you from bump to baby,"           Soft jersey T-shirt fabric Outer: 100% Polyester, Inner: 50% Cotton, 50% Modal.",New Look,tops
6263,ASOS DESIGN mesh top in ditsy print with cap sleeve,25.94,Multi,Add-to-bag potential: considerable Floral print V-neck Cap sleeves Tie detail Regular fit Just select your usual size,           Fine mesh For those see-through vibes Main: 100% Polyester.,ASOS DESIGN,tops
6264,ASOS DESIGN Alyson strappy back lace plunge body,40.76,Black,Not just any body    Plunge neck    Strapped design     Adjustable straps    Lace-up tie back     Thong cut,"           Sheer lace  For those see-through vibes  Lace: 86% Polyamide, 11% Elastane, 3% Polyester, Lining: 100% Cotton.",ASOS DESIGN,tops
6265,COLLUSION Unisex printed t-shirt,27.79,Grey,Add it to your everyday line-up Crew neck Neon branding to chest Relaxed fit For a slouchy silhouette Unisex style,"           Soft jersey T-shirt fabric, in other words Main: 100% Polyester.",COLLUSION,tops
6266,The Ragged Priest crop top with chain detail,64.84,White,Add-to-bag potential: considerable High neck Chain detail Ribbed finish Cropped cut Regular fit Just select your usual size Exclusive to ASOS,"           Soft jersey The official term for 'T-shirt fabric' Body: 97% Cotton, 3% Elastane, Metal Trim: 100% Metal.",The Ragged Priest,tops
6267,Puma exclusive to ASOS wrap top in pink,36.13,Pink,"Activewear, but make it fashion V-neck Wrap design PUMA logo detail Supportive band Long sleeves Tie cuffs Regular fit Just select your usual size",,PUMA,tops
6268,Club L London Tall sequin cowl front body in silver,55.58,Silver,Worth making plans for    Cowl neck    Adjustable straps    Thong cut Bodycon fit A tight cut to the body,"           Sequin-embellished fabric If in doubt, go all out  Fabric: 100% Polyester.",Club L London Tall,tops
6269,Daisy Street shrunken long sleeve top in spot print mesh,29.62,Black spot,"Like what you see, do ya?Crew neck Long sleeves Spot print Bodycon fit Holds you close","           Fine mesh For a subtle flash of skin Main: 95% Nylon, 5% Elastane.",Daisy Street,tops
6270,Miss Selfridge orange floral ruched cami,40.76,Orange,For your daytime thing    Scoop neck Ruched front with tie Frill straps Shirred-stretch back Regular fit Just select your usual size,           Soft viscose It's got a little give  Main: 100% Viscose.,Miss Selfridge,tops
6271,ASOS DESIGN Curve crew neck t-shirt in stripe,14.82,White/khaki,Throw on and go Striped design Crew neck Short sleeves Regular fit Just select your usual size,"           Everyday T-shirt fabric Basic in the best way  Main: 65% Cotton, 35% Polyester.",ASOS DESIGN,tops
6272,ASOS DESIGN asymmetric cowl neck satin cami,33.35,Bronze,It's everything you've been scrolling for Cowl neck Fixed straps Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Main: 100% Polyester.,ASOS DESIGN,tops
6273,Esprit basic roll neck top in black,27.79,Black,For your daytime thing Roll-neck Long sleeves Plain design Regular fit Just select your usual size,"           Everyday T-shirt fabric Basic in the best way Main: 95% Cotton, 5% Elastane.",Esprit,tops
6274,Micha Lounge Luxe knitted hoodie with tie detail in wool blend,64.84,Caramel,"When the temperature goes down, stay warm up top Hooded neck with tie detail Dropped shoulders Ribbed trims Split hem Relaxed fit For a slouchy silhouette Exclusive to ASOS","           Soft knit Cosy level: considerable  Body: 60% Polyester, 28% Acrylic, 12% Wool.",Micha Lounge,tops
6275,Vans black classic long sleeve t-shirt,59.29,Black,"One for your wardrobe     Crew neck    Vans logo Regular fit Not too loose, not too tight",           Go-with-everything jersey It’s a soft all-rounder  Body: 100% Cotton.,Vans,tops
6276,PrettyLittleThing slinky cowl neck body in black,27.79,Black,Not just any body Round neck Sleeveless style Cowl design Mesh back Brief cut Bodycon fit A tight cut to the body,"           Slinky, stretchy fabric With mesh inserts For those see-through vibes  Main: 95% Polyester, 5% Elastane, Mesh: 100% Polyester.",PrettyLittleThing,tops
6277,ASOS DESIGN short sleeve linen shirt in neon stripe,51.88,Multi,For your daytime thing Striped design Revere collar    Button placket    Pocket detail    Split sides Relaxed fit Think baggy and casual,           Pure cotton It's light and breathable Main: 100% Cotton.,ASOS DESIGN,tops
6278,New Look pussybow blouse in cream,37.04,Nude,Add-to-bag potential: considerable Pussy-bow neck    Blouson sleeves    Regular fit Just select your usual size,           Satin-style fabric Silky and super smooth Main: 100% Polyester.,New Look,tops
6279,Tommy Hilfiger Tommywear ribbed cami top in grey,55.58,004 grey heather,Cute and comfortable     Scoop neck    Adjustable straps    Small logo Regular fit Just select your usual size,"           Everyday T-shirt fabric Basic in the best way Fabric 1: 96% Modal, 4% Elastane, Fabric 2: 85% Polyamide, 15% Elastane, Lining: 100% Cotton.",Tommy Hilfiger,tops
6280,Fiorucci all over angel print t shirt in white,138.95,White,Worth making plans for Graphic to chest Crew neck Short sleeves Regular fit Just select your usual size,           Soft cotton jersey The official term for 'T-shirt fabric' Body: 100% Cotton.,Fiorucci,tops
6281,Missguided petite organza crop top with puff sleeves in cream,46.32,Nude,Worth making plans for Square neck Shirred-stretch design Puff sleeves Regular fit Just select your usual size,"           Wafer-thin organza Sheer, smooth and crisp to touch Main: 100% Polyester.",Missguided,tops
6282,adidas Training logo tank in black,28.72,Black white,Branded design That 3-Stripe life    Crew neck    Relaxed fit Loose but not oversized,"           Soft-touch jersey T-shirt fabric, in other words Body: 50% Polyester, 25% Viscose, 25% Cotton.",adidas,tops
6283,River Island scoop t-shirt in white,33.35,White,Add it to your everyday line-up Scoop neck Plain design Regular fit Just select your usual size,"           Soft jersey T-shirt fabric, in other words Main: 100% Cotton.",River Island,tops
6284,ASOS DESIGN Ella lace plunge body,37.05,Cobalt,A little something for your lingerie drawer Plunge neck High-cut leg Adjustable straps Thong back,"           Delicate lace For those ultra-fem vibes Gusset Liner: 100% Cotton, Main: 89% Polyamide, 11% Elastane.",ASOS DESIGN,tops
6285,The North Face TNL crop full zip hoodie in grey,138.95,Grey,Peak snugness Drawstring hood Zip-through front Small logo to chest Logo-taped sleeves Side pockets Cropped style Regular fit Just select your usual size,"           Soft sweatshirt fabric For all-day cosiness  Backing: 100% Nylon, Face: 100% Polyester.",The North Face,tops
6286,ASOS DESIGN Maternity t-shirt with Oh Baby print,25.94,White,Part of our responsible edit Crew neck Slogan design Short sleeves Regular fit    Designed to fit through all stages of pregnancy,"           Soft jersey Made from organic cotton Grown with less water and no pesticides It's a win-win, improving the environment for both wildlife and cotton farmers  Main: 100% Cotton.",ASOS DESIGN,tops
6287,Skylar Rose Plus high neck body with cut out in check,59.29,Black,For your daytime thing High neck Long sleeves Check design Thong back Bodycon fit A tight cut to the body Exclusive to ASOS,"           Fine mesh For those see-through vibes Body: 100% Polyester, Lining: 100% Polyester.",Skylar Rose,tops
6288,ASOS DESIGN cami with square neck with button back,22.23,Black,"A wardrobe staple Square neck Adjustable straps Button-through back Split hem Regular fit No surprises, just a classic cut",           Lightweight woven fabric Drapes softly over the body  Main: 100% Polyester.,ASOS DESIGN,tops
6289,Hollister tie front button thru shirt,53.73,Rust floral,For your daytime thing V-neck Floral print Button placket Hem ties at the front Regular fit Just select your usual size,           Lightweight viscose Crinkled finish  Body: 100% Viscose.,Hollister,tops
6290,River Island waisted shirt in white,64.84,White,Add it to your everyday line-up    Point collar Button placket Tie waist Short sleeves Regular fit Just select your usual size,"           Lightweight woven fabric Drapes softly over the body  Main: 65% Polyester, 35% Cotton.",River Island,tops
6291,Abercrombie & Fitch logo t-shirt,55.58,White,Throw on and go Crew neck Short sleeves Branded embroidery Regular fit A standard cut for a classic shape,"           Soft, breathable jersey The official term for 'T-shirt fabric'  Body: 100% Cotton.",Abercrombie & Fitch,tops
6292,ASOS DESIGN Petite lace scoop neck body in black,29.64,Black,Not just any body     Scoop neck    Adjustable straps Sheer design     Thong cut     Press-stud fastening Regular fit Just select your usual size,"           Delicate lace If you're into patterns, you'll be into this Main: 100% Polyamide.",ASOS DESIGN,tops
6293,PrettyLittleThing mesh body with high leg in peach,22.23,Peach,It's already got your attention    Round neck    Long sleeves    Piping to body    High leg    Bodycon fit    A tight cut to the body,           Fine mesh For those see-through vibes Main: 100% Polyester.,PrettyLittleThing,tops
6294,Criminal Damage long sleeve crop top with contrast panels co-ord,64.84,Nude,"Your casual vibe, sorted Crew neck    Panelled design     Cropped cut     Relaxed fit For a slouchy silhouette","           Soft sweatshirt fabric Style and comfort – it's a lifestyle Body: 60% Polyester, 35% Viscose, 5% Elastane.",Criminal Damage,tops
6295,ASOS DESIGN Petite smock top in broidery,46.32,White,"Add-to-bag potential: considerable Crew neck Dropped shoulders Smock waist Regular fit No surprises, just a classic cut","           Broderie anglaise Embroidered eyelet fabric It's a cute all-rounder  Main: 100% Cotton, Trim: 95% Cotton, 5% Elastane.",ASOS DESIGN,tops
6296,Daisy Street plus relaxed t-shirt with Los Angeles embroidery,22.21,Lilac,Add it to your everyday line-up    Crew neck    Short sleeves    Embroidered design Relaxed fit Think baggy and casual Exclusive to ASOS,"           Go-with-everything jersey It's a soft all-rounder Body: 52% Polyester, 48% Cotton.",Daisy Street Plus,tops
6297,ASOS 4505 panelled long sleeve crop with zip in high shine,29.64,Black/green,"Activewear, but make it fashion High neck Zip fastening Long sleeves Panel design Cropped style Regular fit Just select your usual size","           Smooth coated jersey With mesh sleeves   Fabric 1: 85% Polyester, 15% Elastane, Fabric 2: 93% Polyester, 7% Elastane.",ASOS 4505,tops
6298,ASOS DESIGN Maternity satin cami in spot print,33.35,Multi,For your daytime thing    Polka-dot print V-neck    Adjustable straps    Regular fit    Designed to fit through all stages of pregnancy,           Satin-style fabric Silky and super smooth Main: 100% Polyester.,ASOS DESIGN,tops
6299,ASOS DESIGN oversized t-shirt in grunge tie dye,33.35,Multi,Part of our responsible edit Crew neck Dropped shoulders Tie-dye print Oversized fit More room for activities,           Soft jersey We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,tops
6300,Lipsy satin cami top in black,27.79,Black,A wardrobe staple V-neck    Cami straps    Regular fit True to size,"           Satin-style fabric Super-smooth, silky-silky feel Fabric: 100% Polyester.",Lipsy,tops
6301,ASOS DESIGN Curve turtle neck long sleeve top in stripe,25.94,Black/white,Striped design It's a classic    Turtle neck    Long sleeves Slim fit A narrow cut that sits close to the body,"           Basic jersey Why complicate things?  Main: 82% Polyester, 9% Cotton, 9% Elastane.",ASOS DESIGN,tops
6302,New Look oversized check shirt in white pattern,33.33,White pattern,Add-to-bag potential: considerable Check design Point collar Chest pockets Button placket Long sleeves Oversized fit Designed to look baggy,"           Soft cotton Or, what we like to call 'shirt fabric' Main: 100% Cotton.",New Look,tops
6303,Nike Plus boyfriend t-shirt in lilac,31.5,Lavender mist,Part of our responsible edit Crew neck Dropped shoulders Short sleeves Nike Swoosh logo Relaxed fit For a slouchy silhouette,"           Soft jersey Made with organic cotton Grown with less water and no pesticides It's a win-win, improving the environment for both wildlife and cotton farmers Body: 100% Cotton.",Nike Plus,tops
6304,ASOS DESIGN short sleeve longline utility shirt with belt detail,62.99,Ivory,For your daytime thing     Notch collar Short sleeves    Button placket    Belted waist Cut longer than standard length Regular fit Just select your usual size,"           Linen-mix fabric It's breathable and natural  Main: 85% Cotton, 15% Linen.",ASOS DESIGN,tops
6305,Wednesday's Girl Curve relaxed t-shirt with heart balloon print,22.23,White,For your daytime thing Crew neck Print to chest Short sleeves Regular fit Just select your usual size Exclusive to ASOS,"           Everyday T-shirt fabric Basic in the best way 50% Polyester, 50% Cotton",Wednesday's Girl Curve,tops
6306,ASOS DESIGN Petite t-shirt with sushi print,22.23,White,For your daytime thing    Crew neck Sushi design to front    Regular fit Just select your usual size,           Soft jersey We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,tops
6307,Mango v neck knitted top in off white,48.15,White,For your daytime thing V-neck and back Cropped length Regular fit Just select your usual size,"           Crochet knit Think patterns, but with a handmade look Main: 100% Cotton.",Mango,tops
6308,ASOS DESIGN Petite crop sweatshirt with slouchy roll neck in winter white,33.35,Winter white,Throw on and go Roll-neck Dropped shoulders Raw-edge hem Relaxed fit For a slouchy silhouette,"           Soft sweatshirt fabric Style and comfort – it's a lifestyle Fabric 1: 100% Cotton, Fabric 2: 95% Cotton, 5% Elastane.",ASOS DESIGN Petite,tops
6309,ASOS DESIGN long sleeve plunge shirt with knot front,55.58,Bubblegum,Team with jeans and you're good to go Plunge neck Point collar Twist front Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch Main: 100% Polyester.,ASOS DESIGN,tops
6310,ASOS DESIGN smock top with broidery hem,33.35,White,Daytime dressing made easy Crew neck Short sleeves Smock shape Woven broderie hem Pullover style Regular fit Just select your usual size,"           Soft, breathable jersey We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.",ASOS DESIGN,tops
6311,Outrageous Fortune Plus cowl front lace insert cami in taupe leopard print,48.17,Sand,Not just any body    Draped cowl neck Adjustable straps     Leopard design Stretch back Thong cut     Regular fit Just select your usual size,"           Satin-style fabric Silky and super smooth  Fabric: 96% Polyester, 4% Elastane, Fabric 2: 92% Polyester, 8% Elastane, Lace: 100% Nylon.",Outrageous Fortune,tops
6312,ASOS DESIGN ultimate organic cotton t-shirt with crew neck 2 pack SAVE,18.53,Black/white,Part of our responsible edit Pack of two     Crew neck Cropped cut Regular fit Just select your usual size,"           Soft-touch jersey Made from organic cotton Grown with less water and no pesticides It's a win-win, improving the environment for both wildlife and cotton farmers Main: 100% Cotton.",ASOS DESIGN,tops
6313,Missguided Petite lace bralet in black,33.35,Black,Add-to-bag potential: considerable Moulded cups    Hook-and-eye front Cropped length Slim fit Cut close to the body,"           Lined lace If you're into patterns, you'll be into this Main: 100% Polyester.",Missguided Petite,tops
6314,Missguided lace bodysuit in white,46.32,White,Done in one Plunge neck Long sleeves Sheer inserts    Close-cut bodycon fit,"           Delicate lace For those ultra-fem vibes Fabric 1: 60% Nylon, 40% Cotton, Fabric 2: 95% Polyester, 5% Elastane.",Missguided,tops
6315,Jaded London hoodie in skull print borg,111.16,Black/white,Throw on and go Drawstring hood Dropped shoulders Skull print Adjustable hem Regular fit Just select your usual size,"           Soft, cosy borg Teddy-bear texture Main: 90% Acrylic, 10% Polyester.",Jaded London,tops
6316,Missguided Tall dobby mesh bodysuit in black,33.35,Black,Not just any body Crew neck Long sleeves Thong cut Bodycon fit A tight cut to the body,"           Fine dobby mesh For those see-through vibes Main: 95% Polyester, 5% Elastane.",Missguided Tall,tops
6317,ASOS DESIGN boxy t-shirt with cute emboridery,22.23,White,Part of our responsible edit    Crew neck with embroidery Boxy cut Regular fit Just select your usual size,           Soft-touch jersey We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,tops
6318,Missguided Tall knitted ribbed v neck bodysuit in white,37.05,Light vintage blue,Not just any body    V-neck    Long sleeves Thong cut Bodycon fit A tight cut to the body,"           Go-with-everything jersey It's a soft all-rounder Main: 70% Viscose, 30% Polyamide.",Missguided,tops
6319,ASOS DESIGN super crop turtle top in yellow,18.53,Yellow,For your daytime thing Turtle neck Long sleeves Cropped length Bodycon fit A tight cut to the body,"           Soft jersey T-shirt fabric, in other words Main: 96% Cotton, 4% Elastane.",ASOS DESIGN,tops
6320,Mango square ribbed long sleeved top in cream,33.33,Cream,Add it to your everyday line-up Plain design Ribbed finish Square neck Long sleeves Regular fit Just select your usual size,"           Everyday T-shirt fabric Basic in the best way Main: 89% Viscose, 11% Elastane.",Mango,tops
6321,Boohoo Petite exclusive bardot top in black,25.94,Black,Easily dressed up or down Bardot neck Stretch inserts Cropped length Regular fit Just select your usual size,"           Ribbed jersey For a textural switch-up  Main: 95% Polyester, 5% Elastane.",boohoo,tops
6322,ASOS DESIGN ultimate organic cotton crew neck long sleeve t-shirt in navy,18.53,Navy,Part of our responsible edit Crew neck Long sleeves Regular fit Just select your usual size,"           Soft jersey Made from organic cotton Grown with less water and no pesticides It's a win-win, improving the environment for both wildlife and cotton farmers Main: 95% Organic Cotton, 5% Elastane.",ASOS DESIGN,tops
6323,New Look being kind is free slogan tee in yellow,16.66,Dark yellow,For your daytime thing    Crew neck Short sleeves Slogan to chest Regular fit Just select your usual size,"           Everyday T-shirt fabric Basic in the best way Main: 100% Cotton, Rib: 97% Cotton, 3% Elastane.",New Look,tops
6324,ASOS DESIGN satin cami with floral embroidery,40.76,Navy,Easily dressed up or down V-neck Adjustable straps Floral embroidery Regular fit A standard cut for a classic shape,"           Satin-style fabric Silky and super smooth Main: 100% Polyester, Trim: 100% Viscose.",ASOS DESIGN,tops
6325,ASOS DESIGN Tall t-shirt with raw seams and v-neck in washed stone,22.23,Stone,Throw on and go V-neck Dropped shoulders Raw-cut seams    Relaxed fit Think baggy and casual,           Go-with-everything jersey It's a soft all-rounder Main: 100% Cotton.,ASOS DESIGN,tops
6326,ASOS DESIGN Curve turtle neck long sleeve rib crop top in white,22.23,White,It’s everything you’ve been scrolling for Turtle neck Ribbed finish Regular fit Just select your usual size,"           Soft knit The kind that stretches  Main: 94% Viscose, 6% Elastane.",ASOS DESIGN,tops
6327,ASOS DESIGN Alyson strappy back lace plunge body,40.76,Red,A little something for your lingerie drawer Strappy design    Plunge neck    Underwire support    Adjustable straps    Lace-up back    Thong cut,"           Delicate lace If you're into patterns, you'll be into this Lace: 86% Polyamide, 11% Elastane, 3% Polyester, Lining: 100% Cotton.",ASOS DESIGN,tops
6328,DKNY sport chest logo t shirt,81.52,Spearmint,For your daytime thing Crew neck Dropped shoulders DKNY logo print Relaxed fit Think baggy and casual,"           Super-soft jersey The kind that stretches  Body: 58% Cotton, 38% Modal, 4% Spandex.",DKNY,tops
6329,Daisy Street cropped long sleeve shirt in check,37.04,Pink check,For your daytime thing Check design Spread collar Button placket Long sleeves Cropped length Regular fit Just select your usual size,"           Cotton-rich woven fabric It's light and breathable  Body: 80% Cotton, 20% Polyester.",Daisy Street,tops
6330,New Look Curve boyfriend tee in mid grey,16.66,Mid grey,"Team with jeans and you're good to go Scoop neck Relaxed boyfriend fit That slouchy, baggy feel","           Go-with-everything jersey It's a soft all-rounder Main: 90% Cotton, 10% Viscose.",New Look,tops
6331,& Other Stories sheer floral ruched top in black,50.02,Black white flower,Easily dressed up or down Floral print Deep V-neck Ruched front Regular fit Just select your usual size,"           Fine mesh For those see-through vibes Main: 94% Polyester, 6% Elastane.",& Other Stories,tops
6332,Closet London knot front cropped blouse in white,74.11,White,Add-to-bag potential: considerable V-neck Knot front Cropped cut Regular fit Just select your usual size,"           Smooth woven fabric The kind that doesn't stretch  Fabric: 88% Viscose, 12% Polyester.",Closet,tops
6333,Vans white colour block small logo t-shirt,37.05,White,Worth making plans for Logo to chest Crew neck Short sleeves Regular fit Just select your usual size,           Soft cotton jersey The official term for 'T-shirt fabric'  Body: 100% Cotton.,Vans,tops
6334,In The Style x Laura Jade lace up panelled top in floral print,46.3,Multi,Designed in collaboration with Laura Jade Floral print    Square neck Lace-up front    Zip-back fastening    Cropped length Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Fabric: 100% Polyester.,In The Style Laura Jade,tops
6335,Miss Selfridge wrap blouse with scallop hem in black,46.32,Black,For your daytime thing V-neck Short sleeves Wrap front Scallop-edge hem Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Main: 100% Polyester.,Miss Selfridge,tops
6336,ASOS DESIGN long sleeve high neck top with lace insert,59.29,Cream,For your daytime thing     High neck    Long sleeves Lace insert Zip-back fastening Regular fit Just select your usual size,"           Soft cotton It's light and breathable  Main: 100% Cotton, Trim: 85% Cotton, 15% Nylon.",ASOS DESIGN,tops
6337,ASOS DESIGN cropped t-shirt with butterfly motif,18.53,White,Part of our responsible edit Crew neck Dropped shoulders Butterfly print to chest Cropped length Relaxed fit For a slouchy silhouette,           Soft jersey We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals  Main: 100% Cotton.,ASOS DESIGN,tops
6338,ASOS DESIGN Maternity plisse wrap top with tie side in dark floral print,51.88,Multi,For your daytime thing V-neck    Wrap design     Floral print Tie waist     Regular fit Just select your usual size    Designed to fit you from bump to baby,           Lightweight plisse Finely pleated fabric Main: 100% Polyester.,ASOS DESIGN,tops
6339,ASOS DESIGN long sleeve square neck top with volume sleeves In linen,59.29,Neutral,Easily dressed up or down Square neck Balloon sleeves Wrap waist Regular fit Just select your usual size,"           Textured, linen-rich fabric It's breathable and natural  Main: 57% Linen, 43% Viscose.",ASOS DESIGN,tops
6340,Puma Retro Print XTG Hoodie,75.96,Multi,Throw on and go Drawstring hood     PUMA print Long sleeves Fitted cuffs Regular fit Just select your usual size,"           Soft, cosy fleece Warm fabric with a fuzzy texture Main: 100% Polyester.",PUMA,tops
6341,adidas Originals Essential crew neck sweat in white,70.4,White,"A wardrobe staple Crew neck Raglan sleevesadidas branding Regular fit No surprises, just a classic cut","           Soft-touch sweatshirt fabric A great chill-out buddy Main: 100% Cotton, Rib: 95% Cotton, 5% Elastane.",adidas,tops
6342,In The Style x Stephsa print cropped blouse with open back tie detail,46.32,Black,Collaboration with Stephsa High neck Blouson sleeves Open back Tie fastening Cropped design Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch   Fabric: 100% Polyester.,In The Style,tops
6343,Jaded London oversized t-shirt with dystopia graphic,64.84,Beige,Worth making plans for Graphic print Crew neck Dropped shoulders Oversized fit More room for activities,           Soft cotton jersey The official term for 'T-shirt fabric'  Main: 100% Cotton.,Jaded London,tops
6344,Neon Rose Plus relaxed shirt in horse sketch print,51.88,Orange horse,It's already got your attention     Spread collar Long sleeves    Button placket    Relaxed fit For a slouchy silhouette,           Soft woven fabric The kind that doesn't stretch   Body: 100% Polyester.,Neon Rose Plus,tops
6345,River Island Plus utility shirt in white,59.29,White,Add-to-bag potential: considerable Notch lapels Button placket Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Main: 100% Polyester.,River Island Plus,tops
6346,ASOS DESIGN Curve long sleeve cropped shirt in sketchy faces print,46.32,Multi,For your daytime thing All-over sketch print Spread collar Button placket Button cuffs Cropped hem Regular fit Just select your usual size,           Lightweight viscose Soft and drapey Main: 100% Viscose.,ASOS DESIGN,tops
6347,ASOS DESIGN Petite boxy crop t-shirt with exposed seams in lilac,22.23,Lilac,Add it to your everyday line-up High neck Dropped shoulders Cropped length Boxy cut Relaxed fit Think baggy and casual,"           Soft jersey T-shirt fabric, in other words Main: 100% Cotton.",ASOS DESIGN,tops
6348,Parallel Lines off shoulder blouse in white stripe,64.84,White,For that thing you have to go to    Cold-shoulder design    Sweetheart neck Adjustable straps Long sleeves Twist detail     Front split Regular fit Just select your usual size,           Smooth woven fabric The kind that doesn't stretch  Body: 100% Polyester.,Parallel Lines,tops
6349,Public Desire crop sweatshirt in tie dye,27.77,Pink tie dye,Add-to-bag potential: considerable Tie-dye print Bardot neck    Dropped shoulders Cropped length    Relaxed fit Think baggy and casual,           Soft sweatshirt fabric Style and comfort – it's a lifestyle Main: 100% Cotton.,Public Desire,tops
6350,Reign by Coco De Mer Majorelle flock cut-out body in black,83.37,Black flock,Add-to-bag potential: considerable Halter neck    Cut-out design Flocked pattern    Hook closure Thong cut Bodycon fit A tight cut to the body,,Coco De Mer,tops
6351,Vans rainbow stripe boyfriend t-shirt,55.58,Stripey,For your daytime thing    Striped design Crew neck Logo to chest Short sleeves Regular fit Just select your usual size,           Go-with-everything jersey It's a soft all-rounder Body: 100% Cotton.,Vans,tops
6352,ASOS DESIGN Curve cami top with sequin embellishment,46.32,Black,"Take this cutie out-out V-neck Adjustable cami straps All-over sequin embellishment Hey, fancy pants Regular fit - true to size","           Embellished woven fabric More is definitely more  Lining: 100% Polyester, Shell: 100% Polyester.",ASOS DESIGN,tops
6353,COLLUSION Unisex logo t-shirt in grey,11.12,Charcoal,Part of our responsible edit Unisex style Crew neck Short sleeves COLLUSION logo Relaxed fit For a slouchy silhouette,           Soft jersey COLLUSION partners with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,COLLUSION,tops
6354,Nike Air Running Plus long sleeve top in khaki,74.11,Khaki,For the gym or your everyday thing Round neck    Long sleeves    Small logo Regular fit True to size,"           Lightly textured fabric Uses Nike Dri-FIT technology Moves sweat away from the skin, then draws it out of the fabric to help speed up evaporation Keeping you cool and dry in the process Body: 100% Polyester.",Nike,tops
6355,ASOS DESIGN Maternity nursing double layer smock top in ditsy floral print,40.76,Multi,Team with jeans and you're good to go Floral print Crew neck Double-layer design Ideal for nursing    Regular fit Just select your usual size    Designed to fit you from bump to baby,           Go-with-everything jersey It's a soft all-rounder Main: 100% Cotton.,ASOS DESIGN,tops
