,name,price,colour,description,about_me,brand,category
33,Vesper co-ord midi skirt in red,61.14,Red,Part of a co-ord set Top sold separately High rise Stretch waistband Bodycon fit A tight cut to the body,           Smooth woven fabric The kind that stretches Fabric: 100% Polyester.,Vesper,skirts
34,J.Crew Mercantile raw hem chalk denim skirt,85.22,Chalk,Add-to-bag potential: considerable High rise Belt loops Concealed fly     Side pockets Raw hem Regular fit Just select your usual size,"           Stretch denim For a tight cut without the restriction Body: 99% Cotton, 1% Elastane.",J.Crew Mercantile,skirts
35,Parallel Lines leather look wrap front mini skirt with bow detail in tan,51.88,Tan,No need for a dress to impress    High rise    Wrap design Zip-back fastening Regular fit Just select your usual size,"           Faux leather Let's be honest, no one can tell the difference Body: 100% Polyurethane.",Parallel Lines,skirts
36,Wednesday's Girl Curve midaxi skirt in dalmatian spot,33.35,Blue dalmatian,For your daytime thing High rise    Button placket    Midi length Regular fit Just select your usual size Exclusive to ASOS,           Smooth woven fabric The kind doesn't stretch  Body: 100% Polyester.,Wednesday's Girl Curve,skirts
37,Hope & Ivy plunge front contrast print ruffle midi skirt in multi floral,120.43,Beige floral,Part of a co-ord set Top sold Separately     High-rise Fitted waistband     Floral print Tiered frill hem     Regular fit Just select your usual size,"           Slightly sheer chiffon It's light and floaty Lining: 100% Polyester, Shell: 100% Polyester.",Hope and Ivy,skirts
38,ASOS DESIGN zebra print mini skirt with rouleau loop buttons,40.76,Mono zebra,It’s everything you’ve been scrolling for Mid-rise waist Button placket Zebra print Regular fit Just select your usual size,"           Smooth woven fabric The kind that doesn't stretch Main: 58% Viscose, 42% Polyester.",ASOS DESIGN,skirts
39,River Island button front midi skirt in dogtooth,66.7,Black and white,For your daytime thing Check design High rise Belted waist Button placket Regular fit Just select your usual size,"           Soft-touch woven fabric It's got a little give  Main: 73% Polyester, 25% Viscose, 2% Elastane.",River Island,skirts
40,ASOS DESIGN cow print satin pleat midi skirt,64.84,Mono print,For your daytime thing Cow print High rise Pleated design    Midi length Regular fit Just select your usual size,           Smooth woven fabric The kind that doesn't stretch  Main: 100% Polyester.,ASOS DESIGN,skirts
41,Daisy Street button through mini skirt in vintage ditsy floral,33.33,Lilac floral,An alternative to your denim Ditsy floral print High-rise waist Button-through front Regular fit Just select your usual size,           Lightweight viscose Soft and drapey  Body: 100% Viscose.,Daisy Street,skirts
42,ASOS DESIGN Tall high waisted pencil skirt,33.35,Black,One for your wardrobe High-rise waist Plain design When less is more    Zip-back fastening    Bodycon fit Holds you close,"           Smooth woven fabric The kind that stretches Body: 72% Viscose, 24% Nylon, 4% Elastane.",ASOS DESIGN,skirts
43,ASOS DESIGN twist front recycled maxi beach sarong in white,29.64,White,For that holiday you haven't booked yet Semi-sheer finish Stretch waistband to reverse Twist front    Split side Maxi length Relaxed fit For a slouchy silhouette,"           Smooth woven fabric Made from recycled polyester Plastic bottles and textile waste are processed into plastic chips and melted into new fibres This saves water and energy and reduces greenhouse gas emissions, too Cool, right? Main: 100% Polyester.",ASOS DESIGN,skirts
44,ASOS DESIGN Denim pleated button through mini skirt in camel,51.88,Camel,Part of our responsible edit High rise Button placket Regular fit Just select your usual size,"           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals  Main: 84% Cotton, 16% Linen.",ASOS DESIGN,skirts
45,New Girl Order super mini flippy skirt in heritage check co-ord,51.88,Heritage check,Part of a co-ord set Top sold separately Check pattern High-rise elasticated waist    Regular fit Just select your usual size,"           Lightweight woven fabric The kind that doesn't stretch  Body: 98% Polyester, 2% Viscose.",New Girl Order,skirts
46,ASOS DESIGN Tall button front cord pelmet mini skirt,40.76,Forest green,For your daytime thing    High rise Button placket Back pockets Mini length Regular fit Just select your usual size,"           Soft, ribbed corduroy Big in the 70s, better now Body: 100% Cotton.",ASOS DESIGN,skirts
47,Only floral ditsy pleated midaxi skirt,70.4,Navy,For your daytime thing Stretch waistband Floral ditsy print Pleated finish Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Body: 100% Polyester.,Only,skirts
48,Tiger Mist zip through pu mini skirt in black,129.69,Black,Cue the party playlist High rise Zip fastening Bodycon fit A tight cut to the body,"           Faux leather Let's be honest, no one can tell the difference  Fabric: 55% Polyester, 45% Polyurethane.",Tiger Mist,skirts
49,ASOS DESIGN denim belted utility mini skirt with pocket detail,51.88,Black,An alternative to your jeans High rise Belted waist Side pocket Regular fit Just select your usual size,           Non-stretch denim We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals Main: 100% Cotton.,ASOS DESIGN,skirts
50,New Look satin pleated skirt in burgundy,42.59,Black,Worth making plans for Pleated design High rise Elasticated waistband Regular fit Just select your usual size,           Satin-style fabric Glossy on the surface Drapes like a dream Main: 100% Polyester.,New Look,skirts
51,Monki mini PU skirt in black,55.58,Black,Easily dressed up or down High-rise waist Zip-back fastening Slim fit Cut close to the body,"           Faux leather Looks like real leather, but it's not Pointing out the obvious Lining: 100% Polyester, Main: 100% Polyurethane Coating, Base Fabric: 100% Polyester.",Monki,skirts
52,ASOS DESIGN high waisted pencil skirt,33.35,Stone,Add-to-bag potential: considerable    High-rise waist    Zip-back fastening    Slim fit Cut close to the body,"           Smooth woven fabric The kind that stretches   Body: 71% Viscose, 25% Nylon, 4% Elastane.",ASOS DESIGN,skirts
53,Gestuz Aylin midi skirt in abstract ripple print,222.32,Blue ripple,Add-to-bag potential: considerable Abstract print    High rise Tie waist    Regular fit Just select your usual size,           Lightweight woven fabric The kind that doesn't stretch  Main: 100% Polyester.,Gestuz,skirts
