,url,brand,title,price,description,colour,material
269,https://www.aforarcade.com/product/women/clothing/pants/angeles-palazzo-pants-in-hazel,A for Arcade,ANGELES PALAZZO PANTS IN HAZEL,$38.00,"A timeless staple, the high-waisted <em>Angeles</em> pants is a wide-legged palazzo number that is ideal for all occasions! Accompanied with a matching sash, the unique waistband does away with typical belt loops. These pants have an understated elegance which lets you choose whether to wear it fancy, with a structured top&nbsp;and heels, or casual, with a basic tee and sneakers.&nbsp;Unlined. Front Pockets.<br><br>",HAZEL,Made of Polyester blend 
270,https://www.aforarcade.com/product/women/clothing/pants/angeles-palazzo-pants-in-french-pink,A for Arcade,ANGELES PALAZZO PANTS IN FRENCH PINK,$38.00,"A timeless staple, the high-waisted <em>Angeles</em> pants is a wide-legged palazzo number that is ideal for all occasions! Accompanied with a matching sash, the unique waistband does away with typical belt loops. These pants have an understated elegance which lets you choose whether to wear it fancy, with a structured top&nbsp;and heels, or casual, with a basic tee and sneakers.&nbsp;Unlined. Front Pockets.<br><br>",FRENCH PINK,Made of Polyester blend 
271,https://www.aforarcade.com/product/women/clothing/shorts-women/clothing/skirts/ace-girl-plaid-skorts-in-grey,A for Arcade,ACE GIRL PLAID SKORTS IN GREY,$34.00, ,GREY,Made of Polyester blend
272,https://www.aforarcade.com/product/women/clothing/outerwear/bernadette-plaid-pocket-blazer-in-grey,A for Arcade,BERNADETTE PLAID POCKET BLAZER IN GREY,$45.00, ,GREY,Made of Polyester blend
273,https://www.aforarcade.com/product/women/clothing/outerwear/bernadette-plaid-pocket-blazer-in-yellow,A for Arcade,BERNADETTE PLAID POCKET BLAZER IN YELLOW,$45.00, ,YELLOW,Made of Polyester blend
274,https://www.aforarcade.com/product/women/clothing/outerwear/bernadette-plaid-pocket-blazer-in-pink,A for Arcade,BERNADETTE PLAID POCKET BLAZER IN PINK,$42.00, ,PINK,Made of Cotton blend
275,https://www.aforarcade.com/product/women/clothing/tops/naia-linen-top-in-black,A for Arcade,NAIA LINEN TOP IN BLACK,$30.00,"As far as basic tops go, <em>Naia</em> ticks all the right boxes! Comfy, lightweight and stylish, this linen design is also lined — so you don’t have to worry about sheerness at all! Completely versatile, it can be worn with literally any sort of bottoms in your closet! Lined. Elastic band at the back.",BLACK,Made of Cotton blend
276,https://www.aforarcade.com/product/women/clothing/tops/naia-linen-top-in-french-blue,A for Arcade,NAIA LINEN TOP IN FRENCH BLUE,$30.00,"As far as basic tops go, <em>Naia</em> ticks all the right boxes! Comfy, lightweight and stylish, this linen design is also lined — so you don’t have to worry about sheerness at all! Completely versatile, it can be worn with literally any sort of bottoms in your closet! Lined. Elastic band at the back.",FRENCH BLUE,Made of Cotton blend
277,https://www.aforarcade.com/product/women/clothing/tops/naia-linen-top-in-white,A for Arcade,NAIA LINEN TOP IN WHITE,$30.00,"As far as basic tops go, <em>Naia</em> ticks all the right boxes! Comfy, lightweight and stylish, this linen design is also lined — so you don’t have to worry about sheerness at all! Completely versatile, it can be worn with literally any sort of bottoms in your closet! Lined. Elastic band at the back.",WHITE,Made of Cotton blend
278,https://www.aforarcade.com/product/women/clothing/tops/naia-linen-top-in-autumn,A for Arcade,NAIA LINEN TOP IN AUTUMN,$30.00,"As far as basic tops go, <em>Naia</em> ticks all the right boxes! Comfy, lightweight and stylish, this linen design is also lined — so you don’t have to worry about sheerness at all! Completely versatile, it can be worn with literally any sort of bottoms in your closet! Lined. Elastic band at the back.",AUTUMN,Made of Cotton blend
