web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1573050566-1282","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Bershka zip front check mini skirt in greySGD$32.42","https://www.asos.com/bershka/bershka-zip-front-check-mini-skirt-in-grey/prd/14020020?clr=multi&colourWayId=16585152&SearchQuery=&cid=2639","Bershka zip front check mini skirt in grey","SGD$32.42","Multi","Add-to-bag potential: considerableHigh riseElasticated waist    Belted waistRing-buckle detail    Zip-front fastening Regular fitJust select your usual size","1611797","ABOUT ME
            Smooth woven fabric
The kind that stretches

Main: 65% Polyester, 32% Viscose, 3% Elastane.","Bershka","Mini skirt"
"1573059921-1825","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Saint Genies metallic pep hem mini skirt in greenSGD$40.76","https://www.asos.com/saint-genies/saint-genies-metallic-pep-hem-mini-skirt-in-green/prd/13140572?clr=green&colourWayId=16463674&SearchQuery=&cid=2639","Saint Genies metallic pep hem mini skirt in green","SGD$40.76","Green","Cue the party playlistHigh-rise waistPeplum hemZip-back fasteningSlim fitCut closely to the body","1542499","ABOUT ME
            Lightly textured fabric
Shiny metallic finish

Fabric: 100% Polyester.","Saint Genies","Mini skirt"
"1573062441-2790","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN tailored a-line mini skirt with scallop hemSGD$37.05","https://www.asos.com/asos-design/asos-design-tailored-a-line-mini-skirt-with-scallop-hem/prd/13103346?clr=teal&colourWayId=16529706&SearchQuery=&cid=2639","ASOS DESIGN tailored a-line mini skirt with scallop hem","SGD$37.05","Teal","For your daytime thingHigh-rise waistSide-zip fastening     Scalloped hem Regular fit Just select your usual size","1539266","ABOUT ME
            Smooth woven fabric
The kind that doesn't stretch 

Body: 74% Polyester, 18% Viscose, 8% Elastane.","ASOS DESIGN","Mini skirt"
"1573061789-2534","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN vinyl pleated mini skirtSGD$46.32","https://www.asos.com/asos-design/asos-design-vinyl-pleated-mini-skirt/prd/12569428?clr=hot-pink&colourWayId=16429091&SearchQuery=&cid=2639","ASOS DESIGN vinyl pleated mini skirt","SGD$46.32","Hot pink","It's already got your attention    Pleated designHigh-rise waistRegular fitJust select your usual size","1496536","ABOUT ME
            Glossy vinylIt's high-shine season","ASOS DESIGN","Mini skirt"
"1573061493-2416","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN Tall co-ord moving rib knit skirtSGD$48.17","https://www.asos.com/asos-tall/asos-design-tall-co-ord-moving-rib-knit-skirt/prd/12071072?clr=cream&colourWayId=16413624&SearchQuery=&cid=2639","ASOS DESIGN Tall co-ord moving rib knit skirt","SGD$48.17","Cream","Part of a co-ord setMix and matchRibbed finishHigh riseBodycon fitA tight cut to the body","1457975","ABOUT ME
            Cotton-rich knitFor blended comfort
Body: 53% Cotton, 47% Acrylic.","ASOS DESIGN","Tall skirt"
"1573062400-2775","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Only faux leather pu mini skirt in blackSGD$33.35","https://www.asos.com/only/only-faux-leather-pu-mini-skirt-in-black/prd/10032664?clr=black&colourWayId=15089132&SearchQuery=&cid=2639","Only faux leather pu mini skirt in black","SGD$33.35","Black","It's already got your attentionHigh riseSide pocketsZip-back fasteningBodycon fitA tight cut to the body","1297525","ABOUT ME
            Faux leather Looks like real leather, but it's notYou already knew that one, didn't you?
Coating: 100% Polyurethane, Shell: 100% Polyester.","Only","Mini skirt"
"1573062452-2795","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN floaty midi skirt with button waist detail in leopard printSGD$55.58","https://www.asos.com/asos-design/asos-design-floaty-midi-skirt-with-button-waist-detail-in-leopard-print/prd/13160197?clr=leopard-print&colourWayId=16531928&SearchQuery=&cid=2639","ASOS DESIGN floaty midi skirt with button waist detail in leopard print","SGD$55.58","Leopard print","We're still not over animal print High riseStretch-back waistbandFront pocketsRegular fitJust select your usual size","1544147","ABOUT ME
            Lightweight viscoseSoft and drapey
Main: 100% Viscose.","ASOS DESIGN","Midi skirt"
"1573052890-1533","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN satin pleated midi skirt in Hawaiian floralSGD$64.84","https://www.asos.com/asos-design/asos-design-satin-pleated-midi-skirt-in-hawaiian-floral/prd/12219774?clr=hawain-floral&colourWayId=16404664&SearchQuery=&cid=2639","ASOS DESIGN satin pleated midi skirt in Hawaiian floral","SGD$64.84","Hawain floral","Easily dressed up or downUnlined for a lightweight feelPleated designFloral printHigh-rise waist    Zip-side fasteningRegular fitJust select your usual size","1469376","ABOUT ME
            Satin-style fabricSilky and super smooth
Main: 100% Polyester.","ASOS DESIGN","Midi skirt"
"1573062674-2883","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS WHITE wool blend fit and flare midi skirtSGD$101.90","https://www.asos.com/asos-white/asos-white-wool-blend-fit-and-flare-midi-skirt/prd/12789240?clr=green&colourWayId=16456203&SearchQuery=&cid=2639","ASOS WHITE wool blend fit and flare midi skirt","SGD$101.90","Green","For your daytime thingHigh-rise waist    Side pockets    Regular fitJust select your usual size","1514030","ABOUT ME
            Wool-mix knit
For blended comfort

Main: 43% Polyamide, 26% Acrylic, 13% Wool, 13% Alpaca, 5% Elastane.","ASOS WHITE","Midi skirt"
"1573057459-1624","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN Tall denim wrap skirt with buttons in recycled washed blackSGD$46.32","https://www.asos.com/asos-tall/asos-design-tall-denim-wrap-skirt-with-buttons-in-recycled-washed-black/prd/10965742?clr=washed-black&colourWayId=16376293&SearchQuery=&cid=2639","ASOS DESIGN Tall denim wrap skirt with buttons in recycled washed black","SGD$46.32","Washed black","For your daytime thing    High riseButton front     Wrap styleRegular fitJust select your usual size","1375859","ABOUT ME
            Non-stretch denim
We partner with the Better Cotton Initiative to improve cotton farming globally This makes it better for farmers and the environment BCI provides farming-practice training It promotes things like water efficiency and reducing the most harmful chemicals
Main: 100% Cotton.","ASOS DESIGN","Tall skirt"
"1573060271-1962","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS DESIGN co-ord knitted mini skirt in stripeSGD$40.76","https://www.asos.com/asos-design/asos-design-co-ord-knitted-mini-skirt-in-stripe/prd/12570836?clr=multi&colourWayId=16436090&SearchQuery=&cid=2639","ASOS DESIGN co-ord knitted mini skirt in stripe","SGD$40.76","Multi","Part of a co-ord setTop sold separatelyStretch waistButton detailsStriped design     Regular fitJust select your usual size","1496706","ABOUT ME
            Ribbed knit
Soft-touch style 

Body: 53% Cotton, 47% Acrylic.","ASOS DESIGN","Mini skirt"
"1573050696-1334","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","ASOS DESIGN vinyl super mini skirtSGD$33.35","https://www.asos.com/asos-design/asos-design-vinyl-super-mini-skirt/prd/12233150?clr=black&colourWayId=16397939&SearchQuery=&cid=2639","ASOS DESIGN vinyl super mini skirt","SGD$33.35","Black","For that thing you have to go toHigh rise    Mini lengthRegular fitJust select your usual size","1470285","ABOUT ME
            Glossy vinylIt's high-shine season
Main: 92% Polyester, 8% Elastane.","ASOS DESIGN","Skirt"
"1573061956-2601","https://www.asos.com/women/skirts/cat/?cid=2639&nlid=ww|clothing|shop+by+product","Missguided satin wrap midi skirt with lace trim in floral and leopard mix printSGD$55.58","https://www.asos.com/missguided/missguided-satin-wrap-midi-skirt-with-lace-trim-in-floral-and-leopard-mix-print/prd/13172490?clr=multi&colourWayId=16470839&SearchQuery=&cid=2639","Missguided satin wrap midi skirt with lace trim in floral and leopard mix print","SGD$55.58","Multi","We're still not over animal print High-rise waist    Wrap design Floral and leopard print     Delicate lace edging     Front split    Regular fitJust select your usual size","1545207","ABOUT ME
            Satin-style fabricSilky and super smooth","Missguided","Midi skirt"
