web-scraper-order,web-scraper-start-url,link,link-href,title,brand,price,description,material,colour,category
"1573757115-15245","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","15% OFFSupreLola Printed Longline TeeS$ 20.00NOW S$ 17.00Available in several sizes","https://www.zalora.sg/supre-lola-printed-longline-tee-pink-1245929.html","Lola Printed Longline Tee","Supre","S$ 20.00","- Graphic tee
- Round neckline
- Regular fit
- Polyblend
- Model wears an S and is 173cm tall","65% Polyester, 35% Cotton","Pink Floss/West Coast","Tops"
"1573749513-13332","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","66% OFFZALORAV-Neck Safari TopS$ 34.90NOW S$ 11.90International Sizes:XSSMLXL","https://www.zalora.sg/zalora-v-neck-safari-top-pink-1062913.html","V-Neck Safari Top","ZALORA","S$ 34.90","- Solid tone sleeveless pockets top with double D-ring belt
- V-neckline
- Slim fit
- Zip and belt fastening
- 2 pocket design
- Polyester
- Model wears an S and is 181cm tall","100% Polyester Woven","Dusty Pink","Tops"
"1573756908-15197","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","Vero ModaCallie Boca TopS$ 39.00International Sizes:XSSML","https://www.zalora.sg/vero-moda-callie-boca-top-black-1248537.html","Callie Boca Top","Vero Moda","S$ 39.00","- Floral printed top
- Round neckline
- Unlined
- Regular fit
- Slip on style
- Polyester
- Model wears an S and is 173cm tall","100% Polyester","Black/AOP:CALLIE","Tops"
"1573756236-15039","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","TOPSHOPPALERMO Green Heart Print BlouseS$ 59.90UK Sizes:68101214","https://www.zalora.sg/topshop-palermo-green-heart-print-blouse-black-1271995.html","PALERMO Green Heart Print Blouse","TOPSHOP","S$ 59.90","- Hearts print tie front prairie top
- V-neckline
- Unlined
- Regular fit
- Self tie fastening
- Polyester","100% Polyester","BLACK","Tops"
"1573772744-17654","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","TOPSHOPWhite Ribbed Lettuce T-ShirtS$ 19.90UK Sizes:8101214","https://www.zalora.sg/topshop-white-ribbed-lettuce-t-shirt-white-1294860.html","White Ribbed Lettuce T-Shirt","TOPSHOP","S$ 19.90","- Solid tone short sleeve T-shirt with lettuce detail
- Unlined
- Round neckline
- Slim fit
- Cotton blend","94% Cotton, 6% Lycra/Elastane","White","Tops"
"1573749625-13362","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","44% OFFVero ModaRonja TopS$ 39.00NOW S$ 21.90International Sizes:XSSMLXL","https://www.zalora.sg/vero-moda-ronja-top-pink-multi-1163826.html","Ronja Top","Vero Moda","S$ 39.00","- Cap sleeve striped top
- Round neckline
- Unlined
- Relaxed fit
- Recycled Polyester","100% Recycled Polyester","Hawthorn Rose","Tops"
"1573757532-15340","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","11% OFFPiecesKaysa Slip TopS$ 39.00NOW S$ 34.90International Sizes:XSSMLXL","https://www.zalora.sg/pieces-kaysa-slip-top-white-1262783.html","Kaysa Slip Top","Pieces","S$ 39.00","- Solid tone crossover strap cami top
- V neckline
- Lined
- Regular fit
- Slip on style
- Polyester
- Model wears an S and is 173cm tall","100% Polyester","Cloud Dancer","Tops"
"1573754878-14734","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","50% OFFDorothy PerkinsBlack Tie Shoulder TopS$ 43.90NOW S$ 22.00UK Sizes:81014","https://www.zalora.sg/dorothy-perkins-black-tie-shoulder-top-black-1173143.html","Black Tie Shoulder Top","Dorothy Perkins","S$ 43.90","- Solid-colour strappy blouse
- Regular fit
- Slip on style
- Self-tie shoulder closure
- Polyester","100% Polyester","BLACK","Tops"
"1573752710-14186","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","54% OFFSupreLola Printed Longline TeeS$ 20.00NOW S$ 9.20Available in several sizes","https://www.zalora.sg/supre-lola-printed-longline-tee-multi-1111952.html","Lola Printed Longline Tee","Supre","S$ 20.00","- Long line tee with embroidered statement
- Round neckline
- Regular fit
- Cotton blend
- Model wears an S and is 176cm tall","Cotton","Dusk Pink/Saint","Tops"
"1573743176-11608","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","61% OFFNA-KDFloral Motif Deep V Back T-ShirtS$ 40.90NOW S$ 15.90International Sizes:XSSMLXL","https://www.zalora.sg/na-kd-floral-motif-deep-v-back-t-shirt-multi-1108375.html","Floral Motif Deep V Back T-Shirt","NA-KD","S$ 40.90","- Low back tee with floral graphic details
- Round neckline
- Unlined
- Regular fit
- Viscose","100% Viscose","Blue/White","Tops"
"1573769849-17329","https://www.zalora.sg/women/clothing/fashion-tops/?from=header","PumaSportstyle Core Athletics Small Logo TeeS$ 29.00International Sizes:SM","https://www.zalora.sg/puma-sportstyle-core-athletics-small-logo-tee-grey-1122892.html","Sportstyle Core Athletics Small Logo Tee","Puma","S$ 29.00","- Best for lifestyle
- Top with embossed print detail
- Round neckline
- Regular fit
- Slip on style
- Cotton
- Model wears an S and is 175cm tall","100% Cotton","Light Gray Heather","Tops"
