web-scraper-order,web-scraper-start-url,link,link-href,title,price,description,material,size,style,colour,colour2
"1573225054-3611","https://www2.hm.com/en_us/women/products/dresses.html","Cap-sleeved Dress","https://www2.hm.com/en_us/productpage.0734435001.html","Cap-sleeved Dress","$34.99","Short dress in airy woven fabric. Opening at top with small, pleated stand-up collar and ties. Narrow elasticized seam at waist and pleated cap sleeves. Lined.","Lining: Polyester 100%","Back: Length: 91.0 cm (Size 8) – cm = unitofmeasure","STYLE
				
					Keyhole
					Stand-up Collar
					Cap sleeve","Black","Black"
"1573228950-3729","https://www2.hm.com/en_us/women/products/dresses.html","Silk Dress","https://www2.hm.com/en_us/productpage.0773799002.html","Silk Dress","$129.00","PREMIUM QUALITY. Calf-length dress in softly draped silk fabric. V-neck, extra-narrow shoulder straps, and high slit and draping at front.","Silk 100%","Midi","STYLE
				
					Draped
					V-neck","Black","Black"
"1573234659-3893","https://www2.hm.com/en_us/women/products/dresses.html","Sleeveless Dress","https://www2.hm.com/en_us/productpage.0666354001.html","Sleeveless Dress","$24.99","Sleeveless dress in crêped jersey. Pleats at front of neckline, opening at top with a button, and a removable tie belt at waist. Unlined.","Polyester 95%, Elastane 5%","Back: Length: 137.0 cm (Size M) – cm = unitofmeasure","","Black","Black"
"1573242580-4112","https://www2.hm.com/en_us/women/products/dresses.html","Shimmery Fitted Dress","https://www2.hm.com/en_us/productpage.0751214001.html","Shimmery Fitted Dress","$34.99","Short, fitted dress in jersey with glittery threads and foil print. Round neckline, open section at back with wrapover sides, and long sleeves. Unlined.","Polyester 92%, Elastane 5%, Metallized fiber 3%","Front: Length: 84.8 cm (Size M) – cm = unitofmeasure","STYLE
				
					Round Neck
					Fitted","Black/silver-colored","Black/silver-colored"
"1573231316-3795","https://www2.hm.com/en_us/women/products/dresses.html","Dress with Smocking","https://www2.hm.com/en_us/productpage.0764514001.html","Dress with Smocking","$24.99","Calf-length dress in airy, woven viscose fabric with a printed pattern. Opening at back of neck with concealed button. Short, gently flared sleeves and smocking at waist. Unlined.","Viscose 100%","Midi","STYLE
				
					Smocking
					Round Neck
					Keyhole","Light beige/brown/green","Light beige/floral"
"1573229743-3751","https://www2.hm.com/en_us/women/products/dresses.html","Long Bandeau Dress","https://www2.hm.com/en_us/productpage.0608013007.html","Long Bandeau Dress","$69.99","Long bandeau dress in airy, woven fabric with draping at top. Silicone trim inside upper edge, boning in bodice, and detachable, adjustable shoulder straps. Concealed zip at back. Lined.","Inner layer: Polyester 94%, Elastane 6%","Long","STYLE
				
					Strapless
					Draped
					Bandeau
					Sweetheart Neckline","Dusky blue","Dusky blue"
"1573231171-3791","https://www2.hm.com/en_us/women/products/dresses.html","Shirt Dress with Tie Belt","https://www2.hm.com/en_us/productpage.0747347002.html","Shirt Dress with Tie Belt","$34.99","Knee-length dress in soft denim. Collar, buttons at front, yoke at back, and removable tie belt at waist. Long sleeves with buttons at cuffs, chest pockets with flap, and rounded hem.","Lyocell 100%","Back: Length: 100.5 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Shirt Dress
					Turn-down Collar","Denim blue","Denim blue"
"1573230686-3777","https://www2.hm.com/en_us/women/products/dresses.html","Lyocell Shirt Dress","https://www2.hm.com/en_us/productpage.0799444001.html","Lyocell Shirt Dress","$34.99","CONSCIOUS. Short shirt dress in woven Tencel® lyocell fabric. Collar, buttons at front, and chest pockets with flap and button. 3/4-length sleeves with sewn cuffs and seam at waist with drawstring. Unlined.","Lyocell 100%","Sleeve: Length: 39.0 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Shirt Dress
					Cargo","Denim blue","Denim blue"
"1573248284-4265","https://www2.hm.com/en_us/women/products/dresses.html","Cap-sleeved Dress","https://www2.hm.com/en_us/productpage.0810591001.html","Cap-sleeved Dress","$34.99","Short, fitted dress in woven fabric with cap sleeves. Concealed zip at back with safety button at top, seam at waist, and slightly stretchy skirt with slit at back. Lined.","Polyester 57%, Viscose 42%, Elastane 1%","Sleeve: Length: 10.9 cm (Size 8) – cm = unitofmeasure","STYLE
				
					Round Neck
					Cap sleeve","Dark gray/black/white","Dark gray/herringbone pattern"
"1573237282-3966","https://www2.hm.com/en_us/women/products/dresses.html","Short Wrap Dress","https://www2.hm.com/en_us/productpage.0709269003.html","Short Wrap Dress","$29.99","Short dress in airy chiffon with a V-neck and sewn wrapover at front. Elasticated seam at waist, elasticized cuffs with flounce, and flounce at neckline and at hem. Lined.","Lining: Polyester 100%","Back: Length: 87.0 cm (Size 6) – cm = unitofmeasure","STYLE
				
					Wrapover
					V-neck","Gray/beige","Gray/snakeskin-patterned"
