web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1572936644-10504","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Hollister reversable knit jumper in whiteSGD$53.73","https://www.asos.com/hollister/hollister-reversable-knit-jumper-in-white/prd/12986532?clr=white&colourWayId=16438914&SearchQuery=&cid=2637","Hollister reversable knit jumper in white","SGD$53.73","White","Peak snugnessReversible design Knotted frontDropped shouldersRelaxed fitThat slouchy, baggy feel","1528859","ABOUT ME
            Soft, chunky knit
Cosy level: considerable

Body: 60% Cotton, 20% Nylon, 20% Viscose.","Hollister","Jumper"
"1572978301-10873","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN fluffy v neck ribbed jumper with balloon sleeve in recycled blendSGD$46.32","https://www.asos.com/asos-design/asos-design-fluffy-v-neck-ribbed-jumper-with-balloon-sleeve-in-recycled-blend/prd/13179181?clr=pink&colourWayId=16532210&SearchQuery=&cid=2637","ASOS DESIGN fluffy v neck ribbed jumper with balloon sleeve in recycled blend","SGD$46.32","Pink","Part of our responsible editV-neckRibbed finishDropped, balloon sleevesRelaxed fitFor a slouchy silhouette","1545866","ABOUT ME
            Fluffy stretch-knitMade with recycled polyesterPlastic bottles and textile waste are processed into plastic chips and melted into new fibresThis saves water and energy and reduces greenhouse gas emissions, tooCool, right?
Body: 62% Polyester, 35% Acrylic, 3% Elastane.","ASOS DESIGN","Jumper"
"1572912914-10148","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Whistles chunky ribbed button down cardiganSGD$257.53","https://www.asos.com/whistles/whistles-chunky-ribbed-button-down-cardigan/prd/13237707?clr=olive&colourWayId=16479243&SearchQuery=&cid=2637","Whistles chunky ribbed button down cardigan","SGD$257.53","Olive","Cosy never looked so good     V-neckDropped shoulders    Button placket    Regular fitJust select your usual size","1550418","ABOUT ME
            Soft, warm woolShivering is so last season
Body: 70% YAK, 30% Wool.","Whistles","Cardigan"
"1572972138-10753","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Pimkie cable pattern knitted jumper in lilacSGD$46.30","https://www.asos.com/pimkie/pimkie-cable-pattern-knitted-jumper-in-lilac/prd/13584778?clr=purple&colourWayId=16549239&SearchQuery=&cid=2637","Pimkie cable pattern knitted jumper in lilac","SGD$46.30","Purple","Add-to-bag potential: considerableHigh neckLong sleevesRibbed trimsRegular fitJust select your usual size","1576590","ABOUT ME
            Wool-mix knitJust a hint of cosy
Main: 56% Acrylic, 39% Polyamide, 5% Wool.","Pimkie","Jumper"
"1572876301-9462","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Simply Be oversized cardigan in neon pinkSGD$59.29","https://www.asos.com/simply-be/simply-be-oversized-cardigan-in-neon-pink/prd/13407329?clr=pink&colourWayId=16540731&SearchQuery=&cid=2637","Simply Be oversized cardigan in neon pink","SGD$59.29","Pink","Ideal for layeringOpen frontSide pocketsRibbed cuffs and hemOversized fitMore room for activities","1562665","ABOUT ME
            Soft knit
The kind that stretches

Main: 77% Acrylic, 20% Polyester, 3% Elastane.","Simply Be","Plus-size cardigan"
"1572908712-10074","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Boohoo oversized cable knit cardigan in creamSGD$51.88","https://www.asos.com/boohoo/boohoo-oversized-cable-knit-cardigan-in-cream/prd/13633928?clr=cream&colourWayId=16553434&SearchQuery=&cid=2637","Boohoo oversized cable knit cardigan in cream","SGD$51.88","Cream","Ideal for layeringButton placketSide pocketsOversized fitMore room for activities","1581726","ABOUT ME
            Soft knitThe kind that stretches
Main: 100% Acrylic.","boohoo","Cardigan"
"1572981889-10931","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN cut out cross over front ribbed jumperSGD$33.35","https://www.asos.com/asos-design/asos-design-cut-out-cross-over-front-ribbed-jumper/prd/13273251?clr=dark-red&colourWayId=16535456&SearchQuery=&cid=2637","ASOS DESIGN cut out cross over front ribbed jumper","SGD$33.35","Dark red","Cue the party playlistCross-neck designRibbed finishLong sleevesBodycon fitA tight cut to the body","1553231","ABOUT ME
            Lightweight knit
The kind that stretches

Body: 48% Viscose, 31% Polyester, 21% Nylon.","ASOS DESIGN","Jumper"
"1572879910-9588","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","ASOS DESIGN oversized v neck chunky cable jumperSGD$55.58","https://www.asos.com/asos-design/asos-design-oversized-v-neck-chunky-cable-jumper/prd/13219113?clr=orange-red&colourWayId=16473050&SearchQuery=&cid=2637","ASOS DESIGN oversized v neck chunky cable jumper","null","null","Throw on and go     V-neck    Dropped shoulders Oversized fitMore room for activities","1549082","ABOUT ME
            Chunky, cable knit Soft-touch style 
Body: 64% Acrylic, 21% Polyamide, 15% Polyester.","ASOS DESIGN","Jumper"
"1572933495-10462","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Only knitted longline cardiganSGD$74.11","https://www.asos.com/only/only-knitted-longline-cardigan/prd/12883193?clr=brown&colourWayId=16480350&SearchQuery=&cid=2637","Only knitted longline cardigan","SGD$74.11","Brown","Throw on and goOpen frontSide pocketsLongline lengthRelaxed fitThat slouchy, baggy feel","1521315","ABOUT ME
            Soft, chunky knit
Ribbed finish

Body: 81% Acrylic, 19% Polyester.","Only","Cardigan"
"1572878259-9548","https://www.asos.com/women/jumpers-cardigans/cat/?cid=2637&nlid=ww|clothing|shop+by+product","Pull&Bear textured balloon sleeve jumper in greySGD$48.15","https://www.asos.com/pullbear/pullbear-textured-balloon-sleeve-jumper-in-grey/prd/13157593?clr=grey&colourWayId=16469542&SearchQuery=&cid=2637","Pull&Bear textured balloon sleeve jumper in grey","SGD$48.15","Grey","For your daytime thingRibbed finish    Crew neck    Balloon sleevesRelaxed fitFor a slouchy silhouette","1543896","ABOUT ME
            Lightweight knit
It's got a little give

Main: 37% Viscose, 36% Acrylic, 25% Polyester, 2% Elastane.","Pull&Bear","Jumper"
