web-scraper-order,web-scraper-start-url,link,link-href,name,price,colour,description,product code,about me,brand,category
"1572772588-2219","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","ASOS 4505 icon run vestSGD$22.23","https://www.asos.com/asos-4505/asos-4505-icon-run-vest/prd/12674800?clr=black&colourWayId=16463933&SearchQuery=&cid=26091","ASOS 4505 icon run vest","SGD$22.23","Black","Activewear, but make it fashionRound neckBranded detailRacer backRegular fitJust select your usual size","1504870","ABOUT ME
            Smooth fabric
The kind that stretches

Main: 100% Polyester, Mesh: 90% Polyester, 10% Elastane.","ASOS 4505","Vest"
"1572771153-1719","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","New Look legging shorts with zip front in blackSGD$27.77","https://www.asos.com/new-look/new-look-legging-shorts-with-zip-front-in-black/prd/11490621?clr=black&colourWayId=16353549&SearchQuery=&cid=26091","New Look legging shorts with zip front in black","SGD$27.77","Black","For exercise or everyday wear    High rise     Zip fasteningBodycon fitA tight cut to the body","1414057","ABOUT ME
            Smooth fabric
The kind that stretches

Main: 92% Polyester, 8% Elastane.","New Look","Leggings"
"1572771421-1800","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","adidas winners tank in yellowSGD$46.32","https://www.asos.com/adidas-performance/adidas-winners-tank-in-yellow/prd/11839784?clr=yellow&colourWayId=16349556&SearchQuery=&cid=26091","adidas winners tank in yellow","SGD$46.32","Yellow","For exercise or everyday wearRound neckBranded designDropped armholesCurved hem for better coverageCut longer than standard lengthRegular fitJust select your usual size","1441090","ABOUT ME
            Stretch jerseyA soft, versatile fabricMain: 58% Cotton, 21% Polyester, 21% Rayon.","adidas","Vest"
"1572771301-1756","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","MIX & MATCHWolf & Whistle leggings with mesh panels in blackSGD$64.84","https://www.asos.com/wolf-whistle/wolf-whistle-leggings-with-mesh-panels-in-black/prd/13395948?clr=black&colourWayId=16484056&SearchQuery=&cid=26091","Wolf & Whistle leggings with mesh panels in black","SGD$64.84","Black","For exercise or everyday wear    High rise Stretch waistbandChevron-detail to waist    Mesh panels for added breathability    Close-cut bodycon fitExclusive to ASOS","1562814","ABOUT ME
            Smooth stretchy fabricMade with recycled polyesterPlastic bottles and textile waste are processed into plastic chips and melted into new fibresThis saves water and energy and reduces greenhouse gas emissions, tooCool, right?
Body: 78% Polyester, 22% Elastane, Mesh: 78% Polyester, 22% Elastane.","Wolf & Whistle","Leggings"
"1572770505-1523","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","South Beach seamless bodysuit in blackSGD$40.76","https://www.asos.com/south-beach/south-beach-seamless-bodysuit-in-black/prd/11855583?clr=black&colourWayId=16408797&SearchQuery=&cid=26091","South Beach seamless bodysuit in black","SGD$40.76","Black","For exercise or everyday wear   Scoop neck   Strapped back    All-in-one design    Seamless style to reduce friction   Form-fitting design","1442013","ABOUT ME
            Smooth stretch fabric 
It's got a little give 

Body: 93% Nylon, 7% Spandex.","South Beach","Jumpsuit"
"1572771368-1778","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Columbia Powder Lite jacket in blackSGD$133.39 SGD$166.74","https://www.asos.com/columbia/columbia-powder-lite-jacket-in-black/prd/13064725?clr=black&colourWayId=16449703&SearchQuery=&cid=26091","Columbia Powder Lite jacket in black","SGD$133.39","Black","Designed with cold weather in mindPadded for added warmthTwo internal pocketsFunnel neckChin guard to help prevent chafingZip fasteningFunctional pocketsRegular fit A standard cut for a classic shape","1535545","ABOUT ME
            Lightweight water and stain-repellent fabric Made from recycled polyesterUses Columbia Omni-Heat Reflective technologyBreathable to keep you cool and insulated for warmthAllows water vapour to escapeTo help keep you cool and dry 
Fabric: 100% Polyester.","Columbia","Jacket"
"1572770724-1597","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Tommy Hilfiger Sport colour block logo leggings with star detail in red / navySGD$120.43","https://www.asos.com/tommy-hilfiger-sport/tommy-hilfiger-sport-colour-block-logo-leggings-with-star-detail-in-red-navy/prd/13295167?clr=hibiscus&colourWayId=16536346&SearchQuery=&cid=26091","Tommy Hilfiger Sport colour block logo leggings with star detail in red / navy","SGD$120.43","Hibiscus","Activewear, but make it fashion    High rise     Stretch waistbandBranded design    Close-cut bodycon fit","1555103","ABOUT ME
            Sooth stretchy fabric
For unrestricted movement

Fabric 1: 100% Polyester.","Tommy Hilfiger","Leggings"
"1572771277-1746","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Nike Yoga long sleeve cover up in greySGD$88.93","https://www.asos.com/nike-training/nike-yoga-long-sleeve-cover-up-in-grey/prd/12500005?clr=grey&colourWayId=16391470&SearchQuery=&cid=26091","Nike Yoga long sleeve cover up in grey","SGD$88.93","Grey","Made for stretching and de-stressingFunnel neckSide pocketsDrawstring hemRegular fitJust select your usual size","1491152","ABOUT ME
            Smooth stretchy fabric
For unrestricted movement

Body: 87% Polyester, 13% Spandex.","Nike","Top"
"1572770489-1518","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","adidas Training three stripe hoodie in greySGD$92.64","https://www.asos.com/adidas-performance/adidas-training-three-stripe-hoodie-in-grey/prd/11840016?clr=medium-grey-heather&colourWayId=16365967&SearchQuery=&cid=26091","adidas Training three stripe hoodie in grey","SGD$92.64","White","Soft-touch/Loop-back/Fleece-back sweat/Woven/Knitted fabric    Drawstring hood/ Hooded neck    {Raglan sleeves }    Zip/Button fastening    Pouch/ Side pockets    Ribbed/Fitted trims    {FitInfo}","1441107","ABOUT ME
            Hood Lining: 65% Cotton, 35% Polyester, Main: 67% Cotton, 33% Polyester.","adidas","Hoodie"
"1572771450-1813","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","Quiksilver stripe t-shirt with logo in acid wash pinkSGD$59.29","https://www.asos.com/quiksilver/quiksilver-stripe-t-shirt-with-logo-in-acid-wash-pink/prd/12999289?clr=pink&colourWayId=16526313&SearchQuery=&cid=26091","Quiksilver stripe t-shirt with logo in acid wash pink","SGD$59.29","Pink","Add it to your everyday line-upStriped design    Crew neckSmall logo detailRegular fitJust select your usual size","1529839","ABOUT ME
            Go-with-everything jerseyIt's a soft all-rounder
Main: 100% Cotton.","Quiksilver","T-shirt"
"1572772657-2241","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","MIX & MATCHASOS 4505 scoop neck bra in ribSGD$29.64","https://www.asos.com/asos-4505/asos-4505-scoop-neck-bra-in-rib/prd/12932385?clr=black&colourWayId=16525118&SearchQuery=&cid=26091","ASOS 4505 scoop neck bra in rib","SGD$29.64","Black","Activewear, but make it fashionRibbed finishScoop neckStretch underband for comfort and supportRacer back for a full range of movementForm-fitting design","1524831","ABOUT ME
            Soft, stretchy fabric
For unrestricted movement

Body: 91% Polyester, 9% Elastane, Mesh: 100% Polyester.","ASOS 4505","bra"
"1572772291-2111","https://www.asos.com/women/activewear/cat/?cid=26091&nlid=ww|clothing|shop+by+product","adidas Training 3 stripe leggings in blackSGD$101.90","https://www.asos.com/adidas-performance/adidas-training-3-stripe-leggings-in-black/prd/12362886?clr=black&colourWayId=16381245&SearchQuery=&cid=26091","adidas Training 3 stripe leggings in black","SGD$101.90","Black","Add-to-bag potential: considerableHigh rise    Elasticated waistband3-stripe detailBodycon fitA tight cut to the body","1480165","ABOUT ME
            Soft jersey 
The kind that stretches

Body: 75% Polyester, 25% Elastane.","adidas","Leggings"
