web-scraper-order,web-scraper-start-url,link,link-href,category,title,price,description,style id,colour,material,manufacturing,detailed
"1573356720-16148","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","FC Barcelona 2019/20 Stadium Third","https://www.nike.com/sg/t/fc-barcelona-2019-20-stadium-third-football-shirt-W3K5NG/AT0029-310","Football Shirt","FC Barcelona 2019/20 Stadium Third","$115","The FC Barcelona Stadium Third Shirt brings team pride details together with performance elements like highly breathable fabric to help you stay dry and cool. Channelling the pride of Barcelona, an all-over diamond-shaped jacquard pattern is inspired by the city's coat of arms.","Style: AT0029-310","Colour Shown: Cabana/Deep Royal Blue","Signature Barça details highlight your pride.","null","YOUR TEAM. YOUR COLOURS.
The FC Barcelona Stadium Third Shirt brings team pride details together with performance elements like highly breathable fabric to help you stay dry and cool. Channelling the pride of Barcelona, an all-over diamond-shaped jacquard pattern is inspired by the city's coat of arms.
BenefitsNike Breathe fabric helps you stay cool and dry.Dri-FIT Technology helps keep you dry and comfortable.Signature Barça details highlight your pride.
Product DetailsStandard fit for a relaxed, easy feelFabric: 100% recycled polyesterMachine washImportedColour Shown: Cabana/Deep Royal BlueStyle: AT0029-310Country/Region of Origin: Thailand
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573356118-16034","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Speed","https://www.nike.com/sg/t/speed-7-8-running-tights-Tnhsx0/CJ7634-010","Women's 7/8 Running Tights","Nike Speed","$99","With a wider waistband than before, the matte Nike Speed Women's 7/8 Running Tights wrap you with a supported, locked-in feeling that's smooth and comfortable.","Style: CJ7634-010","Colour Shown: Black/Gunsmoke","Imported","null","MATTE, SUPPORTIVE TIGHTS WITH A WIDE WAISTBAND.
With a wider waistband than before, the matte Nike Speed Women's 7/8 Running Tights wrap you with a supported, locked-in feeling that's smooth and comfortable.
Flexible SupportNike Power fabric provides a range of stretch and support to help you power through whatever your sport demands, while flatlock seams help prevent chafing and feel smooth on your skin.
Reduced BulkSplit hems on the ankle open to enhance airflow and range of motion. Their zip-free design means less bulk while you run.
Media Storage Made EasyA drop-in pocket on the left hip stashes your phone, while an additional easy-access pocket secures small essentials as you run.
Product DetailsFabric: Body: 87% recycled polyester/13% elastane. Waist lining: 81% nylon/19% elastane.Machine washImportedColour Shown: Black/GunsmokeStyle: CJ7634-010Country/Region of Origin: China"
"1573356229-16055","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike One Luxe","https://www.nike.com/sg/t/one-luxe-tights-h2LHXh/CD5916-084","Women's Tights","Nike One Luxe","null","Everything you love to do, the Nike One Luxe Tights love doing too. They're designed for all-day wear, not just your workout. They blend highly opaque fabric with sweat-wicking power to keep you dry and comfortable.","Style: CD5916-084","Colour Shown: Smoke Grey/Clear","Contoured, mid-rise waistband follows natural body lines.","null","YOU'VE FOUND THE ONE.
Everything you love to do, the Nike One Luxe Tights love doing too. They're designed for all-day wear, not just your workout. They blend highly opaque fabric with sweat-wicking power to keep you dry and comfortable.
Sweat-Wicking ComfortDri-FIT Technology moves sweat from your skin to help you stay dry, comfortable and focused.
Multiple PocketsWaistband has 2 slide-in pockets at the front and a drop-in pocket at the back to keep your things close.
BenefitsButtery soft material is highly opaque to help you stay covered.Stretchy and supportive design lets you move naturally while you work outContoured, mid-rise waistband follows natural body lines.Back yoke creates a flattering V shape.Seamless sides create a clean, minimal look.Hem is bonded for a secure fit that stays put.
Product DetailsFabric: 76% polyester/24% elastaneMachine washImportedColour Shown: Smoke Grey/ClearStyle: CD5916-084Country/Region of Origin: Cambodia"
"1573356044-16020","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","NikeCourt Flex","https://www.nike.com/sg/t/nikecourt-flex-printed-tennis-shorts-hf7x5J/AO0347-010","Women's Printed Tennis Shorts","NikeCourt Flex","$75","The NikeCourt Flex Shorts remix your favourite shorts with a macabre print. Exaggerated hem vents offer the mobility you need during quick cuts and fast sprints.","Style: AO0347-010","Colour Shown: Black/Oxygen Purple","Overlapping side seams let you move freely.","null","TENNIS IN TOILE.
The NikeCourt Flex Shorts remix your favourite shorts with a macabre print. Exaggerated hem vents offer the mobility you need during quick cuts and fast sprints.
BenefitsNike Flex fabric stretches with your body.Inner shorts provide coverage and convenient ball storage.Overlapping side seams let you move freely.Flat, elastic waistband stretches for a snug, flattering fit.Skeleton print is inspired by classic toile décor.
Product DetailsFabric: Body/tights: 88% polyester/12% elastane. Gusset lining: 100% polyester.Machine washImportedColour Shown: Black/Oxygen PurpleStyle: AO0347-010Country/Region of Origin: China"
"1573356281-16065","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Special Field","https://www.nike.com/sg/t/special-field-training-crew-socks-tn3Vp5/SX9853-070","Training Crew Socks","Nike Special Field","$29","The Nike Special Field Socks feature zonal cushioning to keep your feet comfortable with every step. They're made with temperature-adapting yarns to help keep you warm while wicking sweat away during exercise.","Style: SX9853-070","Colour Shown: Black","Reinforced heel and toe add durability in high-wear areas.","null","WARMTH WITHOUT THE WEIGHT.
The Nike Special Field Socks feature zonal cushioning to keep your feet comfortable with every step. They're made with temperature-adapting yarns to help keep you warm while wicking sweat away during exercise.
BenefitsTemperature-adapting yarns help keep you warm.Zonal cushioning provides impact absorption.Reinforced heel and toe add durability in high-wear areas.Elastic ribbing at the cuff helps keep the sock in place.Anatomical toe seams for a natural fit that reduces bulk.
Product DetailsKnee-high silhouetteFabric: 56% polyester/30% nylon/11% wool/3% elastaneMachine washImportedColour Shown: BlackStyle: SX9853-070Country/Region of Origin: USA"
"1573356331-16074","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Paris Saint-Germain 2019/20 Stadium Away","https://www.nike.com/sg/t/paris-saint-germain-2019-20-stadium-away-football-shirt-VjpgfP/AJ5552-613","Football Shirt","Paris Saint-Germain 2019/20 Stadium Away","$115","The Paris Saint-Germain Stadium Away Shirt features team details on highly breathable fabric to help keep you cool and dry on the pitch or in the stands cheering for your team. The bold infrared colourway channels the influential spirit of the Parisian suburbs. Parisian youth meets a Jordan icon.","Style: AJ5552-613","Colour Shown: Infrared 23/Black","Signature team details highlight your support.","null","YOUR TEAM. YOUR COLOURS.
The Paris Saint-Germain Stadium Away Shirt features team details on highly breathable fabric to help keep you cool and dry on the pitch or in the stands cheering for your team. The bold infrared colourway channels the influential spirit of the Parisian suburbs. Parisian youth meets a Jordan icon.
BenefitsNike Breathe fabric helps you stay dry and cool.Dri-FIT Technology helps keep you dry and comfortable.Signature team details highlight your support.
Product DetailsFabric: 100% recycled polyesterMachine washImportedColour Shown: Infrared 23/BlackStyle: AJ5552-613Country/Region of Origin: Thailand
MADE FROM SUSTAINABLE MATERIALSThis product is made from at least 50% recycled polyester fabric. The material comes from plastic bottles that Nike has diverted from landfill since 2010—bringing Nike's total to more than 6 billion."
"1573356076-16026","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike ACG","https://www.nike.com/sg/t/acg-hooded-jacket-K6hmJ5/CD7641-634","Women's Hooded Jacket","Nike ACG","$149","The Nike ACG Jacket delivers a lightweight feel with a look inspired by and designed in the state of Oregon. Multiple storage options help keep your small items at your side.","Style: CD7641-634","Colour Shown: Habanero Red","ACG logo at the left chest","Style: CD7641-634","COVERAGE FOR ALL CONDITIONS.
The Nike ACG Jacket delivers a lightweight feel with a look inspired by and designed in the state of Oregon. Multiple storage options help keep your small items at your side.
Defence Against the ElementsMade from lightweight nylon fabric, the anorak helps resist the elements with a durable design. A three-piece hood helps keep you covered from unexpected weather changes.
Pocket and Pack ItMultiple pockets keep your small items secure as you adventure. When you need to shed a layer, the jacket packs into the centre-front pocket for quick, on-the-go storage.
Made For All ConditionsDesigned and tested in Oregon, it features a look inspired by the state's vast wilderness. It's made to handle all conditions, so you can head out in confidence on city streets or woodland trails no matter what the weather.
More BenefitsRear vent helps shed excess heat.
Product DetailsStandard fitElastic binding at the cuffs and waistACG logo at the left chestBody: 100% nylon. Mesh: 100% polyester. Lining: 100% polyester.Machine washImportedColour Shown: Habanero RedStyle: CD7641-634Country/Region of Origin: Vietnam"
"1573356731-16150","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Yoga","https://www.nike.com/sg/t/yoga-light-support-sports-bra-d0ht1j/BV4865-010","Women's Light-Support Sports Bra","Nike Yoga","$55","The Nike Yoga Sports Bra is made from soft, quick-drying fabric. The strappy design is breathable and lightweight so you can focus on your flow.","Style: BV4865-010","Colour Shown: Black/White","Machine wash","null","BREATHABLE AND FLEXIBLE.
The Nike Yoga Sports Bra is made from soft, quick-drying fabric. The strappy design is breathable and lightweight so you can focus on your flow.
BenefitsNike Dri-FIT Technology helps you stay dry, comfortable and focused.Removable pads let you adjust your shape and support.
Product DetailsTight fit for a body-hugging feelBody: 83% polyester, 17% elastane. Bottom hem: 86% nylon, 14% elastane. Lining: 80% polyester, 20% elastane. Pad fabric: 100% polyester. Pad: 100% polyurethane.Machine washImportedColour Shown: Black/WhiteStyle: BV4865-010Country/Region of Origin: Sri Lanka"
"1573356742-16152","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Dri-FIT","https://www.nike.com/sg/t/dri-fit-training-shorts-JFvq9Q/BV5706-010","Women's Training Shorts","Nike Dri-FIT","$45","Soft, thick jersey with a little bit of give keeps you comfortable in the Nike Dri-FIT Shorts. Sweat-wicking technology is there to help you stay dry.","Style: BV5706-010","Colour Shown: Black","A longer length and high-rise waist keep you covered while you move.","Style: BV5706-010","CLASSIC LENGTH. COMFORTABLE COVERAGE.
Soft, thick jersey with a little bit of give keeps you comfortable in the Nike Dri-FIT Shorts. Sweat-wicking technology is there to help you stay dry.
BenefitsNike Dri-FIT Technology helps you stay dry, comfortable and focused.Thick jersey fabric feels soft and has a little bit of give.A longer length and high-rise waist keep you covered while you move.Side slits near the hems give you extra ventilation.
Product DetailsStandard fit for a relaxed, easy feelElastic waistband and exterior drawstringIridescent Swoosh design on left hem100% polyesterMachine washImportedColour Shown: BlackStyle: BV5706-010Country/Region of Origin: Thailand"
"1573356092-16029","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Jordan 23 Engineered","https://www.nike.com/sg/t/jordan-23-engineered-1-2-zip-pullover-hoodie-mVfkbt/CJ6763-059","1/2-Zip Pullover Hoodie","Jordan 23 Engineered","$179","Made to provide lightweight warmth, the Jordan 23 Engineered Pullover Hoodie adds an eye-catching detail with a transparent shroud that covers the hood.","Style: CJ6763-059","Colour Shown: Atmosphere Grey/Moon Particle","Body: 47% polyester/45% cotton/8% elastane. Overlays: 100% nylon.","Country/Region of Origin: China","PREMIUM COMFORT READY FOR TAKE-OFF.
Made to provide lightweight warmth, the Jordan 23 Engineered Pullover Hoodie adds an eye-catching detail with a transparent shroud that covers the hood.
Stay WarmJordan Flight Tech fleece provides lightweight warmth without weighing you down.
Premium DetailsThe decoupled hood features warm fleece under a translucent shroud, which zips closed. Matte black zips add a premium touch.
Product DetailsLoose fit for an oversized, roomy feel23 Engineered graphicsBody: 47% polyester/45% cotton/8% elastane. Overlays: 100% nylon.Machine washImportedColour Shown: Atmosphere Grey/Moon ParticleStyle: CJ6763-059Country/Region of Origin: China"
"1573356271-16063","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Pro","https://www.nike.com/sg/t/pro-8cm-shorts-Gtncsl/BV2986-010","Women's 8cm (approx.) Shorts","Nike Pro","$49","The Nike Pro Women's 8cm (approx.) Shorts are made from sweat-wicking fabric to help keep you dry, comfortable and feeling locked in. Its body-skimming profile makes it a natural go-to for layering.","Style: BV2986-010","Colour Shown: Black/Phantom/Black","Machine wash","null","A QUICK-DRYING, BODY-SKIMMING PROFILE THAT WICKS SWEAT AND BREATHES.
The Nike Pro Women's 8cm (approx.) Shorts are made from sweat-wicking fabric to help keep you dry, comfortable and feeling locked in. Its body-skimming profile makes it a natural go-to for layering.
Sweat-Wicking SupportNike Pro fabric provides a sweat-wicking base layer of support to help you feel locked in and cool when the action heats up.
Secure Fit and FeelAn exposed, Nike Pro 50mm elastic waistband provides a smooth and secure feel and a graphic, repeating look around the top.
A Versatile LayerAn ideal base layer when training outside and/or off season.
Product DetailsTight fit for a body-hugging feelFabric: Body: 83% polyester/17% elastane. Waistband: 69% nylon/20% recycled polyester/11% elastane. Gusset lining: 100% polyester.Machine washImportedColour Shown: Black/Phantom/BlackStyle: BV2986-010Country/Region of Origin: Vietnam"
"1573356344-16077","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike SNEAKR Sox AF-1","https://www.nike.com/sg/t/sneakr-sox-af-1-crew-socks-7sScJZ/SK0136-901","Crew Socks","Nike SNEAKR Sox AF-1","$25","The Nike SNEAKR Sox AF-1 Crew Socks (2 pairs) feature premium fabric combined with cushioning at the toe and heel. An AF-1 graphic is knitted into the socks.","Style: SK0136-901","Colour Shown: Multi-Colour","Dynamic arch band creates a comfortable fit.","null","PREMIUM COMFORT AND CUSHIONING.
The Nike SNEAKR Sox AF-1 Crew Socks (2 pairs) feature premium fabric combined with cushioning at the toe and heel. An AF-1 graphic is knitted into the socks.
BenefitsPremium fabric provides soft durability.Cushioned heel and toe help absorb impact.Dynamic arch band creates a comfortable fit.AF-1 graphic is knitted into the socks.
Product DetailsFabric: 38% nylon/37% polyester/21% cotton/4% elastaneMachine washImportedColour Shown: Multi-ColourStyle: SK0136-901Country/Region of Origin: Thailand"
"1573356249-16059","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Everyday Cushioned","https://www.nike.com/sg/t/everyday-cushioned-training-no-show-socks-R1C77V/SX7673-901","Training No-Show Socks (3 Pairs)","Nike Everyday Cushioned","$19","Power through your workout with the Nike Everyday Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while a ribbed arch band wraps your midfoot for a supportive feel.","Style: SX7673-901","Colour Shown: Multi-Colour","Ribbed arch band offers a supportive feel.","null","COMFORT AND SUPPORT.
Power through your workout with the Nike Everyday Cushioned Socks. The thick terry sole gives you extra comfort for foot drills and lifts, while a ribbed arch band wraps your midfoot for a supportive feel.
BenefitsDri-FIT Technology helps keep your feet dry and comfortable.Thick terry sole provides comfort and impact absorption.Ribbed arch band offers a supportive feel.No-show silhouette lends a low-profile look.
Product DetailsFabric: 73% cotton/25% polyester/1% elastane/1% nylonMachine washImportedColour Shown: Multi-ColourStyle: SX7673-901Country/Region of Origin: Pakistan"
"1573356435-16094","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Miler","https://www.nike.com/sg/t/miler-running-tank-q344Hr/BV3964-100","Women's Running Tank","Nike Miler","$49","Built to breathe, the Nike Miler Tank has you covered. Mesh on the back and around the arms helps you to stay cool while sweat-wicking fabric helps keeps you dry and comfortable. The relaxed silhouette includes wide armholes and an extended back hem so you can train in comfort.","Style: BV3964-100","Colour Shown: White/Metallic Silver","Longer back hem extends coverage.","Colour Shown: White/Metallic Silver","SWEAT-WICKING STYLE.
Built to breathe, the Nike Miler Tank has you covered. Mesh on the back and around the arms helps you to stay cool while sweat-wicking fabric helps keeps you dry and comfortable. The relaxed silhouette includes wide armholes and an extended back hem so you can train in comfort.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focused.Mesh around the arms and on the back optimises breathability.Longer back hem extends coverage.
Product DetailsStandard fit for a relaxed, easy feelInterior neck tape for added comfortUV-treated fabric and reflective Swoosh on the chestBody: 100% polyester. Mesh: 82% polyester/18% elastane.Machine washImportedNot intended for use as Personal Protection Equipment (PPE)Colour Shown: White/Metallic SilverStyle: BV3964-100Country/Region of Origin: Thailand"
"1573356704-16145","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Miler","https://www.nike.com/sg/t/miler-running-tank-hnstfM/AR0383-010","Women's Running Tank","Nike Miler","$42","Kick your run into high gear with the Nike Miler Women's Running Tank. Sweat-wicking fabric with zoned mesh helps keep you cool. The dropped back hem and racerback design deliver comfortable coverage as you crush your miles.","Style: AR0383-010","Colour Shown: Black","Dropped back hem keeps you covered.","null","RACE-READY PERFORMANCE.
Kick your run into high gear with the Nike Miler Women's Running Tank. Sweat-wicking fabric with zoned mesh helps keep you cool. The dropped back hem and racerback design deliver comfortable coverage as you crush your miles.
BenefitsDri-FIT Technology helps you stay dry, comfortable and focused.Mesh at the back provides targeted breathability.Dropped back hem keeps you covered.Racerback design allows for freedom of movement.Front hem is designed to fall at your hips.Standard fit follows the shape of your body with room for layering.
Product DetailsFabric: Body: 100% polyester. Mesh: 92% polyester/8% elastane.Machine washImportedColour Shown: BlackStyle: AR0383-010Country/Region of Origin: Vietnam,Thailand"
"1573356513-16109","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Epic Lux","https://www.nike.com/sg/t/epic-lux-running-tights-DqK4fw/BV4378-601","Women's Running Tights","Nike Epic Lux","$169","Break through those short winter days in the Nike Epic Lux Tights. They offer stretchy support for miles of comfort, while convenient pockets stash go-to items on the move.","Style: BV4378-601","Colour Shown: Fire Pink/Black/Fire Pink","Body: 75% polyester/25% elastane. Gusset: 100% recycled polyester.","Style: BV4378-601","LIGHTWEIGHT STRETCH MEETS REFLECTIVE DESIGN.
Break through those short winter days in the Nike Epic Lux Tights. They offer stretchy support for miles of comfort, while convenient pockets stash go-to items on the move.
Personalised, Supportive FitWide waistband with a mid-rise offers held-in comfort, and an internal drawcord lets you adjust your fit. Nike Power fabric provides stretch and support.
Pockets for Your EssentialsZip pocket on the centre-front waistband is big enough to secure a phone. Drop-in pocket at the left hip gives you easy access to your phone while you run. A vapour barrier at the back of the waist helps keep small items dry.
Sweat-Wicking ComfortDri-FIT Technology helps you stay dry, comfortable and focused.
More BenefitsCrepe gusset lining for comfort.Flatlock seams for a smooth feel.
Product DetailsTight fit for a body-hugging feelAll-over ""Ghost Flash"" graphicBody: 75% polyester/25% elastane. Gusset: 100% recycled polyester.Machine washImportedNot intended for use as Personal Protective Equipment (PPE)Colour Shown: Fire Pink/Black/Fire PinkStyle: BV4378-601Country/Region of Origin: Sri Lanka"
"1573356181-16046","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Gyakusou","https://www.nike.com/sg/t/gyakusou-support-bra-6XnTcW/AH1189-402","Women's Medium Support Bra","Nike Gyakusou","null","The Nike Gyakusou Women's Medium Support Bra is made to move with sweat-wicking fabric. Its breathable, distraction-free design reflects Japanese designer Jan Takahashi's meditative aesthetic.","Style: AH1189-402","Colour Shown: Armoury Navy/Velvet Brown/Anthracite","Reflective elements help you stand out from the pack","Colour Shown: Armoury Navy/Velvet Brown/Anthracite","SWEAT-WICKING SUPPORT
The Nike Gyakusou Women's Medium Support Bra is made to move with sweat-wicking fabric. Its breathable, distraction-free design reflects Japanese designer Jan Takahashi's meditative aesthetic.
BenefitsDri-FIT technology helps you stay dry and comfortableRemovable cups and Flyvent chest band provide medium supportReflective elements help you stand out from the packRacerback design allows you to move freely
Product DetailsFabric: Body: 87% nylon/13% elastane. Flocking: 100% nylon. Mesh: 78% polyester/22% elastane. Bottom hem: 86% nylon/14% elastane. Lining: 87% nylon/13% elastane. Interlining: 80% recycled polyester/20% elastane. Pad top fabric: 100% polyester. Pad: 100% polyurethane. Pad back fabric: 100% polyester.Machine washImportedColour Shown: Armoury Navy/Velvet Brown/AnthraciteStyle: AH1189-402Country/Region of Origin: Cambodia
Nike Gyakusou CollectionDesigner and Undercover founder Jun Takahashi blends his classic aesthetic and running expertise in the Nike Gyakusou Collection. This enduring collaboration helps runners reach zen-like focus by diminishing distraction and reducing the severity of warm-weather runs. Tonally muted performance silhouettes offer lightweight packability, clean graphics and Nike fabric technology to create a futuristic kit for the running monk."
"1573356640-16133","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Dri-FIT Legend","https://www.nike.com/sg/t/dri-fit-legend-training-t-shirt-4Xdc16/BV6981-100","Women's Training T-Shirt","Nike Dri-FIT Legend","$45","The Nike Dri-FIT Women's Training T-Shirt combines sweat-wicking fabric with a non-restrictive fit that helps keep you comfortable throughout your entire workout.","Style: BV6981-100","Colour Shown: White/Black","Machine wash","null","EASY FIT JUST FOR YOU AND YOUR WORKOUT.
The Nike Dri-FIT Women's Training T-Shirt combines sweat-wicking fabric with a non-restrictive fit that helps keep you comfortable throughout your entire workout.
BenefitsDri-FIT Technology helps keep you dry and comfortable
Product DetailsStandard fit for a relaxed, easy feelFabric: 100% polyesterMachine washImportedColour Shown: White/BlackStyle: BV6981-100Country/Region of Origin: China"
"1573356166-16043","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","NikeCourt Dri-FIT","https://www.nike.com/sg/t/nikecourt-dri-fit-long-sleeve-tennis-top-mSwMkJ/AO0381-133","Women's Long-Sleeve Tennis Top","NikeCourt Dri-FIT","null","The NikeCourt Dri-FIT Top blends a traditional design with performance fabrics. A toile-inspired skeleton print elevates your look, while the cool touch of mesh vents out extra heat.","Style: AO0381-133","Colour Shown: Sail/Oxygen Purple/Oxygen Purple","Cropped length pairs well with high-waisted bottoms.","null","TENNIS MEETS TOILE.
The NikeCourt Dri-FIT Top blends a traditional design with performance fabrics. A toile-inspired skeleton print elevates your look, while the cool touch of mesh vents out extra heat.
BenefitsDri-FIT Technology helps you stay dry and comfortable.Mesh back panel enhances breathability.Cropped length pairs well with high-waisted bottoms.Inverted pleat detail on the front creates a draped look.Knit fabric feels soft and lightweight.Skeleton print is inspired by classic toile décor.
Product DetailsFabric: Body: 100% polyester. Mesh: 87% polyester/13% elastane.Machine washImportedColour Shown: Sail/Oxygen Purple/Oxygen PurpleStyle: AO0381-133Country/Region of Origin: China"
"1573356758-16155","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Elite Lightweight No-Show","https://www.nike.com/sg/t/elite-lightweight-no-show-running-socks-qt2l90/SX6262-010","Running Socks","Nike Elite Lightweight No-Show","$25","The Nike Elite Lightweight No-Show Running Socks feature mesh and sweat-wicking fabric to keep you cool, dry and comfortable during your run.","Style: SX6262-010","Colour Shown: Black/Anthracite/Cool Grey","Reinforced heel and toe for durability","null","SWEAT-WICKING COMFORT
The Nike Elite Lightweight No-Show Running Socks feature mesh and sweat-wicking fabric to keep you cool, dry and comfortable during your run.
BenefitsDri-FIT Technology helps keep you dry and comfortableArch compression enhances supportReinforced heel and toe for durabilityReflective details help you stand out
Product Details
Fabric: 56% polyester/39% nylon/5% elastane (percentages may vary)
Machine wash
Imported
Not intended for use as Personal Protective EquipmentColour Shown: Black/Anthracite/Cool GreyStyle: SX6262-010Country/Region of Origin: Thailand"
"1573356113-16033","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Jordan 23 Engineered","https://www.nike.com/sg/t/jordan-23-engineered-t-shirt-9v8hwz/BQ6731-220","T-Shirt","Jordan 23 Engineered","$49","Complete your look in the Jordan 23 Engineered T-Shirt, a versatile crew-neck made from soft, structured cotton and finished with reflective-ink graphics.","Style: BQ6731-220","Colour Shown: Dark Russet","100% cotton","Country/Region of Origin: China","FLIGHT CASUAL.
Complete your look in the Jordan 23 Engineered T-Shirt, a versatile crew-neck made from soft, structured cotton and finished with reflective-ink graphics.
Pure Cotton ComfortPremium medium-weight cotton has a soft, structured feel, and the fit is easy and relaxed.
Reflective GraphicsBold ""23 ENGINEERED FOR FLIGHT"" graphics are printed on the front and back using reflective ink.
Product DetailsStandard fit for a relaxed, easy feelReflective ""23 Engineered"" graphics100% cottonMachine washImportedColour Shown: Dark RussetStyle: BQ6731-220Country/Region of Origin: China"
"1573356286-16066","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Paris Saint-Germain","https://www.nike.com/sg/t/paris-saint-germain-long-sleeve-t-shirt-ZQvDJt/BQ8382-010","Long-Sleeve T-Shirt","Paris Saint-Germain","$55","The Paris Saint-Germain T-Shirt highlights the collaboration between the Jordan brand and the Parisian football club. Made from soft cotton fabric, this tee features bold graphics down the sleeves, with an authentic team crest and collection hem label.","Style: BQ8382-010","Colour Shown: Black/White","Imported","null","REPRESENT PARIS.
The Paris Saint-Germain T-Shirt highlights the collaboration between the Jordan brand and the Parisian football club. Made from soft cotton fabric, this tee features bold graphics down the sleeves, with an authentic team crest and collection hem label.
Cotton ComfortLightweight, softly knit cotton fabric has a comfortable, easy-wearing feel.
Paris PrideA ""Paris"" graphic featuring the Jumpman design is printed down the sleeves—a visual showcase of the collaboration.
Collaboration DetailsA woven Paris Saint-Germain club crest is stitched onto the chest. A collection label stitched on along the hem features the Jumpman design and the club crest side by side.
Product DetailsFabric: 100% cottonMachine washImportedColour Shown: Black/WhiteStyle: BQ8382-010Country/Region of Origin: China"
"1573356213-16052","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Sportswear","https://www.nike.com/sg/t/sportswear-woven-jacket-DbNf0s/AJ2983-102","Women's Woven Jacket","Nike Sportswear","$99","The Nike Sportswear Women's Woven Jacket is designed with a large hood and mesh lining to help you stay dry and comfortable in style.","Style: AJ2983-102","Colour Shown: White/Black/Black/Black","Full-front zip offers easy on and off.","null","BREATHABLE COMFORT AND COVERAGE.
The Nike Sportswear Women's Woven Jacket is designed with a large hood and mesh lining to help you stay dry and comfortable in style.
Cosy LayeringWoven taffeta fabric is warm and comfortable.
Customisable FitDrawcords on the hood and hem provide a custom fit and added coverage.
Sweat-Wicking PerformanceDri-FIT Technology helps you stay dry and comfortable.
GET GAME READY.Mesh lining offers added breathability.Side pockets provide convenient storage.Full-front zip offers easy on and off.Nike corporate logo is screen printed on the left chest.
Product Details100% polyesterMachine washImportedColour Shown: White/Black/Black/BlackStyle: AJ2983-102Country/Region of Origin: Vietnam"
"1573356234-16056","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Yoga","https://www.nike.com/sg/t/yoga-funnel-neck-top-V2scrV/CJ0154-059","Women's Funnel-Neck Top","Nike Yoga","$89","The Nike Yoga Top lets you cover up in a drapey, funnel-neck design made from soft fabric. A drawcord at the hem helps keep the top in place while you bend and stretch.","Style: CJ0154-059","Colour Shown: Atmosphere Grey/Heather/Black","Machine wash","Country/Region of Origin: China","SOFT COVERAGE FOR THE STUDIO.
The Nike Yoga Top lets you cover up in a drapey, funnel-neck design made from soft fabric. A drawcord at the hem helps keep the top in place while you bend and stretch.
Dry DesignDri-FIT Technology moves sweat from your skin to help you stay dry and comfortable.
Extended CoverageFunnel-neck design helps keep your neck covered and warm.
Adjustable ComfortDrawcord at the hem provides a personalised, stay-put fit.
Product DetailsStandard fit for a relaxed, easy feelFabric: 87–88% polyester/12–13% elastaneMachine washImportedNote: Material percentages may vary depending on colour. Check label for actual content.Colour Shown: Atmosphere Grey/Heather/BlackStyle: CJ0154-059Country/Region of Origin: China"
"1573356533-16113","https://www.nike.com/sg/w/womens-clothing-5e1x6z6ymx6","Nike Performance Cushioned No-Show","https://www.nike.com/sg/t/cushioned-no-show-training-socks-DJPh80/SX7179-912","Training Socks (3 Pair)","Nike Performance Cushioned No-Show","$19","The Nike Performance Cushioned No-Show Training Socks feature sweat-wicking fabric and breathable mesh to help keep your feet dry, comfortable and cool during your workout.","Style: SX7179-912","Colour Shown: Black","Zoned cushioning helps absorb impact","Colour Shown: Black","COMFORT AND DURABILITY
The Nike Performance Cushioned No-Show Training Socks feature sweat-wicking fabric and breathable mesh to help keep your feet dry, comfortable and cool during your workout.
BenefitsDri-FIT Technology helps keep you dry and comfortableMesh at the top of the foot enhances breathabilityZoned cushioning helps absorb impactArch support offers snug comfort
Product DetailsFabric: 76% cotton/23% polyester/1% elastaneMachine washImportedColour Shown: BlackStyle: SX7179-912Country/Region of Origin: China"
