,brand,title,price,description,colour,material
33,On Gossamer,Convertible T-Shirt Bra,S$ 62.00,"- Solid toned t-shirt bra
- Non removable pads
- Hook fastening
- Adjustable shoulder straps
- Convert to criss-cross, halter, open back and close-set
- Cotton blend
- Model wears a size 34B and is 172cm tall",White,Blend
34,Impression,Pre Teen Bra With Back Hook,S$ 9.90,"- Solid tone training bra
- Round neckline
- Lined
- Slim fit
- Adjustable back hook fastening
- No padded cups
- Cotton blend
- Model wears an S and is 172cm tall",White,[]
35,Cotton On Body,Sporty Femme Boyleg Briefs 3 Pack,S$ 30.00,"- Assorted print glitter trim boyleg briefs
- Low rise
- Unlined
- Regular fit
- Elasticised waistband
- Boyleg shaping with full side length and back coverage
- Cotton blend
- Comes in pack of 3
- Model wears an S and is 172cm tall",Black/Grey Marle/White,"92% Cotton, 5% Elastane, 3% Viscose"
36,Cotton On Body,Cindy Boyleg Briefs,S$ 20.00,"- Solid tone lace boyleg brief panties
- Mid rise
- Unlined
- Regular fit
- Elasticised waistband
- Pack of three
- Polyester blend
- Model wears an S and is 180cm tall",Black/Cream/Twilight Rose,"90% Polyamide, 10% Elastane"
37,OVS,Lace Panties,S$ 10.90,"- Lace briefs
- Low rise
- Slim fit
- Elasticated waistband fastening
- Polyamide blend
- Model wears a size IT 2 and is 170cm tall",Black,Blend
38,Calvin Klein,Bikini Panties - Calvin Klein Underwear,S$ 43.00,"- Bikini cut panties with logo printed waistband
- Low rise
- Regular fit
- Elasticated waistband
- Cotton blend",Ripple,"95% Cotton, 5% Elastane"
39,YG Fitness,Quick-Drying Running Fitness Yoga Dance Sports Bra,S$ 183.75,"Body sculpting, 360-degree perfect body, perfect curve.
Suitable for: Leisure / Yoga / Running / Fitness / Dance / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- Thin belt Beauty back three-dimensional cut
- with chest pad, shockproof and decompression
- vest design",blue,Polyester fiber + spandex
40,Seraphine,Annie T-Shirt Bra,S$ 70.90,"- Solid toned bra
- Non removable pads
- Hook fastening
- Adjustable shoulder strap
- Polyblend
- Model wears a size 34B and is 170cm tall",Nude,Blend
41,Bove by Spring Maternity,Mardiana Lace Microfibre Bra HR1502,S$ 36.90,Demi-cup design. Nursing clips for drop cup access. Sexy lace trim. Moulded contour cups for shape & support. Elastic underbust support.,Nude,Blend
42,Cotton On Body,Supersoft Henley Top,S$ 29.99,"- Solid tone drop-shoulder long sleeve T-shirt
- Unlined
- Henley collar neckline
- Relaxed fit
- Front button closure
- Polyblend
- Model wears an S and is 180cm tall",Blue Chalk Marle,"70% Polyester, 25% Viscose, 5% Elastane"
43,GAP,Fannel Lounge Jogger Pants,S$ 35.90,"- Check print lounge jogger pants
- Mid rise
- Regular fit
- Elasticised waist
- 3 pockets
- Cuffed hem
- Cotton
- Model wears an S and is 174cm tall",Grey,[]
44,FOREVER 21,Seamless Ribbed Bralet,S$ 14.90,"- Solid tone rib textured dual strap bralet
- Round neckline
- Unlined
- Regular fit
- Slip on style
- Nylon blend",Olive,"95% Nylon, 5% Spandex"
45,Bluebella,Sana Crop Cami And Thong,S$ 85.90,"Top
- Floral lace detail camisole
- V neckline
- Unlined
- Regular fit
- Slip on style
- Polyester

Bottom
- Floral lace thong
- Low rise
- Slim fit
- Elasticised waist
- Polyamide blend
- Model wears an S and is 175cm tall",Black,"Top: 100%Polyester/Bottom: 50% Polyamide, 47% Polyester, 3% Elastane"
46,Cotton On Body,Fleece Walk Short,S$ 24.99,"- Paperbag waist drawstring shorts with folded cuffs
- High rise
- Regular fit
- Elasticised waist with drawstring fastening
- 2 pockets
- Cotton blend
- Model wears an S and is 175cm tall",Baby Blue,"80% Cotton, 20% Polyester"
47,On Gossamer,Bump It Up Bra,S$ 65.00,"- All over print push up bra
- Sweetheart neckline
- Unlined
- Regular fit
- Adjustable back hook fastening
- Adjustable shoulder straps
- Non removable padded cups
- Nylon
- Model wears an S/M and is 172cm tall",Blossom Dot,100% Nylon
48,Cotton On Body,Boxy T-Shirt,S$ 24.95,"- Night tee with message print
- Round neckline
- Regular fit
- Slip-on style
- Short sleeves
- Cotton blend
- Model wears an S and is 180cm tall",Crystal Pink,"60% Cotton, 40% Polyester"
49,LYCKA,LMM2117- Lady Sexy Lace Bra And Panty Set-Black,S$ 42.00,"-3/4 cup lace bra
-Detachable Double Shoulder Strap
-Back Hook Fastening
-Sexy and Regular Comfort",Black,Polyester
50,ZALORA BASICS,Lounge Triple Stripe Knitted Shorts,S$ 24.90,"- Striped loungewear shorts
- High rise
- Regular fit
- Unlined
- Elasticated waistband with drawstring fastening
- Polyester
- Model wears an S and is 174cm tall",Caramel/White/Black,100% Polyester
51,Cotton On Body,Ava Bikini Briefs,S$ 11.99,"- Lace bikini cut briefs with full back coverage
- Low rise
- Slim fit
- Flat smooth woven elastic waist band
- Lace detail to adding a feminine touch
- Microfibre body with soft lace panelling
- Polyamide blend
- Model wears an S and is 175cm tall",Crystal Pink,"90% Polyamide, 10% Elastane"
52,Cotton On Body,Charlotte Lace Trim Bikini Brief,S$ 11.99,"- Lace trim classic bikini brief
- Low rise
- Regular fit
- Soft stretch lace waist band
- Textured ribbon bow detail
- Cotton blend
- Model wears an S and is 173cm tall",Simple Stripe Orchid,"46% Cotton, 46% Modal, 8% Elastane"
53,Bluebella,Nikita Closed Bra,S$ 94.90,"- Solid toned lace bra with floral crochet
- No pads
- Hook fastening
- Adjustable shoulder strap
- Polyblend
- Model wears a size 34B and is 172cm tall",Pale Pink,Blend
54,YG Fitness,Sexy Quick-Drying Running Fitness Yoga Bra,S$ 175.00,"Body sculpting, 360-degree perfect body, perfect curve.

Suitable for: Leisure / Yoga / Running / Fitness / Outdoor Sports
- Comfortable fabric, breathable and quick-drying
- Includes removable chest pad
- Four-needle six-line exquisite craft",black,Polyester
55,Calvin Klein,Calvin Klein Rainbow Stripe Boyshort,S$ 45.00,"A pair of boy shorts crafted from cotton stretch fabric, featuring a classic logo waistband, short legs with rainbow stripes and a full cotton gusset.",GREY HEATHER,[]
56,VIVIESTA SPORT,Seamless Racerback Running Sports Bra.,S$ 54.00,"Suitable for high-intensity workouts with this high support sport bra with breathable paddings. Sweat-wicking fabric keeps you cool and dry. Seamless technology removes irritation during your workouts. Perfect for running, boxing and cardio.
- Performance stretch fabric for added comfort
- Strap and back design for extra support
- Removable cups to customize your fit to perfection",Grey Pink,"94% Nylon, 6% Polyester"
57,Bluebella,Tove Bra,S$ 85.90,"- Solid tone crochet and mesh detail strappy bra
- Non-padded cups
- Regular fit
- Hook fastening
- Adjustable straps
- Polyblend
- Model wears a size 34B and is 175cm tall",Black,Polyester blend
58,Sunnydaysweety,Transparent Wing Lace Bra With Matching Pantie A080643BK,S$ 66.00,- 3/4 Coverage- Quadruple Buckles- See Trough Wings- Matching with Pantie ,Black,"Cotton Blend, Lace"
59,Impression,Cotton Junior Bra Bundle Of 2,S$ 25.80,"- Monochrome bra with cut-out back
- Scoop neckline
- Regular fit
- Back hook fastening
- Elasticized underbust
- Non-removable padded cups
- Pack of 2
- Cotton blend
- Model wears a size 34B and is 172cm tall",White + White,[]
60,Sunnydaysweety,Underwired Lace Bra With Matching Pantie A080641BK,S$ 66.00,- 3/4 Coverage- Quintuple Buckles- Strap can be Removed- Matching with Pantie ,Black,"Cotton Blend, Lace"
